	index	counter
3	python:S905	25
30	typescript:S905	12
0	javascript:S1143	10
31	typescript:S2201	9
16	python:S2201	6
5	java:S2674	4
1	java:S2111	4
14	java:S2677	3
27	java:S2184	3
28	java:S2236	3
29	java:S1221	3
2	javascript:S905	3
7	java:S2789	3
11	java:S2061	2
4	java:S2055	2
23	java:S3518	2
10	java:S1217	2
15	python:S1763	2
8	java:S5917	2
26	java:S3753	1
25	java:S2123	1
24	java:S2225	1
19	java:S2583	1
22	java:S1849	1
21	java:S3065	1
20	java:S1201	1
6	java:S6418	1
18	java:S2272	1
17	javascript:S2871	1
13	javascript:S1534	1
12	javascript:S6440	1
9	java:S2886	1
32	typescript:S1751	1
