	index	counter
27	javascript:S2814	133
84	python:S116	132
85	python:S117	72
14	java:S1068	67
5	javascript:S1121	58
2	javascript:S4138	54
81	python:S100	37
91	typescript:S1186	35
17	java:S1948	32
4	javascript:S2392	24
15	java:S3935	23
3	javascript:S3776	21
40	java:S1116	19
86	python:S1940	18
26	javascript:S1126	17
39	java:S1144	16
43	java:S1444	12
19	java:S3626	12
56	java:S3937	12
13	java:S117	11
41	java:S1128	11
48	java:S1698	11
28	java:S3038	10
94	typescript:S4325	9
34	java:S2140	9
9	java:S1133	9
29	java:S1264	8
37	java:S1774	8
30	java:S2479	8
52	java:S1171	8
22	python:S1481	8
62	java:S126	7
16	java:S113	7
61	java:S2111	7
8	java:S108	7
44	java:S3457	7
36	java:S2444	7
42	java:S1161	7
20	python:S1845	7
10	java:S4288	6
23	python:S6353	6
63	javascript:S2703	6
38	java:S5251	6
35	java:S1596	6
33	java:S1659	6
54	java:S1163	6
70	javascript:S107	5
60	java:S3014	5
77	python:S3776	5
59	java:S2094	5
49	java:S1820	5
47	java:S1488	5
32	java:S106	5
18	java:S4454	5
7	javascript:S1854	5
31	java:S1939	5
78	python:S1186	4
82	python:S1192	4
71	javascript:S3800	4
88	java:S2387	4
90	go:S1192	4
64	javascript:S3626	4
95	typescript:S6479	4
0	javascript:S1874	4
50	java:S453	4
11	java:S3824	4
21	python:S5806	4
57	java:S3740	4
46	java:S2057	4
51	java:S6019	4
75	javascript:S6478	3
6	javascript:S1481	3
45	java:S2864	3
58	java:S2130	3
72	javascript:S1125	3
55	java:S2093	3
68	java:S1849	3
76	python:S1066	2
53	java:S134	2
96	typescript:S4043	2
67	java:S1197	2
92	typescript:S1125	2
12	java:S1541	2
87	python:S1854	2
74	javascript:S6481	1
89	python:S6397	1
66	java:S3252	1
93	typescript:S1854	1
25	python:S1172	1
24	python:S5797	1
73	javascript:S878	1
69	java:S122	1
83	python:S4487	1
1	javascript:S3358	1
65	javascript:S6035	1
80	python:S112	1
79	python:S5781	1
97	typescript:S4782	1
