	index	counter
9	javascript:S2137	119
8	javascript:S905	27
7	javascript:S1848	19
51	python:S5632	15
44	java:S2677	13
1	python:S905	13
17	javascript:S2201	12
57	javascript:S1763	12
14	javascript:S930	11
10	javascript:S4125	10
56	javascript:S1764	8
11	javascript:S1751	7
23	java:S2272	7
31	java:S1206	6
33	java:S3065	6
24	java:S2789	6
54	javascript:S3796	6
32	java:S1221	5
15	javascript:S1656	5
4	java:S3551	5
21	java:S3067	5
22	java:S1849	5
42	javascript:S3699	5
20	java:S2055	4
13	javascript:S5850	4
50	java:S2236	4
12	javascript:S6323	4
29	java:S3518	4
60	typescript:S2201	3
43	java:S2674	3
19	python:S1763	3
52	python:S1764	3
58	javascript:S2999	3
39	python:S5756	2
41	python:S2201	2
0	python:S1656	2
30	java:S2123	2
25	java:S2639	2
2	python:S3923	2
5	java:S2275	2
28	java:S2222	2
27	java:S2110	2
26	java:S3958	2
6	java:S5856	2
59	javascript:S3923	1
3	java:S2061	1
55	javascript:S1534	1
53	python:S930	1
16	javascript:S5842	1
18	javascript:S2189	1
36	java:S5917	1
49	java:S2583	1
37	java:S3984	1
47	java:S3046	1
46	java:S2225	1
45	java:S1217	1
34	java:S2885	1
40	python:S5842	1
35	java:S2757	1
38	python:S2275	1
48	java:S2134	1
