	index	counter
44	python:S117	675
120	python:PrintStatementUsage	369
43	python:S1542	298
46	python:S1172	272
73	javascript:S1854	261
67	javascript:S3776	253
54	python:S100	225
72	javascript:S1481	218
124	go:S100	194
49	python:S1481	188
50	python:S1192	178
65	javascript:S3626	119
84	javascript:S1126	116
88	javascript:S1874	116
66	javascript:S6353	110
53	python:S116	99
45	python:S112	89
24	java:S1068	87
23	java:S1144	83
85	javascript:S2703	81
68	javascript:S3358	68
143	typescript:S1186	66
42	python:S3776	64
82	javascript:S4138	64
13	java:S1444	62
33	java:S3935	62
95	javascript:S3800	59
83	javascript:S4165	59
1	java:S1948	58
81	javascript:S2392	54
87	javascript:S1121	53
102	javascript:S3579	47
123	go:S1186	45
55	python:S5754	43
91	javascript:S3696	42
80	javascript:S2814	39
14	java:S108	39
10	java:S3626	37
6	java:S1820	36
79	javascript:S1871	32
4	java:S1596	31
126	go:S1192	31
129	java:S1116	30
47	python:S108	26
92	javascript:S1186	26
17	java:S1171	26
51	python:S101	26
48	python:S5806	24
26	java:S3740	23
57	java:S1161	23
25	java:S1774	22
71	python:S1854	20
0	java:S4454	20
8	java:S106	20
121	python:S1186	19
27	java:S3014	18
146	typescript:S4325	17
3	java:S1698	17
104	javascript:S6325	17
31	java:S1133	17
148	typescript:S4123	16
117	python:S5795	15
34	java:S4288	15
35	java:S1849	14
18	java:S1264	14
93	javascript:S2310	14
32	java:S1128	13
30	java:S3038	13
41	java:S1197	13
15	java:S453	13
56	python:S2772	13
5	java:S122	13
109	python:S1940	13
61	java:S3252	13
118	python:S3626	13
58	java:S2864	12
2	java:S1488	12
113	javascript:S1134	12
9	java:S3937	11
90	javascript:S107	11
63	java:S5251	11
151	typescript:S6441	11
36	java:S1541	11
125	go:S3776	10
16	java:S6019	10
37	java:S3824	9
69	python:S3457	9
131	javascript:S6479	9
96	javascript:S5843	9
75	javascript:S4144	9
12	java:S113	9
62	java:S2130	9
86	javascript:S128	9
111	python:S1134	8
135	javascript:S4140	8
106	javascript:S1125	8
89	javascript:S2685	8
11	java:S1939	7
21	java:S2111	7
7	java:S2093	7
119	python:S1110	7
108	python:S1066	7
38	java:S2479	7
122	python:S4144	6
103	javascript:S3516	6
59	java:S2140	6
105	javascript:S6035	6
140	javascript:S108	6
60	java:S2387	6
94	javascript:S1515	6
147	typescript:S1533	5
153	typescript:S6478	5
149	typescript:S2737	5
78	javascript:S4030	5
64	java:S3457	5
22	java:S126	5
19	java:S2057	5
139	javascript:S1994	4
40	java:S117	4
39	java:S1659	4
127	python:S6035	4
76	javascript:S4634	4
97	javascript:S6331	4
136	javascript:S3686	4
99	javascript:S5869	4
20	java:S2094	4
154	typescript:S4144	4
116	javascript:S6478	4
138	javascript:S2681	3
101	javascript:S3972	3
52	python:S5717	3
115	javascript:S2990	3
28	java:S2444	3
150	typescript:S107	2
29	java:S1163	2
145	typescript:S3626	2
141	python:S5890	2
114	javascript:S1533	2
137	python:S1845	2
74	javascript:S878	2
77	javascript:S4043	1
155	typescript:S6479	1
112	python:S1871	1
110	python:S5797	1
152	typescript:S6353	1
107	python:S5914	1
100	javascript:S2589	1
98	javascript:S6019	1
128	javascript:S4524	1
134	python:S107	1
130	python:S2638	1
144	typescript:S4138	1
70	python:S5655	1
142	go:S107	1
132	javascript:S6477	1
133	javascript:S1301	1
156	typescript:S1874	1
