course;code_smells_count;bugs_count;vulnerability_count;;;;;;;;;;;;;;;;;;;;;;;
2D Game Development with LibGDX;88;0;0;;;;;;;;;;;;;;;;;;;;;;;
Activity and Fragment lifecycle App;12;0;1;;;;;;;;;;;;;;;;;;;;;;;
Advanced Android App - OpenWeatherMap;47;0;0;;;;;;;;;;;;;;;;;;;;;;;
Advanced Android App Development ;6;0;1;;;;;;;;;;;;;;;;;;;;;;;
Advanced Android App Development - Android Me;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Advanced Android App Development - Emojify;46;0;0;;;;;;;;;;;;;;;;;;;;;;;
Advanced Android App Development - My Garden;0;6;0;;;;;;;;;;;;;;;;;;;;;;;
Advanced Android App Development - ShushMe;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Advanced Android App Development - TeaTime;34;0;1;;;;;;;;;;;;;;;;;;;;;;;
Advanced Android course - Squawker;52;4;0;;;;;;;;;;;;;;;;;;;;;;;
Advanced Java Programming Techniques;36;0;1;;;;;;;;;;;;;;;;;;;;;;;
AI Nanodegree - Implement a Planning Search;61;0;0;;;;;;;;;;;;;;;;;;;;;;;
AI Nanodegree - Isolation;11;0;0;;;;;;;;;;;;;;;;;;;;;;;
AI Nanodegree - Isolation PVP;2;0;0;;;;;;;;;;;;;;;;;;;;;;;
AI Nanodegree - Sudoku;23;1;0;;;;;;;;;;;;;;;;;;;;;;;
AI Programming with Python Nanodegree;24;5;0;;;;;;;;;;;;;;;;;;;;;;;
Android Architecture Components Toy App;31;3;0;;;;;;;;;;;;;;;;;;;;;;;
Android Basics Nanodegree - Did You Feel It? App;0;6;0;;;;;;;;;;;;;;;;;;;;;;;
Android Basics Nanodegree - Soonami App;8;0;0;;;;;;;;;;;;;;;;;;;;;;;
Android Basics Nanodegree by Google - Court Counter;30;0;0;;;;;;;;;;;;;;;;;;;;;;;
Android Basics Nanodegree by Google - Happy Birthday;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Android Basics Nanodegree by Google - Pets App;15;4;0;;;;;;;;;;;;;;;;;;;;;;;
Android Basics Nanodegree by Google - Pokemon;5;0;1;;;;;;;;;;;;;;;;;;;;;;;
Android Design for Developers - Code Samples;0;11;0;;;;;;;;;;;;;;;;;;;;;;;
Android Developer Nanodegree - Spotify Web Api Wrapper;16;0;0;;;;;;;;;;;;;;;;;;;;;;;
Android Developer Nanodegree - StockHawk;12;2;0;;;;;;;;;;;;;;;;;;;;;;;
Android Developer Nanodegree - Widget Example;46;0;0;;;;;;;;;;;;;;;;;;;;;;;
Android Development for Beginners App : Just Java;12;0;0;;;;;;;;;;;;;;;;;;;;;;;
Android Development for Beginners App: Cookies;40;1;0;;;;;;;;;;;;;;;;;;;;;;;
Android Development for Beginners App: Menu;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Android Nanodegree - Sandwich Club;7;0;0;;;;;;;;;;;;;;;;;;;;;;;
Android Nanodegree - XYZ Reader Starter Code;50;2;0;;;;;;;;;;;;;;;;;;;;;;;
Android Operating System - Content Provider;41;0;0;;;;;;;;;;;;;;;;;;;;;;;
Angular Course - PostReader;8;1;0;;;;;;;;;;;;;;;;;;;;;;;
Angular Store - MyCart Project;4;1;0;;;;;;;;;;;;;;;;;;;;;;;
