type;count
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;6
bugs;0
bugs;0
bugs;4
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;5
bugs;3
bugs;6
bugs;0
bugs;0
bugs;0
bugs;4
bugs;0
bugs;11
bugs;0
bugs;2
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;2
bugs;0
bugs;1
bugs;1
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;4
bugs;0
bugs;0
bugs;3
bugs;0
bugs;0
bugs;167
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;3
bugs;6
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;6
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;6
bugs;2
bugs;2
bugs;1
bugs;5
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;2
bugs;0
bugs;0
bugs;0
bugs;8
bugs;0
bugs;0
bugs;6
bugs;6
bugs;6
bugs;4
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;21
bugs;32
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;13
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;2
bugs;0
bugs;0
bugs;0
bugs;0
bugs;4
bugs;4
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;18
bugs;1
bugs;0
bugs;0
bugs;0
bugs;9
bugs;0
bugs;0
bugs;1
bugs;1
bugs;0
bugs;10
bugs;0
bugs;2
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;2
bugs;0
bugs;0
bugs;1
bugs;0
bugs;1
bugs;0
bugs;0
bugs;1
bugs;1
bugs;1
bugs;0
bugs;1
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;4
bugs;0
bugs;0
bugs;0
bugs;2
bugs;0
bugs;0
bugs;3
bugs;0
bugs;23
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;3
bugs;0
bugs;2
bugs;3
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;2
bugs;2
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;3
bugs;1
bugs;1
bugs;0
bugs;3
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;2
bugs;3
bugs;0
bugs;0
bugs;1
bugs;0
bugs;1
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;1
bugs;3
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;2
bugs;1
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;0
bugs;1
bugs;0
bugs;0
bugs;3
bugs;3
bugs;1
bugs;1
bugs;0
bugs;0
bugs;0
