language,lines_of_code
Python,427
Javascript,206
Javascript,1991
Javascript,2492
Javascript,93
Javascript,755
Java,725
Java,1577
Java,3820
Java,501
Java,135
Java,931
Java,992
Javascript,381
Java,1289
Java,700
Java,1035
Java,118
Typescript,1862
Java,859
Java,603
Typescript,135
Javascript,174
Javascript,68
Javascript,55
Python,169
Javascript,174
Java,328
Python,528
Java,620
Java,903
Java,256
Python,335
Java,814
Typescript,97
Typescript,201
Javascript,220
Java,343
Java,1369
Java,3821
Typescript,952
Python,180
Java,407
Java,612
Java,909
Typescript,461
Typescript,748
Python,79
Java,226
Go,263
Java,273
Java,288
Python,316
Java,378
Python,381
Java,590
Python,219
Java,225
Python,342
Java,403
Java,700
Java,992
Typescript,432
Typescript,413
Python,76
Python,142
Java,205
Python,257
Java,305
Python,367
Java,393
Javascript,1117
Java,813
Javascript,339
Python,56
Typescript,799
Python,72
Typescript,322
Typescript,347
Typescript,461
Javascript,26
Javascript,416
Javascript,134
Javascript,230
Javascript,248
Javascript,24
Javascript,94
Javascript,176
Javascript,108
Javascript,99
Javascript,73
Javascript,208
Python,207
Javascript,142
Python,235
Python,241
Javascript,69
Javascript,166
Javascript,171
Javascript,160
Javascript,388
Typescript,114
Typescript,281
Typescript,128
Typescript,364
Typescript,129
Javascript,96
Javascript,637
Javascript,253
Java,5866
Typescript,927
Typescript,270
Javascript,212
Typescript,1074
Typescript,500
Java,19
Python,35
Python,61
Python,64
Python,65
Typescript,130
Typescript,748
Go,88
Python,93
Python,97
Go,111
Python,113
Python,119
Go,120
Python,125
Go,144
Javascript,142
Javascript,53
Go,188
Java,198
Javascript,85
Javascript,62
Java,208
Python,223
Python,226
Python,236
Java,271
Python,411
Java,449
Python,716
Javascript,126
Javascript,188
Java,880
Java,1003
Java,1277
Java,2392
Java,2396
Typescript,118
Javascript,337
Typescript,228
Typescript,108
Typescript,91
Typescript,362
Javascript,141
Typescript,688
Typescript,955
Typescript,309
Java,22594
Java,260
Java,5747
Java,933
Java,239
Java,709
Java,1569
Java,1004
Java,233
Java,841
Java,2571
Python,1758
Python,387
Python,725
Python,313
Python,301
Java,819
Java,272
Java,275
Java,213
Java,154
Java,527
Java,262
Java,2540
Java,81
Java,332
Java,207
Java,44
Java,156
Java,148
Java,186
Java,1813
Java,761
Typescript,402
Typescript,451
Typescript,111
Javascript,4308
Javascript,614
Python,220
Python,220
Python,2774
Javascript,253
Python,213
Java,55
Java,267
Python,131
Javascript,105
Javascript,442
Javascript,201
Javascript,91651
Java,9604
Python,1451
Python,157
Python,181
Javascript,86
Javascript,109
Typescript,7427
Typescript,7737
Python,112
Python,620
Java,733
Java,179
Python,41
Java,644
Python,157
Javascript,162
Javascript,166
Javascript,567
Python,298
Python,61
Java,12791
Java,13254
Java,3576
Python,51
Java,81
Python,1091
Javascript,609
Typescript,616
Javascript,6004
Javascript,67
Java,3858
Python,310
Java,490
Java,4362
Java,230
Python,65
Python,400
Python,1891
Python,199
Javascript,105
Javascript,389
Javascript,111
Javascript,138
Javascript,728
Python,1889
Python,231
Typescript,612
Python,21
Python,280
Python,1196
Python,434
Python,596
Typescript,1387
Python,381
Python,242
Go,4322
Python,1017
Java,4433
Java,5018
Java,828
Javascript,66
Javascript,11
Typescript,1202
Java,1536
Java,7066
Python,315
Python,748
Python,992
Javascript,16070
Python,2381
Python,63
Javascript,317
Python,213
Javascript,1503
Python,767
Java,920
Java,1915
Java,4526
Java,657
Java,1944
Java,2012
Java,697
Javascript,97
Javascript,56
Javascript,55
Javascript,124
Javascript,79
Javascript,15838
Javascript,62
Python,280
Python,279
Go,8515
Javascript,133
Python,1106
Python,536
Javascript,364
Javascript,7099
Javascript,319
Python,79
Typescript,1387
Javascript,332
Javascript,330
Python,3762
Javascript,299
Python,60
Python,518
Javascript,280
Javascript,326
Javascript,1555
Javascript,237
Javascript,321
Javascript,6111
Javascript,325
Javascript,382
Javascript,178
Javascript,438
Javascript,576
Java,15064
Python,625
Python,244
Python,31
Go,532
Javascript,3146
Python,79
Python,416
Python,4348
Python,3383
Python,112
Javascript,110
Python,299
Javascript,7083
Javascript,217
Python,175
Go,559
Javascript,248
Javascript,1730
Python,2089
Python,4659
Javascript,239
Javascript,110
