language,lines_of_code
Python,427
Javascript,206
Javascript,1991
Javascript,2492
Javascript,93
Javascript,755
Java,725
Java,1577
Java,3820
Java,501
Java,135
Java,931
Java,992
Javascript,381
Java,1289
Java,700
Java,1035
Java,118
Typescript,1862
Java,859
Java,603
Typescript,135
Javascript,174
Javascript,68
Javascript,55
Python,169
Javascript,174
Java,328
Python,528
Java,620
Java,903
Java,256
Python,335
Java,814
Typescript,97
Typescript,201
Javascript,220
Java,343
Java,1369
Java,3821
Typescript,952
Python,180
Java,407
Java,612
Java,909
Typescript,461
Typescript,748
Python,79
Java,226
Go,263
Java,273
Java,288
Python,316
Java,378
Python,381
Java,590
Python,219
Java,225
Python,342
Java,403
Java,700
Java,992
Typescript,432
Typescript,413
Python,76
Python,142
Java,205
Python,257
Java,305
Python,367
Java,393
Javascript,1117
Java,813
Javascript,339
Python,56
Typescript,799
Python,72
Typescript,322
Typescript,347
Typescript,461
Javascript,26
Javascript,416
Javascript,134
Javascript,230
Javascript,248
Javascript,24
Javascript,94
Javascript,176
Javascript,108
Javascript,99
Javascript,73
Javascript,208
Python,207
Javascript,142
Python,235
Python,241
Javascript,69
Javascript,166
Javascript,171
Javascript,160
Javascript,388
Typescript,114
Typescript,281
Typescript,128
Typescript,364
Typescript,129
Javascript,96
Javascript,637
Javascript,253
Java,5866
Typescript,927
Typescript,270
Javascript,212
Typescript,1074
Typescript,500
Java,19
Python,35
Python,61
Python,64
Python,65
Typescript,130
Typescript,748
Go,88
Python,93
Python,97
Go,111
Python,113
Python,119
Go,120
Python,125
Go,144
Javascript,142
Javascript,53
Go,188
Java,198
Javascript,85
Javascript,62
Java,208
Python,223
Python,226
Python,236
Java,271
Python,411
Java,449
Python,716
Javascript,126
Javascript,188
Java,880
Java,1003
Java,1277
Java,2392
Java,2396
Typescript,118
Javascript,337
Typescript,228
Typescript,108
Typescript,91
Typescript,362
Javascript,141
Typescript,688
Typescript,955
Typescript,309
