language,lines_of_code
Python,3762
Python,231
Java,1813
Java,207
Javascript,6111
Go,8515
Java,761
Java,156
Python,1017
Java,9604
Python,213
Java,819
Typescript,7737
Python,518
Python,1451
Python,157
Javascript,364
Java,81
Java,179
Python,244
Java,4362
Python,175
Java,260
Java,332
Python,625
Python,387
Python,242
Python,767
Java,3576
Java,1915
Java,275
Javascript,576
Java,186
Javascript,162
Javascript,438
Javascript,382
Javascript,389
Python,21
Javascript,319
Javascript,7099
Javascript,111
Python,725
Java,267
Javascript,321
Python,31
Javascript,110
Javascript,178
Javascript,325
Javascript,326
Javascript,86
Java,4433
Java,272
Java,5018
Java,148
Java,81
Java,4526
Java,239
Java,12791
Java,13254
Java,828
Java,2540
Python,79
Java,44
Javascript,1730
Python,2774
Java,5747
Python,131
Python,1889
Python,280
Java,55
Go,532
Javascript,16070
Java,230
Python,1196
Java,213
Python,381
Python,112
Java,527
Python,61
Javascript,105
Javascript,1503
Java,22594
Python,313
Python,1091
Javascript,97
Javascript,55
Java,709
Python,41
Java,1004
Python,1891
Java,233
Java,933
Java,841
Java,154
Javascript,56
Java,1569
Javascript,124
Python,301
Javascript,239
Python,620
Javascript,79
Python,1758
Java,15064
Java,657
Python,112
Javascript,248
Java,3858
Javascript,330
Python,310
Python,315
Java,7066
Python,596
Javascript,105
Javascript,4308
Python,2381
Python,65
Javascript,217
Python,4348
Python,434
Python,400
Java,262
Typescript,111
Javascript,7083
Typescript,1387
Typescript,1387
Typescript,612
Javascript,11
Python,199
Javascript,110
Python,416
Javascript,614
Javascript,442
Go,559
Python,3383
Python,220
Javascript,201
Javascript,1555
Java,2571
Java,1536
Python,2089
Typescript,7427
Javascript,253
Java,733
Javascript,237
Python,1106
Java,2012
Java,697
Python,279
Java,490
Typescript,1202
Javascript,166
Python,4659
Python,63
Javascript,299
Javascript,91651
Go,4322
Javascript,280
Python,298
Typescript,402
Python,157
Javascript,317
Javascript,67
Python,280
Python,299
Javascript,3146
Javascript,6004
Java,920
Python,536
Python,213
Javascript,609
Python,220
Javascript,332
Javascript,62
Java,644
Python,79
Javascript,66
Python,992
Javascript,15838
Javascript,567
Python,748
Python,181
Typescript,451
Javascript,133
Javascript,109
Javascript,728
Python,60
Java,1944
Python,51
Typescript,616
Javascript,138
