stargazers	total_code_smells	total_bugs	total_vulnerabilities	issues
7	1039	167	9	1215
252	364	0	0	364
7	233	0	0	233
27	217	18	0	235
391	182	0	0	182
38	144	0	0	144
2053	129	0	0	129
316	122	5	0	127
458	95	9	0	104
437	95	1	0	96
30	95	0	0	95
170	88	0	0	88
20	76	0	0	76
81	61	0	0	61
13	60	0	0	60
47	59	0	0	59
114	52	4	0	56
430	47	0	0	47
12	46	0	0	46
140	46	0	0	46
3	38	4	0	42
499	38	4	0	42
16	36	0	1	37
3	36	0	0	36
116	34	0	1	35
154	33	0	0	33
55	32	2	0	34
24	32	0	0	32
47	32	0	0	32
123	32	0	0	32
2	31	0	0	31
11	31	0	0	31
275	31	0	0	31
265	30	0	0	30
79	28	2	0	30
2014	28	1	0	29
28	28	0	0	28
96	24	5	0	29
195	24	3	0	27
38	24	0	0	24
156	23	1	0	24
6	20	0	0	20
367	20	0	0	20
2	16	0	0	16
23	16	0	0	16
242	15	4	0	19
0	15	1	0	16
2	13	1	0	14
19	13	0	0	13
60	12	0	1	13
24	12	1	0	13
93	12	1	0	13
0	12	0	0	12
495	12	0	0	12
18	11	0	0	11
0	10	0	0	10
9	10	0	0	10
25	10	0	0	10
27	10	0	0	10
98	9	4	0	13
1	8	0	1	9
0	8	2	0	10
5	8	1	0	9
2	8	0	0	8
20	8	0	0	8
23	8	0	0	8
423	8	0	0	8
11	7	0	1	8
0	7	0	0	7
5	7	0	0	7
28	7	0	0	7
116	6	0	1	7
2	6	0	0	6
8	6	0	0	6
64	6	0	0	6
28	5	0	1	6
3	5	2	0	7
25	5	0	0	5
74	5	0	0	5
90	5	0	0	5
0	4	1	0	5
28	4	1	0	5
1	4	0	0	4
8	4	0	0	4
10	4	0	0	4
15	4	0	0	4
16	4	0	0	4
24	4	0	0	4
65	4	0	0	4
179	4	0	0	4
670	4	0	0	4
0	3	0	0	3
4	3	0	0	3
5	3	0	0	3
8	3	0	0	3
11	3	0	0	3
11	3	0	0	3
22	3	0	0	3
25	3	0	0	3
60	2	21	0	23
2	2	0	0	2
90	2	0	0	2
245	2	0	0	2
8	1	1	0	2
0	1	0	0	1
0	1	0	0	1
0	1	0	0	1
4	1	0	0	1
7	1	0	0	1
12	1	0	0	1
57	1	0	0	1
139	1	0	0	1
339	1	0	0	1
347	0	4	1	5
590	0	11	0	11
0	0	8	0	8
0	0	6	0	6
50	0	6	0	6
104	0	6	0	6
112	0	6	0	6
144	0	6	0	6
145	0	6	0	6
1	0	1	0	1
5	0	1	0	1
34	0	1	0	1
0	0	0	0	0
0	0	0	0	0
13	0	0	0	0
35	0	0	0	0
114	0	0	0	0
139	0	0	0	0
208	0	0	0	0
302	0	0	0	0
