severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		35.0		java:S453	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo	10min		Standard functional interfaces should not be redefined	2023-03-07T02:54:15+0000	CODE_SMELL	true	java8 /	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo:		MAIN	{startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MAJOR	2023-03-07T02:54:15+0000		48.0		java:S6019	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo	10min		Reluctant quantifiers in regular expressions should be followed by an expression that can't match the empty string	2023-03-07T02:54:15+0000	CODE_SMELL	false	pitfall /	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo:		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		27.0		java:S3457	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo	10min		Printf-style format strings should be used correctly	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice /	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MINOR	2023-03-07T02:54:15+0000		46.0		java:S1939	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo	1min		Extensions and implementations should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo:		MAIN	{startLine=16.0, endLine=16.0, startOffset=44.0, endOffset=55.0}	1min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
CRITICAL	2023-03-07T02:54:15+0000		28.0		java:S134	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo	10min		"Control flow statements ""if"", ""for"", ""while"", ""switch"" and ""try"" should not be nested too deeply"	2023-03-07T02:54:15+0000	CODE_SMELL	true	brain-overload /	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=26.0}	10min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S1659	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo	2min		"Declare ""ai_j"" on a separate line."	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / convention / 	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
INFO	2023-03-07T02:54:15+0000		47.0		java:S1133	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo	2min		Deprecated code should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / serialization / 	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo:		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	2min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		7.0		java:S1163	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo	30min		Exceptions should not be thrown in finally blocks	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo:		MAIN	{startLine=174.0, endLine=174.0, startOffset=73.0, endOffset=87.0}	30min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		25.0		java:S1948	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo	30min		"Make ""x"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Algoritmos-II:-MergeSort-QuickSort-Busca-Bin-ria-e-An-lise-de-Algoritmo:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
