severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-07T02:54:15+0000		139.0		java:S3626	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es:		MAIN	{startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=15.0}	1min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		90.0		java:S2184	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es	5min		Math operands should be cast before assignment	2023-03-07T02:54:15+0000	BUG	true	bad-practice / cert / owasp-a3 / 	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		136.0		java:S2236	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es	30min		"Methods ""wait(...)"", ""notify()"" and ""notifyAll()"" should not be called on Thread instances"	2023-03-07T02:54:15+0000	BUG	false	cwe / confusing /	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MAJOR	2023-03-07T02:54:15+0000		160.0		java:S1221	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es	10min		"Methods should not be named ""tostring"", ""hashcode"" or ""equal"	2023-03-07T02:54:15+0000	BUG	true	obsolete / pitfall /	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
BLOCKER	2023-03-07T02:54:15+0000		52.0		java:S2115	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es	45min		A secure password should be used when connecting to a database	2023-03-07T02:54:15+0000	VULNERABILITY	true	cwe / owasp-a2 / spring	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es:		MAIN	{startLine=11.0, endLine=11.0, startOffset=36.0, endOffset=85.0}	45min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
BLOCKER	2023-03-07T02:54:15+0000		25.0		java:S2387	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es	5min		"""x"" is the name of a field in ""Component""."	2023-03-07T02:54:15+0000	CODE_SMELL	false	confusing / 	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		25.0		java:S1948	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es	30min		"Make ""x"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		24.0		java:S1948	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es	30min		"Make ""grid"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	30min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
CRITICAL	2023-03-07T02:54:15+0000		97.0		java:S2444	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es	30min		"Lazy initialization of ""static"" fields should be ""synchronized"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es:		MAIN	{startLine=97.0, endLine=97.0, startOffset=4.0, endOffset=119.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MINOR	2023-03-07T02:54:15+0000		92.0		java:S1698	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es	2min		"""=="" and ""!="" should not be used when ""equals"" is overridden"	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / cwe / suspicious /	Java-Exce-es:-aprenda-a-criar-lan-ar-e-controlar-exce-es:		MAIN	{startLine=131.0, endLine=111.0, startOffset=35.0, endOffset=41.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
