severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-07T02:54:15+0000		97.0		java:S2444	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC	30min		"Lazy initialization of ""static"" fields should be ""synchronized"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC:		MAIN	{startLine=97.0, endLine=97.0, startOffset=4.0, endOffset=119.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MINOR	2023-03-07T02:54:15+0000		92.0		java:S1698	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC	2min		"""=="" and ""!="" should not be used when ""equals"" is overridden"	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / cwe / suspicious /	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC:		MAIN	{startLine=131.0, endLine=111.0, startOffset=35.0, endOffset=41.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		90.0		java:S4288	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC	2min		Spring components should use constructor injection	2023-03-07T02:54:15+0000	CODE_SMELL	false	design / spring /	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
CRITICAL	2023-03-07T02:54:15+0000		9.0		java:S3937	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC:		MAIN	{startLine=38.0, endLine=38.0, startOffset=22.0, endOffset=36.0}	10min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		7.0		java:S1163	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC	30min		Exceptions should not be thrown in finally blocks	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC:		MAIN	{startLine=174.0, endLine=174.0, startOffset=73.0, endOffset=87.0}	30min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		68.0		java:S3935	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC	2min		"Unused ""private"" classes should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	unused /	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	2min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		65.0		java:S1820	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC	1h		Classes should not have too many fields	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice /	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC:		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=105.0}	1h	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		63.0		java:S3937	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	suspicious /	Java-Servlet:-autentica-o-autoriza-o-e-o-padr-o-MVC:		MAIN	{startLine=63.0, endLine=63.0, startOffset=8.0, endOffset=58.0}	10min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
