severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-07T02:54:15+0000		119.0		java:S117	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	2min		Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S1659	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	2min		"Declare ""ai_j"" on a separate line."	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / convention / 	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		122.0		java:S2140	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	5min		"Use ""java.util.Random.nextInt()"" instead."	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / 	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=122.0, endLine=122.0, startOffset=30.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MINOR	2023-03-07T02:54:15+0000		123.0		java:S2140	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	5min		"Use ""java.util.Random.nextInt()"" instead."	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / 	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=123.0, endLine=123.0, startOffset=30.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
MAJOR	2023-03-07T02:54:15+0000		13.0		java:S3824	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	10min		"""Map.get"" and value test should be replaced with single method call"	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / cwe /	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=47.0, endLine=47.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		27.0		java:S3457	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	10min		Printf-style format strings should be used correctly	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice /	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		28.0		java:S134	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	10min		"Control flow statements ""if"", ""for"", ""while"", ""switch"" and ""try"" should not be nested too deeply"	2023-03-07T02:54:15+0000	CODE_SMELL	true	brain-overload /	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=26.0}	10min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
CRITICAL	2023-03-07T02:54:15+0000		28.0		java:S1541	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	20min		Methods should not be too complex	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / confusing / redundant /	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=11.0, endLine=11.0, startOffset=36.0, endOffset=85.0}	20min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		34.0		java:S3038	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	2min		Abstract methods should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=107.0, endLine=107.0, startOffset=8.0, endOffset=31.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S113	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	1min		Files should contain an empty newline at the end	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=46.0, endLine=46.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
MAJOR	2023-03-07T02:54:15+0000		50.0		java:S1068	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	5min		"Unused ""private"" fields should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=52.0, endLine=52.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		52.0		java:S2479	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	10min		Whitespace and control characters in literals should be explicit	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / unused /	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=9.0, endLine=9.0, startOffset=4.0, endOffset=24.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		19.0		java:S2583	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	15min		Conditionally executed code should be reachable	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		63.0		java:S3958	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	10min		Intermediate Stream methods should not be left unused	2023-03-07T02:54:15+0000	BUG	false	convention / 	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=26.0}	10min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		90.0		java:S2184	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	5min		Math operands should be cast before assignment	2023-03-07T02:54:15+0000	BUG	true	bad-practice / cert / owasp-a3 / 	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		101.0		java:S2275	Java-e-Domain-Driven-Design:-apresentando-os-conceitos	10min		Printf-style format strings should not lead to unexpected behavior at runtime	2023-03-07T02:54:15+0000	BUG	false	clumsy / 	Java-e-Domain-Driven-Design:-apresentando-os-conceitos:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
