severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-07T02:54:15+0000		9.0		java:S3937	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=38.0, endLine=38.0, startOffset=22.0, endOffset=36.0}	10min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		7.0		java:S1163	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	30min		Exceptions should not be thrown in finally blocks	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=174.0, endLine=174.0, startOffset=73.0, endOffset=87.0}	30min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		68.0		java:S3935	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	2min		"Unused ""private"" classes should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	unused /	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	2min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		63.0		java:S3937	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	suspicious /	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=63.0, endLine=63.0, startOffset=8.0, endOffset=58.0}	10min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S2677	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	5min		"""read"" and ""readLine"" return values should be used"	2023-03-07T02:54:15+0000	BUG	false	convention / 	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		29.0		java:S5917	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	10min		DateTimeFormatters should not use mismatched year and week numbers	2023-03-07T02:54:15+0000	BUG	false	confusing / 	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MINOR	2023-03-07T02:54:15+0000		370.0		java:S2055	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	30min		"The non-serializable super class of a ""Serializable"" class should have a no-argument constructor"	2023-03-07T02:54:15+0000	BUG	false	bad-practice /	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=26.0}	30min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S4454	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	3min		"""equals"" method parameters should not be marked ""@Nonnull"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=31.0}	3min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		13.0		java:S3824	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	10min		"""Map.get"" and value test should be replaced with single method call"	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / cwe /	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=47.0, endLine=47.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		123.0		java:S2140	Java-e-JDBC:-trabalhando-com-um-banco-de-dados	5min		"Use ""java.util.Random.nextInt()"" instead."	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / 	Java-e-JDBC:-trabalhando-com-um-banco-de-dados:		MAIN	{startLine=123.0, endLine=123.0, startOffset=30.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
