severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		7.0		java:S1163	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	30min		Exceptions should not be thrown in finally blocks	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=174.0, endLine=174.0, startOffset=73.0, endOffset=87.0}	30min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		39.0		java:S2093	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	15min		Try-with-resources should be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / java8 / pitfal	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=26.0}	15min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		39.0		java:S1128	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	2min		Unnecessary imports should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=24.0}	2min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MINOR	2023-03-07T02:54:15+0000		38.0		java:S2094	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	5min		Classes should not be empty	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=16.0, endLine=16.0, startOffset=57.0, endOffset=77.0}	5min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MAJOR	2023-03-07T02:54:15+0000		36.0		java:S1144	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	5min		"Unused ""private"" methods should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
BLOCKER	2023-03-07T02:54:15+0000		25.0		java:S2387	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	5min		"""x"" is the name of a field in ""Component""."	2023-03-07T02:54:15+0000	CODE_SMELL	false	confusing / 	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		25.0		java:S1948	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	30min		"Make ""x"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S4454	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	3min		"""equals"" method parameters should not be marked ""@Nonnull"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=31.0}	3min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
BLOCKER	2023-03-07T02:54:15+0000		17.0		java:S3014	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	45min		"""ThreadGroup"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / design / suspicious /	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	45min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S2057	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	5min		"""Serializable"" classes should have a ""serialVersionUID"""	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / pitfall / serialization /	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=92.0, endLine=92.0, startOffset=8.0, endOffset=31.0}	5min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		161.0		java:S1197	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	5min		Move the array designators [] to the type.	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=161.0, endLine=161.0, startOffset=35.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MINOR	2023-03-07T02:54:15+0000		16.0		java:S1264	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL	5min		"A ""while"" loop should be used instead of a ""for"" loop"	2023-03-07T02:54:15+0000	CODE_SMELL	false	performance /	Java-e-MongoDB:-integre-uma-webapp-Java-com-um-banco-NoSQL:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
