severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		68.0		java:S3935	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	2min		"Unused ""private"" classes should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	unused /	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	2min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
INFO	2023-03-07T02:54:15+0000		47.0		java:S1133	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	2min		Deprecated code should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / serialization / 	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	2min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		39.0		java:S1128	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	2min		Unnecessary imports should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=24.0}	2min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MINOR	2023-03-07T02:54:15+0000		34.0		java:S3038	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	2min		Abstract methods should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=107.0, endLine=107.0, startOffset=8.0, endOffset=31.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		152.0		java:S1488	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	2min		"Immediately return this expression instead of assigning it to the temporary variable ""result""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	clumsy / 	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=152.0, endLine=152.0, startOffset=24.0, endOffset=30.0}	2min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S117	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	2min		Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=119.0, endLine=119.0, startOffset=16.0, endOffset=20.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S117	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	2min		Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S1659	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	2min		"Declare ""ai_j"" on a separate line."	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / convention / 	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		100.0		java:S1596	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	2min		"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
CRITICAL	2023-03-07T02:54:15+0000		97.0		java:S2444	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	30min		"Lazy initialization of ""static"" fields should be ""synchronized"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=97.0, endLine=97.0, startOffset=4.0, endOffset=119.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
CRITICAL	2023-03-07T02:54:15+0000		7.0		java:S1163	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	30min		Exceptions should not be thrown in finally blocks	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=174.0, endLine=174.0, startOffset=73.0, endOffset=87.0}	30min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Microsservi-os-na-pr-tica:-implementando-com-Java-e-Spring:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
