severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-07T02:54:15+0000		38.0		java:S2094	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	5min		Classes should not be empty	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=16.0, endLine=16.0, startOffset=57.0, endOffset=77.0}	5min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MAJOR	2023-03-07T02:54:15+0000		50.0		java:S1068	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	5min		"Unused ""private"" fields should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=52.0, endLine=52.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		24.0		java:S108	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	5min		Nested blocks of code should not be left empty	2023-03-07T02:54:15+0000	CODE_SMELL	false	suspicious /	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		17.0		java:S3014	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	45min		"""ThreadGroup"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / design / suspicious /	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	45min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MINOR	2023-03-07T02:54:15+0000		34.0		java:S3038	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	2min		Abstract methods should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=107.0, endLine=107.0, startOffset=8.0, endOffset=31.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
INFO	2023-03-07T02:54:15+0000		47.0		java:S1133	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	2min		Deprecated code should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / serialization / 	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	2min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		39.0		java:S1128	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	2min		Unnecessary imports should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=24.0}	2min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		68.0		java:S3935	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	2min		"Unused ""private"" classes should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	unused /	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	2min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		90.0		java:S4288	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	2min		Spring components should use constructor injection	2023-03-07T02:54:15+0000	CODE_SMELL	false	design / spring /	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		8.0		java:S2111	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-	10min		"""BigDecimal(double)"" should not be used"	2023-03-07T02:54:15+0000	BUG	false	clumsy / unused /	Seguran-a-web-em-Java-parte-2:-XSS-Mass-Assignment-e-Uploads-de-arquivos-:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	10min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
