severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-07T02:54:15+0000		9.0		java:S3937	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=38.0, endLine=38.0, startOffset=22.0, endOffset=36.0}	10min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		7.0		java:S1163	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	30min		Exceptions should not be thrown in finally blocks	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=174.0, endLine=174.0, startOffset=73.0, endOffset=87.0}	30min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		68.0		java:S3935	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	2min		"Unused ""private"" classes should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	unused /	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	2min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		65.0		java:S1820	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	1h		Classes should not have too many fields	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice /	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=105.0}	1h	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		63.0		java:S3937	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	suspicious /	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=63.0, endLine=63.0, startOffset=8.0, endOffset=58.0}	10min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		61.0		java:S1444	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	20min		"""public static"" fields should be constant"	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=21.0}	20min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
CRITICAL	2023-03-07T02:54:15+0000		52.0		java:S2479	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	10min		Whitespace and control characters in literals should be explicit	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / unused /	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=9.0, endLine=9.0, startOffset=4.0, endOffset=24.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		34.0		java:S2225	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	5min		"""toString()"" and ""clone()"" methods should not return null"	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MINOR	2023-03-07T02:54:15+0000		39.0		java:S1128	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	2min		Unnecessary imports should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=24.0}	2min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MINOR	2023-03-07T02:54:15+0000		38.0		java:S2094	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	5min		Classes should not be empty	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=16.0, endLine=16.0, startOffset=57.0, endOffset=77.0}	5min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MAJOR	2023-03-07T02:54:15+0000		36.0		java:S1144	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	5min		"Unused ""private"" methods should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S4454	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	3min		"""equals"" method parameters should not be marked ""@Nonnull"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=31.0}	3min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
BLOCKER	2023-03-07T02:54:15+0000		17.0		java:S3014	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	45min		"""ThreadGroup"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / design / suspicious /	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	45min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S1659	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	2min		"Declare ""ai_j"" on a separate line."	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / convention / 	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		11.0		java:S2111	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	5min		"""BigDecimal(double)"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=17.0, endLine=17.0, startOffset=61.0, endOffset=81.0}	5min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MAJOR	2023-03-07T02:54:15+0000		107.0		java:S1161	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications	5min		"""@Override"" should be used on overriding and implementing methods"	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / 	Spring-Data-JPA:-Reposit-rios-Consultas-Proje-es-e-Specifications:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
