severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-07T02:54:15+0000		92.0		java:S1698	Threads-em-Java-1:-programa-o-paralela	2min		"""=="" and ""!="" should not be used when ""equals"" is overridden"	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / cwe / suspicious /	Threads-em-Java-1:-programa-o-paralela:		MAIN	{startLine=131.0, endLine=111.0, startOffset=35.0, endOffset=41.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		100.0		java:S1596	Threads-em-Java-1:-programa-o-paralela	2min		"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Threads-em-Java-1:-programa-o-paralela:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		34.0		java:S3038	Threads-em-Java-1:-programa-o-paralela	2min		Abstract methods should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Threads-em-Java-1:-programa-o-paralela:		MAIN	{startLine=107.0, endLine=107.0, startOffset=8.0, endOffset=31.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
INFO	2023-03-07T02:54:15+0000		47.0		java:S1133	Threads-em-Java-1:-programa-o-paralela	2min		Deprecated code should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / serialization / 	Threads-em-Java-1:-programa-o-paralela:		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	2min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		11.0		java:S2111	Threads-em-Java-1:-programa-o-paralela	5min		"""BigDecimal(double)"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Threads-em-Java-1:-programa-o-paralela:		MAIN	{startLine=17.0, endLine=17.0, startOffset=61.0, endOffset=81.0}	5min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		5.0		java:S126	Threads-em-Java-1:-programa-o-paralela	5min		"""if ... else if"" constructs should end with ""else"" clauses"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / pitfall / serialization /	Threads-em-Java-1:-programa-o-paralela:		MAIN	{startLine=34.0, endLine=34.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MINOR	2023-03-07T02:54:15+0000		16.0		java:S1264	Threads-em-Java-1:-programa-o-paralela	5min		"A ""while"" loop should be used instead of a ""for"" loop"	2023-03-07T02:54:15+0000	CODE_SMELL	false	performance /	Threads-em-Java-1:-programa-o-paralela:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		36.0		java:S1144	Threads-em-Java-1:-programa-o-paralela	5min		"Unused ""private"" methods should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Threads-em-Java-1:-programa-o-paralela:		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		50.0		java:S1068	Threads-em-Java-1:-programa-o-paralela	5min		"Unused ""private"" fields should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Threads-em-Java-1:-programa-o-paralela:		MAIN	{startLine=52.0, endLine=52.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		8.0		java:S1217	Threads-em-Java-1:-programa-o-paralela	20min		"""Thread.run()"" should not be called directly"	2023-03-07T02:54:15+0000	BUG	true	cwe / serialization / 	Threads-em-Java-1:-programa-o-paralela:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	20min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
