severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-05T21:03:58+0000		3.0		javascript:S3504	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:03:58+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript:acessibilidade-web-front-end-2-7322e9ea918a0a4a4abe7f4a87a1c1eb5974b0a4/js/carousel.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=8.0}	5min	AYazlttV1m6JgciZ1mcF	95dddb375f2a2b9a80c7229dec882716	OPEN
CRITICAL	2023-03-05T21:03:58+0000		4.0		javascript:S3504	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:03:58+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript:acessibilidade-web-front-end-2-7322e9ea918a0a4a4abe7f4a87a1c1eb5974b0a4/js/carousel.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=12.0}	5min	AYazlttV1m6JgciZ1mcG	8bfa5ff31e861c07dad6298fc9bf1a28	OPEN
CRITICAL	2023-03-05T21:03:58+0000		7.0		javascript:S3504	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:03:58+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript:acessibilidade-web-front-end-2-7322e9ea918a0a4a4abe7f4a87a1c1eb5974b0a4/js/carousel.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=8.0}	5min	AYazlttV1m6JgciZ1mcH	290bd7a6e81818ebfc2c466e8a71f743	OPEN
CRITICAL	2023-03-05T21:03:58+0000		8.0		javascript:S3504	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:03:58+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript:acessibilidade-web-front-end-2-7322e9ea918a0a4a4abe7f4a87a1c1eb5974b0a4/js/carousel.js		MAIN	{startLine=8.0, endLine=8.0, startOffset=0.0, endOffset=8.0}	5min	AYazlttV1m6JgciZ1mcI	16753709ccafbc50cb8e7b684786f7e7	OPEN
CRITICAL	2023-03-05T21:03:58+0000		9.0		javascript:S3504	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:03:58+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript:acessibilidade-web-front-end-2-7322e9ea918a0a4a4abe7f4a87a1c1eb5974b0a4/js/carousel.js		MAIN	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=8.0}	5min	AYazlttV1m6JgciZ1mcJ	f73740efde1065a8726cde2adacb7b83	OPEN
CRITICAL	2023-03-05T21:03:58+0000		16.0		javascript:S3504	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:03:58+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript:acessibilidade-web-front-end-2-7322e9ea918a0a4a4abe7f4a87a1c1eb5974b0a4/js/carousel.js		MAIN	{startLine=16.0, endLine=16.0, startOffset=0.0, endOffset=23.0}	5min	AYazlttV1m6JgciZ1mcK	043a0b147ff773f9dc73ccd495f0f606	OPEN
CRITICAL	2023-03-05T21:03:58+0000		2.0		javascript:S3504	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:03:58+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript:acessibilidade-web-front-end-2-7322e9ea918a0a4a4abe7f4a87a1c1eb5974b0a4/js/dialog.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=22.0}	5min	AYazlttX1m6JgciZ1mcL	c3266e94f0f09f88a549c84ae9599c0b	OPEN
CRITICAL	2023-03-05T21:03:58+0000		3.0		javascript:S3504	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:03:58+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript:acessibilidade-web-front-end-2-7322e9ea918a0a4a4abe7f4a87a1c1eb5974b0a4/js/dialog.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=9.0}	5min	AYazlttX1m6JgciZ1mcM	2fa2009cdd23190b18e034f1d4c801f6	OPEN
CRITICAL	2023-03-05T21:03:58+0000		5.0		javascript:S3504	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:03:58+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript:acessibilidade-web-front-end-2-7322e9ea918a0a4a4abe7f4a87a1c1eb5974b0a4/js/dialog.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=17.0}	5min	AYazlttX1m6JgciZ1mcN	5c94a46586c7ce9fc22397b48a3d714c	OPEN
CRITICAL	2023-03-05T21:03:58+0000		6.0		javascript:S3504	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:03:58+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acessibilidade-web-parte-2:-componentes-acessiveis-com-um-pouco-de-JavaScript:acessibilidade-web-front-end-2-7322e9ea918a0a4a4abe7f4a87a1c1eb5974b0a4/js/dialog.js		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=10.0}	5min	AYazlttX1m6JgciZ1mcO	12753535533a558c948aa66eb9d8b280	OPEN
