severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-05T21:07:38+0000		3.0		javascript:S3504	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens	5min		Unexpected var, use let or const instead.	2023-03-05T21:07:38+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens:CursoExterno/Node/NodejsBigQuery/NodejsBigQuery/app.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=8.0}	5min	AYazmjPt1m6JgciZ1n_e	0eb29a139c79d70d2d90ab167d21990b	OPEN
CRITICAL	2023-03-05T21:07:38+0000		14.0		javascript:S3504	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens	5min		Unexpected var, use let or const instead.	2023-03-05T21:07:38+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens:CursoExterno/Node/NodejsBigQuery/NodejsBigQuery/programa001.js		MAIN	{startLine=14.0, endLine=14.0, startOffset=0.0, endOffset=8.0}	5min	AYazmjPn1m6JgciZ1n_U	0eb29a139c79d70d2d90ab167d21990b	OPEN
CRITICAL	2023-03-05T21:07:38+0000		17.0		javascript:S3504	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens	5min		Unexpected var, use let or const instead.	2023-03-05T21:07:38+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens:CursoExterno/Node/NodejsBigQuery/NodejsBigQuery/programa002.js		MAIN	{startLine=17.0, endLine=17.0, startOffset=0.0, endOffset=8.0}	5min	AYazmjPj1m6JgciZ1n_S	0eb29a139c79d70d2d90ab167d21990b	OPEN
CRITICAL	2023-03-05T21:07:38+0000		38.0		javascript:S3504	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens	5min		Unexpected var, use let or const instead.	2023-03-05T21:07:38+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens:CursoExterno/Node/NodejsBigQuery/NodejsBigQuery/programa003.js		MAIN	{startLine=38.0, endLine=38.0, startOffset=0.0, endOffset=8.0}	5min	AYazmjPh1m6JgciZ1n_R	0eb29a139c79d70d2d90ab167d21990b	OPEN
CRITICAL	2023-03-05T21:07:38+0000		12.0		javascript:S3504	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens	5min		Unexpected var, use let or const instead.	2023-03-05T21:07:38+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens:CursoExterno/Node/NodejsBigQuery/NodejsBigQuery/programa004.js		MAIN	{startLine=12.0, endLine=12.0, startOffset=0.0, endOffset=8.0}	5min	AYazmjPl1m6JgciZ1n_T	0eb29a139c79d70d2d90ab167d21990b	OPEN
MINOR	2023-03-05T21:07:38+0000		26.0		javascript:S1481	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens	5min		Remove the declaration of the unused 'tableAgencias' variable.	2023-03-05T21:07:38+0000	CODE_SMELL	false	"unused / "	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens:CursoExterno/Node/NodejsBigQuery/NodejsBigQuery/programaByteBank002.js		MAIN	{startLine=26.0, endLine=26.0, startOffset=11.0, endOffset=24.0}	5min	AYazmjPo1m6JgciZ1n_V	ca933e3e2878cb65a1969e4dd43eb03a	OPEN
MAJOR	2023-03-05T21:07:38+0000		26.0		javascript:S1854	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens	15min		"Remove this useless assignment to variable ""tableAgencias""."	2023-03-05T21:07:38+0000	CODE_SMELL	false	"cwe / unused / "	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens:CursoExterno/Node/NodejsBigQuery/NodejsBigQuery/programaByteBank002.js		MAIN	{startLine=26.0, endLine=26.0, startOffset=11.0, endOffset=24.0}	15min	AYazmjPo1m6JgciZ1n_W	ca933e3e2878cb65a1969e4dd43eb03a	OPEN
MINOR	2023-03-05T21:07:38+0000		27.0		javascript:S1481	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens	5min		Remove the declaration of the unused 'tableClientes' variable.	2023-03-05T21:07:38+0000	CODE_SMELL	false	"unused / "	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens:CursoExterno/Node/NodejsBigQuery/NodejsBigQuery/programaByteBank002.js		MAIN	{startLine=27.0, endLine=27.0, startOffset=11.0, endOffset=24.0}	5min	AYazmjPo1m6JgciZ1n_X	11ce614af66965f37de3e67abd88388f	OPEN
MAJOR	2023-03-05T21:07:38+0000		27.0		javascript:S1854	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens	15min		"Remove this useless assignment to variable ""tableClientes""."	2023-03-05T21:07:38+0000	CODE_SMELL	false	"cwe / unused / "	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens:CursoExterno/Node/NodejsBigQuery/NodejsBigQuery/programaByteBank002.js		MAIN	{startLine=27.0, endLine=27.0, startOffset=11.0, endOffset=24.0}	15min	AYazmjPo1m6JgciZ1n_Y	11ce614af66965f37de3e67abd88388f	OPEN
MINOR	2023-03-05T21:07:38+0000		28.0		javascript:S1481	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens	5min		Remove the declaration of the unused 'tableContasCorrente' variable.	2023-03-05T21:07:38+0000	CODE_SMELL	false	"unused / "	Acesso-ao-Big-Query:-manipulacao-programatico-linguagens:CursoExterno/Node/NodejsBigQuery/NodejsBigQuery/programaByteBank002.js		MAIN	{startLine=28.0, endLine=28.0, startOffset=11.0, endOffset=30.0}	5min	AYazmjPo1m6JgciZ1n_Z	e6ab83be24161ae212d0068bcba08d7d	OPEN
