severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-05T21:18:36+0000		1.0		javascript:S3504	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto	5min		Unexpected var, use let or const instead.	2023-03-05T21:18:36+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto:javascript-avancado-i-projetoCompleto/aluraframe/client/js/index.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=10.0}	5min	AYazpDxK1m6JgciZ1r55	b25c7d2a7d0a01a4714c22c4a560527c	OPEN
CRITICAL	2023-03-05T21:18:36+0000		9.0		javascript:S3504	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto	5min		Unexpected var, use let or const instead.	2023-03-05T21:18:36+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto:javascript-avancado-i-projetoCompleto/aluraframe/client/js/index.js		MAIN	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=9.0}	5min	AYazpDxK1m6JgciZ1r56	1bdde0635141f5bf8c817871d9a539e7	OPEN
CRITICAL	2023-03-05T21:18:36+0000		15.0		javascript:S3504	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto	5min		Unexpected var, use let or const instead.	2023-03-05T21:18:36+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto:javascript-avancado-i-projetoCompleto/aluraframe/client/js/index.js		MAIN	{startLine=15.0, endLine=15.0, startOffset=3.0, endOffset=9.0}	5min	AYazpDxK1m6JgciZ1r57	25526f49cb462f20af26577ccd978539	OPEN
CRITICAL	2023-03-05T21:18:36+0000		19.0		javascript:S3504	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto	5min		Unexpected var, use let or const instead.	2023-03-05T21:18:36+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto:javascript-avancado-i-projetoCompleto/aluraframe/client/js/index.js		MAIN	{startLine=19.0, endLine=19.0, startOffset=7.0, endOffset=13.0}	5min	AYazpDxK1m6JgciZ1r58	b7c9bdc934f3ecf6b754b55ed31ed7b1	OPEN
CRITICAL	2023-03-05T21:18:36+0000		24.0		javascript:S3504	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto	5min		Unexpected var, use let or const instead.	2023-03-05T21:18:36+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto:javascript-avancado-i-projetoCompleto/aluraframe/client/js/index.js		MAIN	{startLine=24.0, endLine=24.0, startOffset=2.0, endOffset=14.0}	5min	AYazpDxK1m6JgciZ1r59	a19ef4e4f90cdb47508e8a526eafa1ea	OPEN
CRITICAL	2023-03-05T21:18:36+0000		2.0		javascript:S3504	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto	5min		Unexpected var, use let or const instead.	2023-03-05T21:18:36+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto:javascript-avancado-i-projetoCompleto/aluraframe/server/app/api/index.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=7.0}	5min	AYazpDxT1m6JgciZ1r5-	6df2d4377fcf2c5029873a6cd00e3d8c	OPEN
CRITICAL	2023-03-05T21:18:36+0000		4.0		javascript:S3504	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto	5min		Unexpected var, use let or const instead.	2023-03-05T21:18:36+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto:javascript-avancado-i-projetoCompleto/aluraframe/server/app/api/index.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=13.0}	5min	AYazpDxT1m6JgciZ1r5_	7747feba72b2c354be6b4d1d0fad8949	OPEN
CRITICAL	2023-03-05T21:18:36+0000		5.0		javascript:S3504	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto	5min		Unexpected var, use let or const instead.	2023-03-05T21:18:36+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto:javascript-avancado-i-projetoCompleto/aluraframe/server/app/api/index.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=16.0}	5min	AYazpDxT1m6JgciZ1r6A	2bbb93eacce1c1b71ca9babf10010157	OPEN
CRITICAL	2023-03-05T21:18:36+0000		7.0		javascript:S3504	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto	5min		Unexpected var, use let or const instead.	2023-03-05T21:18:36+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto:javascript-avancado-i-projetoCompleto/aluraframe/server/app/api/index.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=17.0}	5min	AYazpDxT1m6JgciZ1r6B	2c50bd46393324897a07230b6001f313	OPEN
CRITICAL	2023-03-05T21:18:36+0000		10.0		javascript:S3504	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto	5min		Unexpected var, use let or const instead.	2023-03-05T21:18:36+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto:javascript-avancado-i-projetoCompleto/aluraframe/server/app/api/index.js		MAIN	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=15.0}	5min	AYazpDxT1m6JgciZ1r6C	e5e7d47c7bf7a780f83fbbbd33f8ddef	OPEN
CRITICAL	2023-03-05T21:18:36+0000		24.0		javascript:S3504	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto	5min		Unexpected var, use let or const instead.	2023-03-05T21:18:36+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-conhecendo-o-Browser-e-padroes-de-projeto:javascript-avancado-i-projetoCompleto/aluraframe/server/app/api/index.js		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=25.0}	5min	AYazpDxT1m6JgciZ1r6D	2a9dd11de2bbdb3a0d13d1a4433346b7	OPEN
