severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-05T21:10:23+0000		1.0		javascript:S3504	JavaScript:-programando-na-linguagem-da-web	5min		Unexpected var, use let or const instead.	2023-03-05T21:10:23+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-programando-na-linguagem-da-web:introducao-javascript/js/buscar-pacientes.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=18.0}	5min	AYaznLee1m6JgciZ1pMt	edb14c511eaee51acbb07a9301377de1	OPEN
CRITICAL	2023-03-05T21:10:23+0000		4.0		javascript:S3504	JavaScript:-programando-na-linguagem-da-web	5min		Unexpected var, use let or const instead.	2023-03-05T21:10:23+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-programando-na-linguagem-da-web:introducao-javascript/js/buscar-pacientes.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=4.0, endOffset=11.0}	5min	AYaznLee1m6JgciZ1pMu	974cd33e0d7e61a1f13a000bdee65399	OPEN
CRITICAL	2023-03-05T21:10:23+0000		9.0		javascript:S3504	JavaScript:-programando-na-linguagem-da-web	5min		Unexpected var, use let or const instead.	2023-03-05T21:10:23+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-programando-na-linguagem-da-web:introducao-javascript/js/buscar-pacientes.js		MAIN	{startLine=9.0, endLine=9.0, startOffset=8.0, endOffset=20.0}	5min	AYaznLee1m6JgciZ1pMv	ecd02a2c1ab368ee748f29a1747f1282	OPEN
CRITICAL	2023-03-05T21:10:23+0000		13.0		javascript:S3504	JavaScript:-programando-na-linguagem-da-web	5min		Unexpected var, use let or const instead.	2023-03-05T21:10:23+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-programando-na-linguagem-da-web:introducao-javascript/js/buscar-pacientes.js		MAIN	{startLine=13.0, endLine=13.0, startOffset=12.0, endOffset=24.0}	5min	AYaznLee1m6JgciZ1pMw	4dce209c65074ad5a920c3fb4fa3b8a8	OPEN
CRITICAL	2023-03-05T21:10:23+0000		14.0		javascript:S3504	JavaScript:-programando-na-linguagem-da-web	5min		Unexpected var, use let or const instead.	2023-03-05T21:10:23+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-programando-na-linguagem-da-web:introducao-javascript/js/buscar-pacientes.js		MAIN	{startLine=14.0, endLine=14.0, startOffset=12.0, endOffset=25.0}	5min	AYaznLee1m6JgciZ1pMx	a5959b65a1c241230d138e26db852e6a	OPEN
CRITICAL	2023-03-05T21:10:23+0000		1.0		javascript:S3504	JavaScript:-programando-na-linguagem-da-web	5min		Unexpected var, use let or const instead.	2023-03-05T21:10:23+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-programando-na-linguagem-da-web:introducao-javascript/js/calcula-imc.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=10.0}	5min	AYaznLem1m6JgciZ1pNQ	dd18be16153f67000766df9d4901bac7	OPEN
CRITICAL	2023-03-05T21:10:23+0000		4.0		javascript:S3504	JavaScript:-programando-na-linguagem-da-web	5min		Unexpected var, use let or const instead.	2023-03-05T21:10:23+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-programando-na-linguagem-da-web:introducao-javascript/js/calcula-imc.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=13.0}	5min	AYaznLem1m6JgciZ1pNR	09d79db9e564495861b5c00d46d5ea47	OPEN
MINOR	2023-03-05T21:10:23+0000		6.0		javascript:S4138	JavaScript:-programando-na-linguagem-da-web	5min		Expected a `for-of` loop instead of a `for` loop with this simple iteration.	2023-03-05T21:10:23+0000	CODE_SMELL	true	"clumsy / "	JavaScript:-programando-na-linguagem-da-web:introducao-javascript/js/calcula-imc.js		MAIN	{startLine=6.0, endLine=39.0, startOffset=0.0, endOffset=1.0}	5min	AYaznLem1m6JgciZ1pNS	8220f53e40c501545b3505af565de3a3	OPEN
CRITICAL	2023-03-05T21:10:23+0000		6.0		javascript:S3504	JavaScript:-programando-na-linguagem-da-web	5min		Unexpected var, use let or const instead.	2023-03-05T21:10:23+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-programando-na-linguagem-da-web:introducao-javascript/js/calcula-imc.js		MAIN	{startLine=6.0, endLine=6.0, startOffset=5.0, endOffset=10.0}	5min	AYaznLem1m6JgciZ1pNT	8220f53e40c501545b3505af565de3a3	OPEN
CRITICAL	2023-03-05T21:10:23+0000		8.0		javascript:S3504	JavaScript:-programando-na-linguagem-da-web	5min		Unexpected var, use let or const instead.	2023-03-05T21:10:23+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-programando-na-linguagem-da-web:introducao-javascript/js/calcula-imc.js		MAIN	{startLine=8.0, endLine=8.0, startOffset=4.0, endOffset=16.0}	5min	AYaznLem1m6JgciZ1pNU	546c3902783d8bbadb7a25233685472e	OPEN
