severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-05T21:20:27+0000		1.0		javascript:S3776	JavaScript:-salvando-dados-localmente-com-IndexedDB	2h11min		Refactor this function to reduce its Cognitive Complexity from 141 to the 15 allowed.	2023-03-05T21:20:27+0000	CODE_SMELL	false	"brain-overload / "	JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js	"{locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=4.0, endLine=4.0, startOffset=2.0, endOffset=4.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=10.0, endLine=10.0, startOffset=31.0, endOffset=33.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=11.0, endLine=11.0, startOffset=31.0, endOffset=33.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=131.0, endLine=131.0, startOffset=2.0, endOffset=4.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=15.0, endLine=15.0, startOffset=8.0, endOffset=13.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=27.0, endLine=27.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=34.0, endLine=34.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=49.0, endLine=49.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=66.0, endLine=66.0, startOffset=11.0, endOffset=13.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=77.0, endLine=77.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=90.0, endLine=90.0, startOffset=18.0, endOffset=19.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=94.0, endLine=94.0, startOffset=41.0, endOffset=43.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=136.0, endLine=136.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=170.0, endLine=170.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=172.0, endLine=172.0, startOffset=13.0, endOffset=15.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=172.0, endLine=172.0, startOffset=30.0, endOffset=32.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=174.0, endLine=174.0, startOffset=13.0, endOffset=15.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=174.0, endLine=174.0, startOffset=34.0, endOffset=36.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=176.0, endLine=176.0, startOffset=13.0, endOffset=15.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=176.0, endLine=176.0, startOffset=38.0, endOffset=40.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=178.0, endLine=178.0, startOffset=13.0, endOffset=15.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=180.0, endLine=180.0, startOffset=13.0, endOffset=15.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=183.0, endLine=183.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=180.0, endLine=180.0, startOffset=37.0, endOffset=39.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=187.0, endLine=187.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=188.0, endLine=188.0, startOffset=8.0, endOffset=10.0}, msg=+4 (incl. 3 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=190.0, endLine=190.0, startOffset=15.0, endOffset=17.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=190.0, endLine=190.0, startOffset=34.0, endOffset=36.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=192.0, endLine=192.0, startOffset=15.0, endOffset=17.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=192.0, endLine=192.0, startOffset=40.0, endOffset=42.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=198.0, endLine=198.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=232.0, endLine=232.0, startOffset=6.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=201.0, endLine=201.0, startOffset=8.0, endOffset=10.0}, msg=+4 (incl. 3 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=205.0, endLine=205.0, startOffset=8.0, endOffset=10.0}, msg=+4 (incl. 3 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=207.0, endLine=207.0, startOffset=15.0, endOffset=17.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=209.0, endLine=209.0, startOffset=10.0, endOffset=14.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=220.0, endLine=220.0, startOffset=8.0, endOffset=10.0}, msg=+4 (incl. 3 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=224.0, endLine=224.0, startOffset=8.0, endOffset=10.0}, msg=+4 (incl. 3 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=226.0, endLine=226.0, startOffset=15.0, endOffset=17.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=228.0, endLine=228.0, startOffset=10.0, endOffset=14.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=235.0, endLine=235.0, startOffset=24.0, endOffset=25.0}, msg=+4 (incl. 3 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=239.0, endLine=239.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=257.0, endLine=257.0, startOffset=41.0, endOffset=42.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=261.0, endLine=261.0, startOffset=22.0, endOffset=24.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=263.0, endLine=263.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=278.0, endLine=278.0, startOffset=6.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=264.0, endLine=264.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=269.0, endLine=269.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=274.0, endLine=274.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=282.0, endLine=282.0, startOffset=43.0, endOffset=45.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=283.0, endLine=283.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=283.0, endLine=283.0, startOffset=24.0, endOffset=26.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=286.0, endLine=286.0, startOffset=49.0, endOffset=51.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=287.0, endLine=287.0, startOffset=29.0, endOffset=31.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=290.0, endLine=290.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=290.0, endLine=290.0, startOffset=31.0, endOffset=33.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=290.0, endLine=290.0, startOffset=56.0, endOffset=57.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=303.0, endLine=303.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=315.0, endLine=315.0, startOffset=45.0, endOffset=47.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=328.0, endLine=328.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=334.0, endLine=334.0, startOffset=33.0, endOffset=35.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=336.0, endLine=336.0, startOffset=54.0, endOffset=55.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=337.0, endLine=337.0, startOffset=27.0, endOffset=29.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=361.0, endLine=361.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=375.0, endLine=375.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=377.0, endLine=377.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=375.0, endLine=375.0, startOffset=49.0, endOffset=51.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=384.0, endLine=384.0, startOffset=8.0, endOffset=10.0}, msg=+4 (incl. 3 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=389.0, endLine=389.0, startOffset=8.0, endOffset=10.0}, msg=+4 (incl. 3 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=403.0, endLine=403.0, startOffset=37.0, endOffset=38.0}, msg=+4 (incl. 3 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=417.0, endLine=417.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=421.0, endLine=421.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=421.0, endLine=421.0, startOffset=32.0, endOffset=34.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js, textRange={startLine=429.0, endLine=429.0, startOffset=56.0, endOffset=57.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / "	MAIN	{startLine=1.0, endLine=1.0, startOffset=1.0, endOffset=9.0}	2h11min	AYazpgFc1m6JgciZ1sqW	0d61fb8f27af95a3b94ceea189982c40	OPEN
CRITICAL	2023-03-05T21:20:27+0000		8.0		javascript:S3504	JavaScript:-salvando-dados-localmente-com-IndexedDB	5min		Unexpected var, use let or const instead.	2023-03-05T21:20:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js		MAIN	{startLine=8.0, endLine=8.0, startOffset=2.0, endOffset=13.0}	5min	AYazpgFc1m6JgciZ1sqX	ed2a74c2f01804ffe758a403d048ba6d	OPEN
CRITICAL	2023-03-05T21:20:27+0000		42.0		javascript:S3504	JavaScript:-salvando-dados-localmente-com-IndexedDB	5min		Unexpected var, use let or const instead.	2023-03-05T21:20:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js		MAIN	{startLine=42.0, endLine=42.0, startOffset=4.0, endOffset=16.0}	5min	AYazpgFc1m6JgciZ1sqY	4aaf4b3781b93ce2dca6e6ca51e17ddf	OPEN
CRITICAL	2023-03-05T21:20:27+0000		44.0		javascript:S3504	JavaScript:-salvando-dados-localmente-com-IndexedDB	5min		Unexpected var, use let or const instead.	2023-03-05T21:20:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js		MAIN	{startLine=44.0, endLine=44.0, startOffset=8.0, endOffset=17.0}	5min	AYazpgFc1m6JgciZ1sqZ	d18073dc6904ebd50fbd3cf27fd03f51	OPEN
CRITICAL	2023-03-05T21:20:27+0000		76.0		javascript:S3504	JavaScript:-salvando-dados-localmente-com-IndexedDB	5min		Unexpected var, use let or const instead.	2023-03-05T21:20:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js		MAIN	{startLine=76.0, endLine=76.0, startOffset=4.0, endOffset=12.0}	5min	AYazpgFc1m6JgciZ1sqa	79034a47b7e3e8eb69113aa85b4924c0	OPEN
CRITICAL	2023-03-05T21:20:27+0000		89.0		javascript:S3504	JavaScript:-salvando-dados-localmente-com-IndexedDB	5min		Unexpected var, use let or const instead.	2023-03-05T21:20:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js		MAIN	{startLine=89.0, endLine=89.0, startOffset=4.0, endOffset=14.0}	5min	AYazpgFc1m6JgciZ1sqb	fbb46bacd48e0b8eb67055767dd66780	OPEN
CRITICAL	2023-03-05T21:20:27+0000		114.0		javascript:S3504	JavaScript:-salvando-dados-localmente-com-IndexedDB	5min		Unexpected var, use let or const instead.	2023-03-05T21:20:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js		MAIN	{startLine=114.0, endLine=114.0, startOffset=4.0, endOffset=13.0}	5min	AYazpgFc1m6JgciZ1sqc	90ba68eefbbe297f8498701c21b0629e	OPEN
CRITICAL	2023-03-05T21:20:27+0000		120.0		javascript:S3504	JavaScript:-salvando-dados-localmente-com-IndexedDB	5min		Unexpected var, use let or const instead.	2023-03-05T21:20:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js		MAIN	{startLine=120.0, endLine=120.0, startOffset=4.0, endOffset=13.0}	5min	AYazpgFc1m6JgciZ1sqd	90ba68eefbbe297f8498701c21b0629e	OPEN
CRITICAL	2023-03-05T21:20:27+0000		126.0		javascript:S3504	JavaScript:-salvando-dados-localmente-com-IndexedDB	5min		Unexpected var, use let or const instead.	2023-03-05T21:20:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js		MAIN	{startLine=126.0, endLine=126.0, startOffset=4.0, endOffset=13.0}	5min	AYazpgFc1m6JgciZ1sqe	90ba68eefbbe297f8498701c21b0629e	OPEN
CRITICAL	2023-03-05T21:20:27+0000		154.0		javascript:S3504	JavaScript:-salvando-dados-localmente-com-IndexedDB	5min		Unexpected var, use let or const instead.	2023-03-05T21:20:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	JavaScript:-salvando-dados-localmente-com-IndexedDB:javascript-avancado-iii-projetoFinal/aluraframe/client/js/app-es6/polyfill/fetch.js		MAIN	{startLine=154.0, endLine=154.0, startOffset=4.0, endOffset=14.0}	5min	AYazpgFc1m6JgciZ1sqf	03d81a681fe90bd105859a213534d4b8	OPEN
