severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
BLOCKER	2023-03-05T21:16:18+0000		21.0		javascript:S2703	Logica-de-programacao:-lacos-e-listas-com-JavaScript	2min		"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""imagemCarros"" to make it explicit."	2023-03-05T21:16:18+0000	CODE_SMELL	false	"pitfall / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/imagens.js		MAIN	{startLine=21.0, endLine=21.0, startOffset=2.0, endOffset=14.0}	2min	AYazoiVn1m6JgciZ1rJZ	2d9439e98f6348e4a1449e55d3e4ffbc	OPEN
BLOCKER	2023-03-05T21:16:18+0000		11.0		javascript:S2703	Logica-de-programacao:-lacos-e-listas-com-JavaScript	2min		"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""_collideDebug"" to make it explicit."	2023-03-05T21:16:18+0000	CODE_SMELL	false	"pitfall / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=11.0, endLine=11.0, startOffset=4.0, endOffset=17.0}	2min	AYazoiVq1m6JgciZ1rJa	dd137eb611c0a16f6b4fba2165d4ebf9	OPEN
MAJOR	2023-03-05T21:16:18+0000		16.0		javascript:S107	Logica-de-programacao:-lacos-e-listas-com-JavaScript	20min		Function has too many parameters (8). Maximum allowed is 7.	2023-03-05T21:16:18+0000	CODE_SMELL	false	"brain-overload / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=16.0, endLine=16.0, startOffset=31.0, endOffset=40.0}	20min	AYazoiVq1m6JgciZ1rJb	86009678ec843d5c918176d297ec5986	OPEN
MINOR	2023-03-05T21:16:18+0000		19.0		javascript:S1126	Logica-de-programacao:-lacos-e-listas-com-JavaScript	2min		Replace this if-then-else flow by a single return statement.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"clumsy / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=19.0, endLine=24.0, startOffset=2.0, endOffset=3.0}	2min	AYazoiVq1m6JgciZ1rJc	2685e027fa08cd6a00457ed28d5ada7b	OPEN
CRITICAL	2023-03-05T21:16:18+0000		31.0		javascript:S3504	Logica-de-programacao:-lacos-e-listas-com-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=31.0, endLine=31.0, startOffset=2.0, endOffset=11.0}	5min	AYazoiVq1m6JgciZ1rJd	4f51bf7d7a84a8e86b0fe043c75e1320	OPEN
CRITICAL	2023-03-05T21:16:18+0000		32.0		javascript:S3504	Logica-de-programacao:-lacos-e-listas-com-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=32.0, endLine=32.0, startOffset=2.0, endOffset=11.0}	5min	AYazoiVq1m6JgciZ1rJe	d3e245fa57469b413d118f82490ff887	OPEN
CRITICAL	2023-03-05T21:16:18+0000		42.0		javascript:S3504	Logica-de-programacao:-lacos-e-listas-com-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=42.0, endLine=42.0, startOffset=2.0, endOffset=14.0}	5min	AYazoiVq1m6JgciZ1rJf	084cbbca168fd775b74fd56956423181	OPEN
MINOR	2023-03-05T21:16:18+0000		45.0		javascript:S1126	Logica-de-programacao:-lacos-e-listas-com-JavaScript	2min		Replace this if-then-else flow by a single return statement.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"clumsy / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=45.0, endLine=47.0, startOffset=2.0, endOffset=3.0}	2min	AYazoiVq1m6JgciZ1rJg	574247b388476f5d2c37aa213a7f22a3	OPEN
MINOR	2023-03-05T21:16:18+0000		53.0		javascript:S1126	Logica-de-programacao:-lacos-e-listas-com-JavaScript	2min		Replace this if-then-else flow by a single return statement.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"clumsy / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=53.0, endLine=55.0, startOffset=2.0, endOffset=3.0}	2min	AYazoiVq1m6JgciZ1rJh	d32541bb827f0c678096d4d45f6ded3a	OPEN
MINOR	2023-03-05T21:16:18+0000		61.0		javascript:S1126	Logica-de-programacao:-lacos-e-listas-com-JavaScript	2min		Replace this if-then-else flow by a single return statement.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"clumsy / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=61.0, endLine=63.0, startOffset=0.0, endOffset=1.0}	2min	AYazoiVq1m6JgciZ1rJi	d03569f75a238512d09d9abc77f7938a	OPEN
CRITICAL	2023-03-05T21:16:18+0000		69.0		javascript:S3504	Logica-de-programacao:-lacos-e-listas-com-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=69.0, endLine=69.0, startOffset=2.0, endOffset=8.0}	5min	AYazoiVq1m6JgciZ1rJj	f0e476afa779bd9751c19c3cc08e0c81	OPEN
CRITICAL	2023-03-05T21:16:18+0000		75.0		javascript:S3504	Logica-de-programacao:-lacos-e-listas-com-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=75.0, endLine=75.0, startOffset=2.0, endOffset=8.0}	5min	AYazoiVq1m6JgciZ1rJk	5ddecbcca1e44248a389d18403bfdb26	OPEN
CRITICAL	2023-03-05T21:16:18+0000		76.0		javascript:S3504	Logica-de-programacao:-lacos-e-listas-com-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=76.0, endLine=76.0, startOffset=2.0, endOffset=9.0}	5min	AYazoiVq1m6JgciZ1rJl	93aba535b68c86ad7577fdec1ef1f957	OPEN
MINOR	2023-03-05T21:16:18+0000		82.0		javascript:S1126	Logica-de-programacao:-lacos-e-listas-com-JavaScript	2min		Replace this if-then-else flow by a single return statement.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"clumsy / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=82.0, endLine=87.0, startOffset=0.0, endOffset=1.0}	2min	AYazoiVq1m6JgciZ1rJm	5551619ab746298388d741dd0d6df27b	OPEN
CRITICAL	2023-03-05T21:16:18+0000		93.0		javascript:S3504	Logica-de-programacao:-lacos-e-listas-com-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=93.0, endLine=93.0, startOffset=0.0, endOffset=6.0}	5min	AYazoiVq1m6JgciZ1rJn	a8cb7d72273487f6f4697dc29783c020	OPEN
CRITICAL	2023-03-05T21:16:18+0000		94.0		javascript:S3504	Logica-de-programacao:-lacos-e-listas-com-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=94.0, endLine=94.0, startOffset=0.0, endOffset=6.0}	5min	AYazoiVq1m6JgciZ1rJo	7acc245694f34433bb3a3ff0673f689d	OPEN
CRITICAL	2023-03-05T21:16:18+0000		97.0		javascript:S3504	Logica-de-programacao:-lacos-e-listas-com-JavaScript	5min		Unexpected var, use let or const instead.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=97.0, endLine=97.0, startOffset=0.0, endOffset=11.0}	5min	AYazoiVq1m6JgciZ1rJp	5faa376b9a0ca974f0bfc6a03f30eb3b	OPEN
MINOR	2023-03-05T21:16:18+0000		104.0		javascript:S1126	Logica-de-programacao:-lacos-e-listas-com-JavaScript	2min		Replace this if-then-else flow by a single return statement.	2023-03-05T21:16:18+0000	CODE_SMELL	true	"clumsy / "	Logica-de-programacao:-lacos-e-listas-com-JavaScript:freeway-aula-5/p5.collide2d.js		MAIN	{startLine=104.0, endLine=106.0, startOffset=0.0, endOffset=1.0}	2min	AYazoiVq1m6JgciZ1rJq	8164b03cdc0429473b84c28de82e3004	OPEN
