severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-05T21:06:16+0000		1.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/api/auth.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=12.0}	5min	AYazmPMp1m6JgciZ1naK	7d6f7f1081ad022a612e0d1533ce1eac	OPEN
CRITICAL	2023-03-05T21:06:16+0000		2.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/api/auth.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=7.0}	5min	AYazmPMp1m6JgciZ1naL	e4e73d76b153d51883276956b4c5203a	OPEN
CRITICAL	2023-03-05T21:06:16+0000		6.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/api/auth.js		MAIN	{startLine=6.0, endLine=6.0, startOffset=5.0, endOffset=12.0}	5min	AYazmPMp1m6JgciZ1naM	56b05f33c768c0f9d1532cb0485fc239	OPEN
CRITICAL	2023-03-05T21:06:16+0000		7.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/api/auth.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=5.0, endOffset=14.0}	5min	AYazmPMp1m6JgciZ1naN	009a76999da9576255aba0ecdf8f5973	OPEN
CRITICAL	2023-03-05T21:06:16+0000		21.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/api/auth.js		MAIN	{startLine=21.0, endLine=21.0, startOffset=17.0, endOffset=26.0}	5min	AYazmPMp1m6JgciZ1naO	36cf304702220f8315d69693ff01b7ef	OPEN
CRITICAL	2023-03-05T21:06:16+0000		33.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/api/auth.js		MAIN	{startLine=33.0, endLine=33.0, startOffset=9.0, endOffset=18.0}	5min	AYazmPMp1m6JgciZ1naP	9303246e1db3abb9951d0fb0575bda66	OPEN
CRITICAL	2023-03-05T21:06:16+0000		1.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/api/foto.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=12.0}	5min	AYazmPMs1m6JgciZ1naQ	7d6f7f1081ad022a612e0d1533ce1eac	OPEN
CRITICAL	2023-03-05T21:06:16+0000		5.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/api/foto.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=1.0, endOffset=8.0}	5min	AYazmPMs1m6JgciZ1naR	56b05f33c768c0f9d1532cb0485fc239	OPEN
CRITICAL	2023-03-05T21:06:16+0000		7.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/api/foto.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=1.0, endOffset=10.0}	5min	AYazmPMs1m6JgciZ1naS	c604dbdc232552dbe318f3b0135f381d	OPEN
CRITICAL	2023-03-05T21:06:16+0000		1.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/api/grupo.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=7.0}	5min	AYazmPMt1m6JgciZ1naT	6df2d4377fcf2c5029873a6cd00e3d8c	OPEN
CRITICAL	2023-03-05T21:06:16+0000		5.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/api/grupo.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=14.0}	5min	AYazmPMt1m6JgciZ1naU	092715c2efb7197cfb65c3101a87c481	OPEN
CRITICAL	2023-03-05T21:06:16+0000		1.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/models/foto.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=12.0}	5min	AYazmPM21m6JgciZ1naa	7d6f7f1081ad022a612e0d1533ce1eac	OPEN
CRITICAL	2023-03-05T21:06:16+0000		3.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/models/foto.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=10.0}	5min	AYazmPM21m6JgciZ1nab	d05cbc5b599ff9c37b2aed5d4493c9eb	OPEN
CRITICAL	2023-03-05T21:06:16+0000		1.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/models/usuario.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=12.0}	5min	AYazmPM11m6JgciZ1naY	7d6f7f1081ad022a612e0d1533ce1eac	OPEN
CRITICAL	2023-03-05T21:06:16+0000		3.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/models/usuario.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=10.0}	5min	AYazmPM11m6JgciZ1naZ	d05cbc5b599ff9c37b2aed5d4493c9eb	OPEN
CRITICAL	2023-03-05T21:06:16+0000		3.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/routes/auth.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=4.0, endOffset=11.0}	5min	AYazmPMz1m6JgciZ1naX	c3da1a012b81c1c1e7117bd4097c2fb2	OPEN
CRITICAL	2023-03-05T21:06:16+0000		3.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/routes/foto.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=1.0, endOffset=8.0}	5min	AYazmPMx1m6JgciZ1naW	7df51568994bd06b310861bda255bd89	OPEN
CRITICAL	2023-03-05T21:06:16+0000		3.0		javascript:S3504	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript	5min		Unexpected var, use let or const instead.	2023-03-05T21:06:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	MEAN-Stack:-criando-aplicacoes-completas-com-Javascript:alurapic/app/routes/grupo.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=1.0, endOffset=8.0}	5min	AYazmPMw1m6JgciZ1naV	0b12956c3f305caade524bbefa5e6dc5	OPEN
