severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-05T21:04:27+0000		4.0		javascript:S125	Next.js:-trabalhando-com-um-CMS	5min		Remove this commented out code.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/components/cmsSections/PageFAQDisplayQuestionsSection/index.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=2.0, endOffset=35.0}	5min	AYazl0681m6JgciZ1mkQ	92a46238fe5471e4e905ba00a2d32d6e	OPEN
MAJOR	2023-03-05T21:04:27+0000		5.0		javascript:S125	Next.js:-trabalhando-com-um-CMS	5min		Remove this commented out code.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/components/commons/Footer/index.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=2.0, endOffset=55.0}	5min	AYazl07A1m6JgciZ1mkR	2da94ba626c0a6f12eea217a59a6cbf5	OPEN
MAJOR	2023-03-05T21:04:27+0000		9.0		javascript:S6440	Next.js:-trabalhando-com-um-CMS	10min		"React Hook ""React.useContext"" is called in function ""getCMSContent"" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word ""use""."	2023-03-05T21:04:27+0000	BUG	false	"react / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/infra/cms/CMSProvider.js		MAIN	{startLine=9.0, endLine=9.0, startOffset=21.0, endOffset=37.0}	10min	AYazl0611m6JgciZ1mkN	8dd51ffcb50f64548a3c97dc2f350893	OPEN
MAJOR	2023-03-05T21:04:27+0000		22.0		javascript:S6481	Next.js:-trabalhando-com-um-CMS	5min		The object passed as the value prop to the Context provider changes every render. To fix this consider wrapping it in a useMemo hook.	2023-03-05T21:04:27+0000	CODE_SMELL	false	"jsx / performance / react / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/infra/cms/CMSProvider.js		MAIN	{startLine=22.0, endLine=22.0, startOffset=32.0, endOffset=46.0}	5min	AYazl0611m6JgciZ1mkO	e4133029843ee1e25de08281eceda9f5	OPEN
MAJOR	2023-03-05T21:04:27+0000		54.0		javascript:S125	Next.js:-trabalhando-com-um-CMS	5min		Remove this commented out code.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/infra/cms/cmsService.js		MAIN	{startLine=54.0, endLine=54.0, startOffset=4.0, endOffset=63.0}	5min	AYazl0641m6JgciZ1mkP	54af2edd2849223feefbe36821b821f1	OPEN
MINOR	2023-03-05T21:04:27+0000		1.0		javascript:S1128	Next.js:-trabalhando-com-um-CMS	2min		Remove this unused import of 'Head'.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"es2015 / unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/FAQAllQuestionsScreen/index.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=7.0, endOffset=11.0}	2min	AYazl07N1m6JgciZ1mki	fdb6cf453dd7d6d9d44e235b8e6ebf83	OPEN
MINOR	2023-03-05T21:04:27+0000		2.0		javascript:S1128	Next.js:-trabalhando-com-um-CMS	2min		Remove this unused import of 'Footer'.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"es2015 / unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/FAQAllQuestionsScreen/index.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=9.0, endOffset=15.0}	2min	AYazl07N1m6JgciZ1mkj	b89d297ad340895cf3cc2a4a187f8483	OPEN
MINOR	2023-03-05T21:04:27+0000		3.0		javascript:S1128	Next.js:-trabalhando-com-um-CMS	2min		Remove this unused import of 'Menu'.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"es2015 / unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/FAQAllQuestionsScreen/index.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=9.0, endOffset=13.0}	2min	AYazl07N1m6JgciZ1mkk	d80073072ede0bfedd0bafb956e0a100	OPEN
MINOR	2023-03-05T21:04:27+0000		7.0		javascript:S1128	Next.js:-trabalhando-com-um-CMS	2min		Remove this unused import of 'Box'.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"es2015 / unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/FAQAllQuestionsScreen/index.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=9.0, endOffset=12.0}	2min	AYazl07N1m6JgciZ1mkl	8a449b3563cfccb7de820dc7892a5b26	OPEN
MINOR	2023-03-05T21:04:27+0000		7.0		javascript:S1128	Next.js:-trabalhando-com-um-CMS	2min		Remove this unused import of 'Text'.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"es2015 / unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/FAQAllQuestionsScreen/index.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=14.0, endOffset=18.0}	2min	AYazl07N1m6JgciZ1mkm	8a449b3563cfccb7de820dc7892a5b26	OPEN
MINOR	2023-03-05T21:04:27+0000		7.0		javascript:S1128	Next.js:-trabalhando-com-um-CMS	2min		Remove this unused import of 'Link'.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"es2015 / unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/FAQAllQuestionsScreen/index.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=20.0, endOffset=24.0}	2min	AYazl07N1m6JgciZ1mkn	8a449b3563cfccb7de820dc7892a5b26	OPEN
MINOR	2023-03-05T21:04:27+0000		7.0		javascript:S1128	Next.js:-trabalhando-com-um-CMS	2min		Remove this unused import of 'Image'.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"es2015 / unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/FAQAllQuestionsScreen/index.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=26.0, endOffset=31.0}	2min	AYazl07N1m6JgciZ1mko	8a449b3563cfccb7de820dc7892a5b26	OPEN
MINOR	2023-03-05T21:04:27+0000		7.0		javascript:S1128	Next.js:-trabalhando-com-um-CMS	2min		Remove this unused import of 'theme'.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"es2015 / unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/FAQAllQuestionsScreen/index.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=33.0, endOffset=38.0}	2min	AYazl07N1m6JgciZ1mkp	8a449b3563cfccb7de820dc7892a5b26	OPEN
MAJOR	2023-03-05T21:04:27+0000		84.0		javascript:S125	Next.js:-trabalhando-com-um-CMS	5min		Remove this commented out code.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/FAQAllQuestionsScreen/index.js		MAIN	{startLine=84.0, endLine=179.0, startOffset=0.0, endOffset=2.0}	5min	AYazl07N1m6JgciZ1mkq	523048e7f5ca9550505f2d8ea6d587e7	OPEN
MINOR	2023-03-05T21:04:27+0000		8.0		javascript:S1128	Next.js:-trabalhando-com-um-CMS	2min		Remove this unused import of 'CMSProvider'.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"es2015 / unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/FAQQuestionScreen/index.js		MAIN	{startLine=8.0, endLine=8.0, startOffset=7.0, endOffset=18.0}	2min	AYazl07L1m6JgciZ1mkg	308ea8d3c24607b9a0da34e162ff601c	OPEN
MAJOR	2023-03-05T21:04:27+0000		112.0		javascript:S6478	Next.js:-trabalhando-com-um-CMS	5min		Do not define components during render. React will see a new component type on every render and destroy the entire subtree’s DOM nodes and state. Instead, move this component definition out of the parent component “FAQQuestionScreen” and pass data as props. If you want to allow component creation in props, set allowAsProps option to true.	2023-03-05T21:04:27+0000	CODE_SMELL	false	"jsx / performance / react / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/FAQQuestionScreen/index.js		MAIN	{startLine=112.0, endLine=120.0, startOffset=40.0, endOffset=15.0}	5min	AYazl07L1m6JgciZ1mkh	bd6533342d9ac1c28867b457e3372a9d	OPEN
MINOR	2023-03-05T21:04:27+0000		1.0		javascript:S1128	Next.js:-trabalhando-com-um-CMS	2min		Remove this unused import of 'Head'.	2023-03-05T21:04:27+0000	CODE_SMELL	true	"es2015 / unused / "	Next.js:-trabalhando-com-um-CMS:04-nextjs-course-a5.2/src/screens/HomeScreen/index.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=7.0, endOffset=11.0}	2min	AYazl07I1m6JgciZ1mkX	fdb6cf453dd7d6d9d44e235b8e6ebf83	OPEN
