severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-05T21:02:09+0000		1.0		javascript:S3504	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1	5min		Unexpected var, use let or const instead.	2023-03-05T21:02:09+0000	CODE_SMELL	true	"bad-practice / es2015 / "	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1:alura-typer/public/js/main.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=16.0}	5min	AYazlS-x1m6JgciZ1l8d	1eff83436f676b755f1ed6e8edc36584	OPEN
CRITICAL	2023-03-05T21:02:09+0000		2.0		javascript:S3504	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1	5min		Unexpected var, use let or const instead.	2023-03-05T21:02:09+0000	CODE_SMELL	true	"bad-practice / es2015 / "	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1:alura-typer/public/js/main.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=9.0}	5min	AYazlS-x1m6JgciZ1l8e	7856dd9464441cac67f78be6c9057bc9	OPEN
CRITICAL	2023-03-05T21:02:09+0000		13.0		javascript:S3504	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1	5min		Unexpected var, use let or const instead.	2023-03-05T21:02:09+0000	CODE_SMELL	true	"bad-practice / es2015 / "	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1:alura-typer/public/js/main.js		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=13.0}	5min	AYazlS-x1m6JgciZ1l8f	6030b87cc65e2e89af25714eebece1d7	OPEN
CRITICAL	2023-03-05T21:02:09+0000		14.0		javascript:S3504	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1	5min		Unexpected var, use let or const instead.	2023-03-05T21:02:09+0000	CODE_SMELL	true	"bad-practice / es2015 / "	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1:alura-typer/public/js/main.js		MAIN	{startLine=14.0, endLine=14.0, startOffset=4.0, endOffset=19.0}	5min	AYazlS-x1m6JgciZ1l8g	7fd6aecb8deb9ae47b373b550ff0b9d3	OPEN
CRITICAL	2023-03-05T21:02:09+0000		15.0		javascript:S3504	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1	5min		Unexpected var, use let or const instead.	2023-03-05T21:02:09+0000	CODE_SMELL	true	"bad-practice / es2015 / "	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1:alura-typer/public/js/main.js		MAIN	{startLine=15.0, endLine=15.0, startOffset=4.0, endOffset=20.0}	5min	AYazlS-x1m6JgciZ1l8h	41e588ab20622f035eda6f234021d4f0	OPEN
CRITICAL	2023-03-05T21:02:09+0000		22.0		javascript:S3504	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1	5min		Unexpected var, use let or const instead.	2023-03-05T21:02:09+0000	CODE_SMELL	true	"bad-practice / es2015 / "	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1:alura-typer/public/js/main.js		MAIN	{startLine=22.0, endLine=22.0, startOffset=8.0, endOffset=20.0}	5min	AYazlS-x1m6JgciZ1l8i	d9f073008c11c24c7d8f508e4e3bb042	OPEN
CRITICAL	2023-03-05T21:02:09+0000		24.0		javascript:S3504	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1	5min		Unexpected var, use let or const instead.	2023-03-05T21:02:09+0000	CODE_SMELL	true	"bad-practice / es2015 / "	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1:alura-typer/public/js/main.js		MAIN	{startLine=24.0, endLine=24.0, startOffset=8.0, endOffset=23.0}	5min	AYazlS-x1m6JgciZ1l8j	b1f314d03bb99717714f0e4a8f9e4b0e	OPEN
CRITICAL	2023-03-05T21:02:09+0000		27.0		javascript:S3504	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1	5min		Unexpected var, use let or const instead.	2023-03-05T21:02:09+0000	CODE_SMELL	true	"bad-practice / es2015 / "	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1:alura-typer/public/js/main.js		MAIN	{startLine=27.0, endLine=27.0, startOffset=8.0, endOffset=25.0}	5min	AYazlS-x1m6JgciZ1l8k	cae5a9a510b9a3bde8c07cb22534dacd	OPEN
CRITICAL	2023-03-05T21:02:09+0000		33.0		javascript:S3504	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1	5min		Unexpected var, use let or const instead.	2023-03-05T21:02:09+0000	CODE_SMELL	true	"bad-practice / es2015 / "	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1:alura-typer/public/js/main.js		MAIN	{startLine=33.0, endLine=33.0, startOffset=4.0, endOffset=13.0}	5min	AYazlS-x1m6JgciZ1l8l	6030b87cc65e2e89af25714eebece1d7	OPEN
CRITICAL	2023-03-05T21:02:09+0000		35.0		javascript:S3504	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1	5min		Unexpected var, use let or const instead.	2023-03-05T21:02:09+0000	CODE_SMELL	true	"bad-practice / es2015 / "	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1:alura-typer/public/js/main.js		MAIN	{startLine=35.0, endLine=35.0, startOffset=8.0, endOffset=20.0}	5min	AYazlS-x1m6JgciZ1l8m	4655e819eab0a2523f6cca1fa97aaa4e	OPEN
CRITICAL	2023-03-05T21:02:09+0000		36.0		javascript:S3504	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1	5min		Unexpected var, use let or const instead.	2023-03-05T21:02:09+0000	CODE_SMELL	true	"bad-practice / es2015 / "	jQuery:-domine-a-biblioteca-mais-popular-do-mercado-parte-1:alura-typer/public/js/main.js		MAIN	{startLine=36.0, endLine=36.0, startOffset=8.0, endOffset=22.0}	5min	AYazlS-x1m6JgciZ1l8n	96527ce2c8a17e17e8f604a3499206ab	OPEN
