severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-05T21:15:50+0000		1.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/client/js/index.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=10.0}	5min	AYazobqT1m6JgciZ1q1F	b25c7d2a7d0a01a4714c22c4a560527c	OPEN
CRITICAL	2023-03-05T21:15:50+0000		9.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/client/js/index.js		MAIN	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=9.0}	5min	AYazobqT1m6JgciZ1q1G	1bdde0635141f5bf8c817871d9a539e7	OPEN
CRITICAL	2023-03-05T21:15:50+0000		15.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/client/js/index.js		MAIN	{startLine=15.0, endLine=15.0, startOffset=3.0, endOffset=9.0}	5min	AYazobqT1m6JgciZ1q1H	25526f49cb462f20af26577ccd978539	OPEN
CRITICAL	2023-03-05T21:15:50+0000		19.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/client/js/index.js		MAIN	{startLine=19.0, endLine=19.0, startOffset=7.0, endOffset=13.0}	5min	AYazobqT1m6JgciZ1q1I	b7c9bdc934f3ecf6b754b55ed31ed7b1	OPEN
CRITICAL	2023-03-05T21:15:50+0000		24.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/client/js/index.js		MAIN	{startLine=24.0, endLine=24.0, startOffset=2.0, endOffset=14.0}	5min	AYazobqT1m6JgciZ1q1J	a19ef4e4f90cdb47508e8a526eafa1ea	OPEN
CRITICAL	2023-03-05T21:15:50+0000		2.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/server/app/api/index.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=7.0}	5min	AYazobqX1m6JgciZ1q1L	6df2d4377fcf2c5029873a6cd00e3d8c	OPEN
CRITICAL	2023-03-05T21:15:50+0000		4.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/server/app/api/index.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=13.0}	5min	AYazobqX1m6JgciZ1q1M	7747feba72b2c354be6b4d1d0fad8949	OPEN
CRITICAL	2023-03-05T21:15:50+0000		5.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/server/app/api/index.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=16.0}	5min	AYazobqX1m6JgciZ1q1N	2bbb93eacce1c1b71ca9babf10010157	OPEN
CRITICAL	2023-03-05T21:15:50+0000		7.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/server/app/api/index.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=17.0}	5min	AYazobqX1m6JgciZ1q1O	2c50bd46393324897a07230b6001f313	OPEN
CRITICAL	2023-03-05T21:15:50+0000		10.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/server/app/api/index.js		MAIN	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=15.0}	5min	AYazobqX1m6JgciZ1q1P	e5e7d47c7bf7a780f83fbbbd33f8ddef	OPEN
CRITICAL	2023-03-05T21:15:50+0000		24.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/server/app/api/index.js		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=25.0}	5min	AYazobqX1m6JgciZ1q1Q	2a9dd11de2bbdb3a0d13d1a4433346b7	OPEN
CRITICAL	2023-03-05T21:15:50+0000		32.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/server/app/api/index.js		MAIN	{startLine=32.0, endLine=32.0, startOffset=3.0, endOffset=28.0}	5min	AYazobqX1m6JgciZ1q1R	0372a2c11be6eee90fa72c5c6da2d0e4	OPEN
CRITICAL	2023-03-05T21:15:50+0000		43.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/server/app/api/index.js		MAIN	{startLine=43.0, endLine=43.0, startOffset=3.0, endOffset=27.0}	5min	AYazobqX1m6JgciZ1q1S	3c8b142fb552164c15bf455d82e2eb92	OPEN
CRITICAL	2023-03-05T21:15:50+0000		3.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/server/app/routes/index.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=7.0}	5min	AYazobqW1m6JgciZ1q1K	cd1cf19895d7939ca3b59acd5f6639b8	OPEN
CRITICAL	2023-03-05T21:15:50+0000		3.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/server/config/express.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=11.0}	5min	AYazobqZ1m6JgciZ1q1T	acb829028edf3d1bf395644dd745eb39	OPEN
CRITICAL	2023-03-05T21:15:50+0000		1.0		javascript:S3504	javascript-avancado-ii-projetoFinal	5min		Unexpected var, use let or const instead.	2023-03-05T21:15:50+0000	CODE_SMELL	true	"bad-practice / es2015 / "	javascript-avancado-ii-projetoFinal:aluraframe/server/server.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=8.0}	5min	AYazobqa1m6JgciZ1q1V	0eb29a139c79d70d2d90ab167d21990b	OPEN
