severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-05T22:47:45+0000		15.0		python:S905	Python-Collections-parte-2:-conjuntos-e-dicionarios	10min		Remove or refactor this statement; it has no side effects.	2023-03-05T22:47:45+0000	BUG	false	"cwe / unused / "	Python-Collections-parte-2:-conjuntos-e-dicionarios:python-introducao-a-collections2-aula05/aula5.1/continuando_com_collections.py		MAIN	{startLine=15.0, endLine=15.0, startOffset=0.0, endOffset=10.0}	10min	AYaz9c0w1m6JgciZ1-1p	4c4fc355aca4c920941d6a32d945f59c	OPEN
MAJOR	2023-03-05T22:47:45+0000		19.0		python:S2201	Python-Collections-parte-2:-conjuntos-e-dicionarios	5min		"The return value of ""set"" must be used."	2023-03-05T22:47:45+0000	BUG	false		Python-Collections-parte-2:-conjuntos-e-dicionarios:python-introducao-a-collections2-aula05/aula5.1/continuando_com_collections.py		MAIN	{startLine=19.0, endLine=19.0, startOffset=0.0, endOffset=3.0}	5min	AYaz9c0w1m6JgciZ1-1q	56627436eb26323ba32959c5eecee054	OPEN
MAJOR	2023-03-05T22:47:45+0000		21.0		python:S2201	Python-Collections-parte-2:-conjuntos-e-dicionarios	5min		"The return value of ""set"" must be used."	2023-03-05T22:47:45+0000	BUG	false		Python-Collections-parte-2:-conjuntos-e-dicionarios:python-introducao-a-collections2-aula05/aula5.1/continuando_com_collections.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=0.0, endOffset=3.0}	5min	AYaz9c0w1m6JgciZ1-1r	4c6f0388e965a5fb68d12d8943d2d770	OPEN
MAJOR	2023-03-05T22:47:45+0000		23.0		python:S905	Python-Collections-parte-2:-conjuntos-e-dicionarios	10min		Remove or refactor this statement; it has no side effects.	2023-03-05T22:47:45+0000	BUG	false	"cwe / unused / "	Python-Collections-parte-2:-conjuntos-e-dicionarios:python-introducao-a-collections2-aula05/aula5.1/continuando_com_collections.py		MAIN	{startLine=23.0, endLine=23.0, startOffset=0.0, endOffset=12.0}	10min	AYaz9c0w1m6JgciZ1-1s	63ded81baa90a36668fd2fafe856bc76	OPEN
MAJOR	2023-03-05T22:47:45+0000		23.0		python:S5781	Python-Collections-parte-2:-conjuntos-e-dicionarios	5min		Change or remove duplicates of this key.	2023-03-05T22:47:45+0000	CODE_SMELL	false	"suspicious / "	Python-Collections-parte-2:-conjuntos-e-dicionarios:python-introducao-a-collections2-aula05/aula5.1/continuando_com_collections.py	"{locations=[{component=Python-Collections-parte-2:-conjuntos-e-dicionarios:python-introducao-a-collections2-aula05/aula5.1/continuando_com_collections.py, textRange={startLine=23.0, endLine=23.0, startOffset=10.0, endOffset=11.0}, msg=Duplicate key, msgFormattings=[]}]} / "	MAIN	{startLine=23.0, endLine=23.0, startOffset=4.0, endOffset=5.0}	5min	AYaz9c0w1m6JgciZ1-1t	63ded81baa90a36668fd2fafe856bc76	OPEN
MAJOR	2023-03-05T22:47:45+0000		25.0		python:S2201	Python-Collections-parte-2:-conjuntos-e-dicionarios	5min		"The return value of ""type"" must be used."	2023-03-05T22:47:45+0000	BUG	false		Python-Collections-parte-2:-conjuntos-e-dicionarios:python-introducao-a-collections2-aula05/aula5.1/continuando_com_collections.py		MAIN	{startLine=25.0, endLine=25.0, startOffset=0.0, endOffset=4.0}	5min	AYaz9c0w1m6JgciZ1-1u	442f0cece415faa46ec0644cd0ea7fd5	OPEN
MAJOR	2023-03-05T22:47:45+0000		30.0		python:S905	Python-Collections-parte-2:-conjuntos-e-dicionarios	10min		Remove or refactor this statement; it has no side effects.	2023-03-05T22:47:45+0000	BUG	false	"cwe / unused / "	Python-Collections-parte-2:-conjuntos-e-dicionarios:python-introducao-a-collections2-aula05/aula5.1/continuando_com_collections.py		MAIN	{startLine=30.0, endLine=30.0, startOffset=0.0, endOffset=25.0}	10min	AYaz9c0w1m6JgciZ1-1v	1552642b212c8dc3496ed7a99f6c5942	OPEN
MAJOR	2023-03-05T22:47:45+0000		42.0		python:S905	Python-Collections-parte-2:-conjuntos-e-dicionarios	10min		Remove or refactor this statement; it has no side effects.	2023-03-05T22:47:45+0000	BUG	false	"cwe / unused / "	Python-Collections-parte-2:-conjuntos-e-dicionarios:python-introducao-a-collections2-aula05/aula5.1/continuando_com_collections.py		MAIN	{startLine=42.0, endLine=42.0, startOffset=0.0, endOffset=49.0}	10min	AYaz9c0w1m6JgciZ1-1w	abe3137ff7909a5f8d86232ee6d52eba	OPEN
MAJOR	2023-03-05T22:47:45+0000		44.0		python:S905	Python-Collections-parte-2:-conjuntos-e-dicionarios	10min		Remove or refactor this statement; it has no side effects.	2023-03-05T22:47:45+0000	BUG	false	"cwe / unused / "	Python-Collections-parte-2:-conjuntos-e-dicionarios:python-introducao-a-collections2-aula05/aula5.1/continuando_com_collections.py		MAIN	{startLine=44.0, endLine=44.0, startOffset=0.0, endOffset=49.0}	10min	AYaz9c0w1m6JgciZ1-1x	6041c5b035a266a3fbd461ac09d1255a	OPEN
MAJOR	2023-03-05T22:47:45+0000		51.0		python:S905	Python-Collections-parte-2:-conjuntos-e-dicionarios	10min		Remove or refactor this statement; it has no side effects.	2023-03-05T22:47:45+0000	BUG	false	"cwe / unused / "	Python-Collections-parte-2:-conjuntos-e-dicionarios:python-introducao-a-collections2-aula05/aula5.1/continuando_com_collections.py		MAIN	{startLine=51.0, endLine=51.0, startOffset=0.0, endOffset=49.0}	10min	AYaz9c0w1m6JgciZ1-1y	cf08cbbff477f10f72ad02ee758f0957	OPEN
