severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-05T22:51:14+0000		47.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""PICC_SElECTTAG"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=47.0, endLine=47.0, startOffset=4.0, endOffset=18.0}	2min	AYaz-P0o1m6JgciZ2AGI	d9bc15c839c3d51603133bbda38d0d92	OPEN
MINOR	2023-03-05T22:51:14+0000		62.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""Reserved00"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=62.0, endLine=62.0, startOffset=4.0, endOffset=14.0}	2min	AYaz-P0o1m6JgciZ2AF9	808ea09995ef86c68e0a8ec207c9da07	OPEN
MINOR	2023-03-05T22:51:14+0000		63.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""CommandReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=63.0, endLine=63.0, startOffset=4.0, endOffset=14.0}	2min	AYaz-P0o1m6JgciZ2AFr	0cd6a75deca28d2b70e739d081b5f2a8	OPEN
MINOR	2023-03-05T22:51:14+0000		64.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""CommIEnReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=64.0, endLine=64.0, startOffset=4.0, endOffset=14.0}	2min	AYaz-P0o1m6JgciZ2AF-	e979914cddc1932c8fa9b444761925b6	OPEN
MINOR	2023-03-05T22:51:14+0000		65.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""DivlEnReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=13.0}	2min	AYaz-P0o1m6JgciZ2AGA	c41bdc9e3f2d7e031cf982ac24470f07	OPEN
MINOR	2023-03-05T22:51:14+0000		66.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""CommIrqReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=66.0, endLine=66.0, startOffset=4.0, endOffset=14.0}	2min	AYaz-P0o1m6JgciZ2AGU	14840313a62155975ddc202d4fe7c264	OPEN
MINOR	2023-03-05T22:51:14+0000		67.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""DivIrqReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=67.0, endLine=67.0, startOffset=4.0, endOffset=13.0}	2min	AYaz-P0o1m6JgciZ2AGS	670472978d0bd79418a7b110556689c1	OPEN
MINOR	2023-03-05T22:51:14+0000		68.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""ErrorReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=12.0}	2min	AYaz-P0o1m6JgciZ2AGc	066ec669506f2991e0c6cef2c81eb3e8	OPEN
MINOR	2023-03-05T22:51:14+0000		69.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""Status1Reg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=69.0, endLine=69.0, startOffset=4.0, endOffset=14.0}	2min	AYaz-P0o1m6JgciZ2AGM	cb6b7a34d7d9b36c7af47b01beed1ad8	OPEN
MINOR	2023-03-05T22:51:14+0000		70.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""Status2Reg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=70.0, endLine=70.0, startOffset=4.0, endOffset=14.0}	2min	AYaz-P0o1m6JgciZ2AGG	fae0ee3aa83cd1575c92c63f5ffbc8bd	OPEN
MINOR	2023-03-05T22:51:14+0000		71.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""FIFODataReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=71.0, endLine=71.0, startOffset=4.0, endOffset=15.0}	2min	AYaz-P0o1m6JgciZ2AFp	f0d8fc10d0eaf5f36356cc3f5edeb373	OPEN
MINOR	2023-03-05T22:51:14+0000		72.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""FIFOLevelReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=72.0, endLine=72.0, startOffset=4.0, endOffset=16.0}	2min	AYaz-P0o1m6JgciZ2AFo	c8a2a5af9e5f0f37da2ef1e86b3f8220	OPEN
MINOR	2023-03-05T22:51:14+0000		73.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""WaterLevelReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=73.0, endLine=73.0, startOffset=4.0, endOffset=17.0}	2min	AYaz-P0o1m6JgciZ2AGV	f96a9787c93bd7f5ec3171665f62de6a	OPEN
MINOR	2023-03-05T22:51:14+0000		74.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""ControlReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=74.0, endLine=74.0, startOffset=4.0, endOffset=14.0}	2min	AYaz-P0o1m6JgciZ2AGY	9a5e239d00ec558698f486c2d248fc40	OPEN
MINOR	2023-03-05T22:51:14+0000		75.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""BitFramingReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=75.0, endLine=75.0, startOffset=4.0, endOffset=17.0}	2min	AYaz-P0o1m6JgciZ2AGT	af5c77250d358d95cac16e291025708b	OPEN
MINOR	2023-03-05T22:51:14+0000		76.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""CollReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=76.0, endLine=76.0, startOffset=4.0, endOffset=11.0}	2min	AYaz-P0o1m6JgciZ2AGh	e0b9d4cc0ee2b346b3b7987c82fa5867	OPEN
MINOR	2023-03-05T22:51:14+0000		77.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""Reserved01"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=77.0, endLine=77.0, startOffset=4.0, endOffset=14.0}	2min	AYaz-P0o1m6JgciZ2AFk	fcb6b667d31f1af44017ef8c950f1b75	OPEN
MINOR	2023-03-05T22:51:14+0000		79.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""Reserved10"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=79.0, endLine=79.0, startOffset=4.0, endOffset=14.0}	2min	AYaz-P0o1m6JgciZ2AFi	c41a063e71887d0e9d1946fddce8ca84	OPEN
MINOR	2023-03-05T22:51:14+0000		80.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""ModeReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=80.0, endLine=80.0, startOffset=4.0, endOffset=11.0}	2min	AYaz-P0o1m6JgciZ2AFq	8b9e9f97640d06e2ac00391e6f8b52fc	OPEN
MINOR	2023-03-05T22:51:14+0000		81.0		python:S116	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB	2min		"Rename this field ""TxModeReg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-05T22:51:14+0000	CODE_SMELL	false	"convention / "	Raspberry-Pi:-autenticacao-com-RFID-e-Dynamo-DB:RFID-raspberry/MFRC522.py		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=13.0}	2min	AYaz-P0o1m6JgciZ2AGi	55d8a5695b64b786151866607546fa6d	OPEN
