severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-17T14:53:14+0000		3.0		typescript:S1128	Angular-parte-4:-lapidando-o-projeto	2min		Remove this unused import of 'Observable'.	2023-03-17T14:53:14+0000	CODE_SMELL	true	"es2015 / unused / "	Angular-parte-4:-lapidando-o-projeto:ng-test2-main/src/app/components/photo-list/photo-list.component-mock-provider.spec.ts		MAIN	{startLine=3.0, endLine=3.0, startOffset=9.0, endOffset=19.0}	2min	AYbwD8g1IZYa0RflAO9R	f799429de095973fd6bccbcccd609a81	OPEN
MINOR	2023-03-17T14:53:14+0000		3.0		typescript:S1128	Angular-parte-4:-lapidando-o-projeto	2min		Remove this unused import of 'of'.	2023-03-17T14:53:14+0000	CODE_SMELL	true	"es2015 / unused / "	Angular-parte-4:-lapidando-o-projeto:ng-test2-main/src/app/components/photo-list/photo-list.component-mock-provider.spec.ts		MAIN	{startLine=3.0, endLine=3.0, startOffset=21.0, endOffset=23.0}	2min	AYbwD8g1IZYa0RflAO9S	f799429de095973fd6bccbcccd609a81	OPEN
MINOR	2023-03-17T14:53:14+0000		4.0		typescript:S1128	Angular-parte-4:-lapidando-o-projeto	2min		Remove this unused import of 'Photo'.	2023-03-17T14:53:14+0000	CODE_SMELL	true	"es2015 / unused / "	Angular-parte-4:-lapidando-o-projeto:ng-test2-main/src/app/components/photo-list/photo-list.component-mock-provider.spec.ts		MAIN	{startLine=4.0, endLine=4.0, startOffset=9.0, endOffset=14.0}	2min	AYbwD8g1IZYa0RflAO9T	b8e54307ca3c3472cbb23b18d0cb2654	OPEN
MINOR	2023-03-17T14:53:14+0000		7.0		typescript:S1128	Angular-parte-4:-lapidando-o-projeto	2min		Remove this unused import of 'buildPhotoList'.	2023-03-17T14:53:14+0000	CODE_SMELL	true	"es2015 / unused / "	Angular-parte-4:-lapidando-o-projeto:ng-test2-main/src/app/components/photo-list/photo-list.component-mock-provider.spec.ts		MAIN	{startLine=7.0, endLine=7.0, startOffset=9.0, endOffset=23.0}	2min	AYbwD8g1IZYa0RflAO9U	6b9de5138886bb77a1e84256e29461d6	OPEN
MAJOR	2023-03-17T14:53:14+0000		47.0		typescript:S1854	Angular-parte-4:-lapidando-o-projeto	15min		"Remove this useless assignment to variable ""photos""."	2023-03-17T14:53:14+0000	CODE_SMELL	false	"cwe / unused / "	Angular-parte-4:-lapidando-o-projeto:ng-test2-main/src/app/components/photo-list/photo-list.component.spec.ts		MAIN	{startLine=47.0, endLine=47.0, startOffset=10.0, endOffset=16.0}	15min	AYbwD8g6IZYa0RflAO9V	ef2b79e9ac9a471b5d5d000832640a41	OPEN
MINOR	2023-03-17T14:53:14+0000		2.0		typescript:S1128	Angular-parte-4:-lapidando-o-projeto	2min		Remove this unused import of 'SimpleChange'.	2023-03-17T14:53:14+0000	CODE_SMELL	true	"es2015 / unused / "	Angular-parte-4:-lapidando-o-projeto:ng-test2-main/src/app/shared/components/photo-board/photo-board.component-outro.spec.ts		MAIN	{startLine=2.0, endLine=2.0, startOffset=20.0, endOffset=32.0}	2min	AYbwD8hLIZYa0RflAO9Z	c0963683e9dc193f2d683a91bcdad2c1	OPEN
MINOR	2023-03-17T14:53:14+0000		2.0		typescript:S1128	Angular-parte-4:-lapidando-o-projeto	2min		Remove this unused import of 'SimpleChanges'.	2023-03-17T14:53:14+0000	CODE_SMELL	true	"es2015 / unused / "	Angular-parte-4:-lapidando-o-projeto:ng-test2-main/src/app/shared/components/photo-board/photo-board.component-outro.spec.ts		MAIN	{startLine=2.0, endLine=2.0, startOffset=34.0, endOffset=47.0}	2min	AYbwD8hLIZYa0RflAO9a	c0963683e9dc193f2d683a91bcdad2c1	OPEN
MINOR	2023-03-17T14:53:14+0000		1.0		typescript:S1128	Angular-parte-4:-lapidando-o-projeto	2min		Remove this unused import of 'Inject'.	2023-03-17T14:53:14+0000	CODE_SMELL	true	"es2015 / unused / "	Angular-parte-4:-lapidando-o-projeto:ng-test2-main/src/app/shared/components/photo-board/services/photo-board-mock.service.ts		MAIN	{startLine=1.0, endLine=1.0, startOffset=9.0, endOffset=15.0}	2min	AYbwD8hHIZYa0RflAO9Y	2990bc9c510d0b5f48a0764179e8c910	OPEN
MAJOR	2023-03-17T14:53:14+0000		16.0		typescript:S125	Angular-parte-4:-lapidando-o-projeto	5min		Remove this commented out code.	2023-03-17T14:53:14+0000	CODE_SMELL	true	"unused / "	Angular-parte-4:-lapidando-o-projeto:ng-test2-main/src/environments/environment.ts		MAIN	{startLine=16.0, endLine=16.0, startOffset=0.0, endOffset=67.0}	5min	AYbwD8hcIZYa0RflAO9d	b0a3d87b8c3caf0e5e6762304e6dcf96	OPEN
MAJOR	2023-03-17T14:53:14+0000		22.0		typescript:S125	Angular-parte-4:-lapidando-o-projeto	5min		Remove this commented out code.	2023-03-17T14:53:14+0000	CODE_SMELL	true	"unused / "	Angular-parte-4:-lapidando-o-projeto:ng-test2-main/src/polyfills.ts		MAIN	{startLine=22.0, endLine=22.0, startOffset=0.0, endOffset=68.0}	5min	AYbwD8hhIZYa0RflAO9f	498770bf1ba9d52059accfb089c7db5e	OPEN
