severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-17T14:56:51+0000		10.0		typescript:S1186	Angular:-controle-o-fluxo-de-navegacao	5min		Unexpected empty constructor.	2023-03-17T14:56:51+0000	CODE_SMELL	true	"suspicious / "	Angular:-controle-o-fluxo-de-navegacao:gatitobook/src/app/animais/lista-animais/lista-animais.component.ts		MAIN	{startLine=10.0, endLine=10.0, startOffset=16.0, endOffset=19.0}	5min	AYbwExjrIZYa0RflARoh	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T14:56:51+0000		12.0		typescript:S1186	Angular:-controle-o-fluxo-de-navegacao	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T14:56:51+0000	CODE_SMELL	true	"suspicious / "	Angular:-controle-o-fluxo-de-navegacao:gatitobook/src/app/animais/lista-animais/lista-animais.component.ts		MAIN	{startLine=12.0, endLine=13.0, startOffset=19.0, endOffset=3.0}	5min	AYbwExjrIZYa0RflARoi	eb0b1c7245babb8e369fd11f7e238b1b	OPEN
MINOR	2023-03-17T14:56:51+0000		1.0		typescript:S1128	Angular:-controle-o-fluxo-de-navegacao	2min		Remove this unused import of 'OnInit'.	2023-03-17T14:56:51+0000	CODE_SMELL	true	"es2015 / unused / "	Angular:-controle-o-fluxo-de-navegacao:gatitobook/src/app/componentes/cabecalho/cabecalho.component.ts		MAIN	{startLine=1.0, endLine=1.0, startOffset=20.0, endOffset=26.0}	2min	AYbwExjxIZYa0RflARol	16b50211d9359e604d5594dc2548cb9f	OPEN
CRITICAL	2023-03-17T14:56:51+0000		12.0		typescript:S1186	Angular:-controle-o-fluxo-de-navegacao	5min		Unexpected empty constructor.	2023-03-17T14:56:51+0000	CODE_SMELL	true	"suspicious / "	Angular:-controle-o-fluxo-de-navegacao:gatitobook/src/app/componentes/mensagem/mensagem.component.ts		MAIN	{startLine=12.0, endLine=12.0, startOffset=16.0, endOffset=18.0}	5min	AYbwExj0IZYa0RflARom	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T14:56:51+0000		14.0		typescript:S1186	Angular:-controle-o-fluxo-de-navegacao	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T14:56:51+0000	CODE_SMELL	true	"suspicious / "	Angular:-controle-o-fluxo-de-navegacao:gatitobook/src/app/componentes/mensagem/mensagem.component.ts		MAIN	{startLine=14.0, endLine=14.0, startOffset=19.0, endOffset=21.0}	5min	AYbwExj0IZYa0RflARon	319032492244367cebb8c1bb329e480a	OPEN
CRITICAL	2023-03-17T14:56:51+0000		10.0		typescript:S1186	Angular:-controle-o-fluxo-de-navegacao	5min		Unexpected empty constructor.	2023-03-17T14:56:51+0000	CODE_SMELL	true	"suspicious / "	Angular:-controle-o-fluxo-de-navegacao:gatitobook/src/app/componentes/rodape/rodape.component.ts		MAIN	{startLine=10.0, endLine=10.0, startOffset=16.0, endOffset=19.0}	5min	AYbwExjvIZYa0RflARoj	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T14:56:51+0000		12.0		typescript:S1186	Angular:-controle-o-fluxo-de-navegacao	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T14:56:51+0000	CODE_SMELL	true	"suspicious / "	Angular:-controle-o-fluxo-de-navegacao:gatitobook/src/app/componentes/rodape/rodape.component.ts		MAIN	{startLine=12.0, endLine=13.0, startOffset=19.0, endOffset=3.0}	5min	AYbwExjvIZYa0RflARok	eb0b1c7245babb8e369fd11f7e238b1b	OPEN
CRITICAL	2023-03-17T14:56:51+0000		10.0		typescript:S1186	Angular:-controle-o-fluxo-de-navegacao	5min		Unexpected empty constructor.	2023-03-17T14:56:51+0000	CODE_SMELL	true	"suspicious / "	Angular:-controle-o-fluxo-de-navegacao:gatitobook/src/app/home/home.component.ts		MAIN	{startLine=10.0, endLine=10.0, startOffset=16.0, endOffset=19.0}	5min	AYbwExjmIZYa0RflARof	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T14:56:51+0000		12.0		typescript:S1186	Angular:-controle-o-fluxo-de-navegacao	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T14:56:51+0000	CODE_SMELL	true	"suspicious / "	Angular:-controle-o-fluxo-de-navegacao:gatitobook/src/app/home/home.component.ts		MAIN	{startLine=12.0, endLine=13.0, startOffset=19.0, endOffset=3.0}	5min	AYbwExjmIZYa0RflARog	eb0b1c7245babb8e369fd11f7e238b1b	OPEN
CRITICAL	2023-03-17T14:56:51+0000		19.0		typescript:S1186	Angular:-controle-o-fluxo-de-navegacao	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T14:56:51+0000	CODE_SMELL	true	"suspicious / "	Angular:-controle-o-fluxo-de-navegacao:gatitobook/src/app/home/login/login.component.ts		MAIN	{startLine=19.0, endLine=19.0, startOffset=19.0, endOffset=21.0}	5min	AYbwExjeIZYa0RflARoe	319032492244367cebb8c1bb329e480a	OPEN
