severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-17T14:58:43+0000		24.0		typescript:S1751	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta	5min		Refactor this loop to do more than one iteration.	2023-03-17T14:58:43+0000	BUG	false		Protractor:-testando-sua-aplicacao-de-ponta-a-ponta:alurapic/src/app/app.component.ts		MAIN	{startLine=24.0, endLine=24.0, startOffset=10.0, endOffset=15.0}	5min	AYbwFNXhIZYa0RflATCL	e95acf00b31d4921c54f52f818fc811e	OPEN
MAJOR	2023-03-17T14:58:43+0000		17.0		typescript:S905	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta	10min		Expected an assignment or function call and instead saw an expression.	2023-03-17T14:58:43+0000	BUG	false	"cwe / unused / "	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta:alurapic/src/app/core/header/header.component.spec.ts		MAIN	{startLine=17.0, endLine=26.0, startOffset=4.0, endOffset=25.0}	10min	AYbwFNWVIZYa0RflATB6	cc87fdd1e369c6f0e904a200d13f115c	OPEN
MINOR	2023-03-17T14:58:43+0000		2.0		typescript:S1128	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta	2min		Remove this unused import of 'TokenService'.	2023-03-17T14:58:43+0000	CODE_SMELL	true	"es2015 / unused / "	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta:alurapic/src/app/core/user/user.service.spec.ts		MAIN	{startLine=2.0, endLine=2.0, startOffset=9.0, endOffset=21.0}	2min	AYbwFNWbIZYa0RflATB7	7a6a63463117838aad68cce10c2a9bc2	OPEN
MINOR	2023-03-17T14:58:43+0000		5.0		typescript:S1128	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta	2min		Remove this unused import of 'Observable'.	2023-03-17T14:58:43+0000	CODE_SMELL	true	"es2015 / unused / "	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta:alurapic/src/app/errors/global-error-handler/server-log.service.ts		MAIN	{startLine=5.0, endLine=5.0, startOffset=9.0, endOffset=19.0}	2min	AYbwFNXGIZYa0RflATCD	04ff6e8a9739c6621d2f5ef5bc454178	OPEN
CRITICAL	2023-03-17T14:58:43+0000		7.0		typescript:S1186	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta	5min		Unexpected empty constructor.	2023-03-17T14:58:43+0000	CODE_SMELL	true	"suspicious / "	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta:alurapic/src/app/errors/global-error/global-error.component.ts		MAIN	{startLine=7.0, endLine=7.0, startOffset=16.0, endOffset=18.0}	5min	AYbwFNXIIZYa0RflATCE	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T14:58:43+0000		9.0		typescript:S1186	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T14:58:43+0000	CODE_SMELL	true	"suspicious / "	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta:alurapic/src/app/errors/global-error/global-error.component.ts		MAIN	{startLine=9.0, endLine=9.0, startOffset=13.0, endOffset=15.0}	5min	AYbwFNXIIZYa0RflATCF	a73ef0c42fd36cffbb05f07b660de442	OPEN
CRITICAL	2023-03-17T14:58:43+0000		10.0		typescript:S1186	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta	5min		Unexpected empty constructor.	2023-03-17T14:58:43+0000	CODE_SMELL	true	"suspicious / "	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta:alurapic/src/app/errors/not-found/not-found.component.ts		MAIN	{startLine=10.0, endLine=10.0, startOffset=16.0, endOffset=19.0}	5min	AYbwFNXBIZYa0RflATCB	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T14:58:43+0000		12.0		typescript:S1186	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T14:58:43+0000	CODE_SMELL	true	"suspicious / "	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta:alurapic/src/app/errors/not-found/not-found.component.ts		MAIN	{startLine=12.0, endLine=13.0, startOffset=13.0, endOffset=3.0}	5min	AYbwFNXBIZYa0RflATCC	2081060895aca8a8318c43140bb5c63f	OPEN
CRITICAL	2023-03-17T14:58:43+0000		7.0		typescript:S1186	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta	5min		Unexpected empty constructor.	2023-03-17T14:58:43+0000	CODE_SMELL	true	"suspicious / "	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta:alurapic/src/app/home/home.component.ts		MAIN	{startLine=7.0, endLine=7.0, startOffset=16.0, endOffset=18.0}	5min	AYbwFNWsIZYa0RflATB9	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T14:58:43+0000		9.0		typescript:S1186	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T14:58:43+0000	CODE_SMELL	true	"suspicious / "	Protractor:-testando-sua-aplicacao-de-ponta-a-ponta:alurapic/src/app/home/home.component.ts		MAIN	{startLine=9.0, endLine=9.0, startOffset=13.0, endOffset=15.0}	5min	AYbwFNWsIZYa0RflATB-	a73ef0c42fd36cffbb05f07b660de442	OPEN
