severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-17T00:56:54+0000		6.0		python:S1135	GoLang-Nanodegree---Online-Boutique	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-17T00:56:54+0000	CODE_SMELL	false	"cwe / "	GoLang-Nanodegree---Online-Boutique:src/adservice-v2/logger.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=74.0}	0min	AYbtEjBOIZYa0Rfl_jwi	ff9d161fca733ac0f913925f894cb2ab	OPEN
MAJOR	2023-03-17T00:56:54+0000		18.0		python:S1542	GoLang-Nanodegree---Online-Boutique	10min		"Rename function ""getJSONLogger"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-17T00:56:54+0000	CODE_SMELL	false	"convention / "	GoLang-Nanodegree---Online-Boutique:src/adservice-v2/logger.py		MAIN	{startLine=18.0, endLine=18.0, startOffset=4.0, endOffset=17.0}	10min	AYbtEjBOIZYa0Rfl_jwj	30b6a5766365fc0158c30004e51f1cd0	OPEN
CRITICAL	2023-03-17T00:56:54+0000		65.0		go:S1186	GoLang-Nanodegree---Online-Boutique	5min		Add a nested comment explaining why this function is empty or complete the implementation.	2023-03-17T00:56:54+0000	CODE_SMELL	false	"suspicious / "	GoLang-Nanodegree---Online-Boutique:src/frontend/genproto/demo.pb.go		MAIN	{startLine=65.0, endLine=65.0, startOffset=29.0, endOffset=31.0}	5min	AYbtEjBFIZYa0Rfl_jwM	0913cd22801b1bbe6e2f594dac089882	OPEN
CRITICAL	2023-03-17T00:56:54+0000		112.0		go:S1186	GoLang-Nanodegree---Online-Boutique	5min		Add a nested comment explaining why this function is empty or complete the implementation.	2023-03-17T00:56:54+0000	CODE_SMELL	false	"suspicious / "	GoLang-Nanodegree---Online-Boutique:src/frontend/genproto/demo.pb.go		MAIN	{startLine=112.0, endLine=112.0, startOffset=31.0, endOffset=33.0}	5min	AYbtEjBFIZYa0Rfl_jwN	eab4bf9e556236d9b552e67f02518952	OPEN
CRITICAL	2023-03-17T00:56:54+0000		194.0		go:S1186	GoLang-Nanodegree---Online-Boutique	5min		Add a nested comment explaining why this function is empty or complete the implementation.	2023-03-17T00:56:54+0000	CODE_SMELL	false	"suspicious / "	GoLang-Nanodegree---Online-Boutique:src/frontend/genproto/demo.pb.go		MAIN	{startLine=194.0, endLine=194.0, startOffset=44.0, endOffset=46.0}	5min	AYbtEjBFIZYa0Rfl_jwO	e24909ef92677d735a1dac5cda9bc3d3	OPEN
CRITICAL	2023-03-17T00:56:54+0000		241.0		go:S1186	GoLang-Nanodegree---Online-Boutique	5min		Add a nested comment explaining why this function is empty or complete the implementation.	2023-03-17T00:56:54+0000	CODE_SMELL	false	"suspicious / "	GoLang-Nanodegree---Online-Boutique:src/frontend/genproto/demo.pb.go		MAIN	{startLine=241.0, endLine=241.0, startOffset=41.0, endOffset=43.0}	5min	AYbtEjBFIZYa0Rfl_jwP	ce62fdac3961e42a4163e19bb1cb64b0	OPEN
CRITICAL	2023-03-17T00:56:54+0000		288.0		go:S1186	GoLang-Nanodegree---Online-Boutique	5min		Add a nested comment explaining why this function is empty or complete the implementation.	2023-03-17T00:56:54+0000	CODE_SMELL	false	"suspicious / "	GoLang-Nanodegree---Online-Boutique:src/frontend/genproto/demo.pb.go		MAIN	{startLine=288.0, endLine=288.0, startOffset=45.0, endOffset=47.0}	5min	AYbtEjBFIZYa0Rfl_jwQ	e1950cbe797d2af020a835b8791c7137	OPEN
CRITICAL	2023-03-17T00:56:54+0000		335.0		go:S1186	GoLang-Nanodegree---Online-Boutique	5min		Add a nested comment explaining why this function is empty or complete the implementation.	2023-03-17T00:56:54+0000	CODE_SMELL	false	"suspicious / "	GoLang-Nanodegree---Online-Boutique:src/frontend/genproto/demo.pb.go		MAIN	{startLine=335.0, endLine=335.0, startOffset=46.0, endOffset=48.0}	5min	AYbtEjBFIZYa0Rfl_jwR	b27f12fe2a9ea45c2aae8f39b4eac9a8	OPEN
CRITICAL	2023-03-17T00:56:54+0000		394.0		go:S1186	GoLang-Nanodegree---Online-Boutique	5min		Add a nested comment explaining why this function is empty or complete the implementation.	2023-03-17T00:56:54+0000	CODE_SMELL	false	"suspicious / "	GoLang-Nanodegree---Online-Boutique:src/frontend/genproto/demo.pb.go		MAIN	{startLine=394.0, endLine=394.0, startOffset=29.0, endOffset=31.0}	5min	AYbtEjBFIZYa0Rfl_jwS	cc2053d45875a36aca2308832319028e	OPEN
CRITICAL	2023-03-17T00:56:54+0000		456.0		go:S1186	GoLang-Nanodegree---Online-Boutique	5min		Add a nested comment explaining why this function is empty or complete the implementation.	2023-03-17T00:56:54+0000	CODE_SMELL	false	"suspicious / "	GoLang-Nanodegree---Online-Boutique:src/frontend/genproto/demo.pb.go		MAIN	{startLine=456.0, endLine=456.0, startOffset=54.0, endOffset=56.0}	5min	AYbtEjBFIZYa0Rfl_jwT	e04bbc6bf7b14b58d29a2bea06c5f3bc	OPEN
