severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-17T00:52:49+0000		133.0		go:S3776	Machinery---Asynchronous-task-queue-job	19min		Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.	2023-03-17T00:52:49+0000	CODE_SMELL	false	"brain-overload / "	Machinery---Asynchronous-task-queue-job:example/machinery.go	"{locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=135.0, endLine=135.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=141.0, endLine=141.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=269.0, endLine=269.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=286.0, endLine=286.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=291.0, endLine=291.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=300.0, endLine=300.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=305.0, endLine=305.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=311.0, endLine=311.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=316.0, endLine=316.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=322.0, endLine=322.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=327.0, endLine=327.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=333.0, endLine=333.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=338.0, endLine=338.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=352.0, endLine=352.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=357.0, endLine=357.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=361.0, endLine=361.0, startOffset=1.0, endOffset=4.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=363.0, endLine=363.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=379.0, endLine=379.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=384.0, endLine=384.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=389.0, endLine=389.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=394.0, endLine=394.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=404.0, endLine=404.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=409.0, endLine=409.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=414.0, endLine=414.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=422.0, endLine=422.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=427.0, endLine=427.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=435.0, endLine=435.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=440.0, endLine=440.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=133.0, endLine=133.0, startOffset=5.0, endOffset=9.0}	19min	AYbtDlB3IZYa0Rfl_hOw	6cb49b0ece03f55157d699830f29a361	OPEN
CRITICAL	2023-03-17T00:52:49+0000		287.0		go:S1192	Machinery---Asynchronous-task-queue-job	14min		"Define a constant instead of duplicating this literal ""Could not send task: %s"" 7 times."	2023-03-17T00:52:49+0000	CODE_SMELL	false	"design / "	Machinery---Asynchronous-task-queue-job:example/machinery.go	"{locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=301.0, endLine=301.0, startOffset=20.0, endOffset=45.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=312.0, endLine=312.0, startOffset=20.0, endOffset=45.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=323.0, endLine=323.0, startOffset=20.0, endOffset=45.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=334.0, endLine=334.0, startOffset=20.0, endOffset=45.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=423.0, endLine=423.0, startOffset=20.0, endOffset=45.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=436.0, endLine=436.0, startOffset=20.0, endOffset=45.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=287.0, endLine=287.0, startOffset=20.0, endOffset=45.0}	14min	AYbtDlB3IZYa0Rfl_hOv	fabeebb036baaac10c4afc12806ccb33	OPEN
CRITICAL	2023-03-17T00:52:49+0000		292.0		go:S1192	Machinery---Asynchronous-task-queue-job	12min		"Define a constant instead of duplicating this literal ""Getting task result failed with error: %s"" 6 times."	2023-03-17T00:52:49+0000	CODE_SMELL	false	"design / "	Machinery---Asynchronous-task-queue-job:example/machinery.go	"{locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=306.0, endLine=306.0, startOffset=20.0, endOffset=63.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=317.0, endLine=317.0, startOffset=20.0, endOffset=63.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=328.0, endLine=328.0, startOffset=20.0, endOffset=63.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=339.0, endLine=339.0, startOffset=20.0, endOffset=63.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:example/machinery.go, textRange={startLine=364.0, endLine=364.0, startOffset=21.0, endOffset=64.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=292.0, endLine=292.0, startOffset=20.0, endOffset=63.0}	12min	AYbtDlB3IZYa0Rfl_hOu	7a62ac9a7977b7ae6ce3bf2949d37a88	OPEN
CRITICAL	2023-03-17T00:52:49+0000		49.0		go:S1192	Machinery---Asynchronous-task-queue-job	22min		"Define a constant instead of duplicating this literal ""Number of results returned = %d. Wanted %d"" 11 times."	2023-03-17T00:52:49+0000	CODE_SMELL	false	"design / "	Machinery---Asynchronous-task-queue-job:integration-tests/suite_test.go	"{locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/suite_test.go, textRange={startLine=72.0, endLine=72.0, startOffset=11.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/suite_test.go, textRange={startLine=108.0, endLine=108.0, startOffset=12.0, endOffset=56.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/suite_test.go, textRange={startLine=148.0, endLine=148.0, startOffset=11.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/suite_test.go, textRange={startLine=184.0, endLine=184.0, startOffset=11.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/suite_test.go, textRange={startLine=206.0, endLine=206.0, startOffset=11.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/suite_test.go, textRange={startLine=219.0, endLine=219.0, startOffset=11.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/suite_test.go, textRange={startLine=239.0, endLine=239.0, startOffset=11.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/suite_test.go, textRange={startLine=268.0, endLine=268.0, startOffset=11.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/suite_test.go, textRange={startLine=282.0, endLine=282.0, startOffset=11.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/suite_test.go, textRange={startLine=302.0, endLine=302.0, startOffset=11.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=49.0, endLine=49.0, startOffset=11.0, endOffset=55.0}	22min	AYbtDlBRIZYa0Rfl_hOp	7536137170241174ff8138fc29545233	OPEN
CRITICAL	2023-03-17T00:52:49+0000		16.0		go:S3776	Machinery---Asynchronous-task-queue-job	7min		Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.	2023-03-17T00:52:49+0000	CODE_SMELL	false	"brain-overload / "	Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go	"{locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=18.0, endLine=18.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=35.0, endLine=35.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=41.0, endLine=41.0, startOffset=2.0, endOffset=5.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=48.0, endLine=48.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=54.0, endLine=54.0, startOffset=2.0, endOffset=5.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=94.0, endLine=94.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=99.0, endLine=99.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=106.0, endLine=106.0, startOffset=1.0, endOffset=4.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=108.0, endLine=108.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=112.0, endLine=112.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=117.0, endLine=117.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=128.0, endLine=128.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=16.0, endLine=16.0, startOffset=5.0, endOffset=45.0}	7min	AYbtDlBfIZYa0Rfl_hOq	f89ea82481b3c78cf285b2fa74917171	OPEN
CRITICAL	2023-03-17T00:52:49+0000		137.0		go:S3776	Machinery---Asynchronous-task-queue-job	7min		Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.	2023-03-17T00:52:49+0000	CODE_SMELL	false	"brain-overload / "	Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go	"{locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=139.0, endLine=139.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=150.0, endLine=150.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=156.0, endLine=156.0, startOffset=2.0, endOffset=5.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=163.0, endLine=163.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=169.0, endLine=169.0, startOffset=2.0, endOffset=5.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=209.0, endLine=209.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=214.0, endLine=214.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=221.0, endLine=221.0, startOffset=1.0, endOffset=4.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=223.0, endLine=223.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=227.0, endLine=227.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=232.0, endLine=232.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:integration-tests/worker_only_consumes_registered_tasks_test.go, textRange={startLine=243.0, endLine=243.0, startOffset=1.0, endOffset=3.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=137.0, endLine=137.0, startOffset=5.0, endOffset=46.0}	7min	AYbtDlBfIZYa0Rfl_hOr	bb6feb7c40ec2db44d9d5a3bbfad01db	OPEN
CRITICAL	2023-03-17T00:52:49+0000		193.0		go:S1192	Machinery---Asynchronous-task-queue-job	6min		"Define a constant instead of duplicating this literal ""x-message-ttl"" 3 times."	2023-03-17T00:52:49+0000	CODE_SMELL	false	"design / "	Machinery---Asynchronous-task-queue-job:v1/backends/amqp.go	"{locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/amqp.go, textRange={startLine=274.0, endLine=274.0, startOffset=2.0, endOffset=17.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/amqp.go, textRange={startLine=345.0, endLine=345.0, startOffset=2.0, endOffset=17.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=193.0, endLine=193.0, startOffset=2.0, endOffset=17.0}	6min	AYbtDk_SIZYa0Rfl_hOB	27951482fd18bacd7e283cdf467dff55	OPEN
CRITICAL	2023-03-17T00:52:49+0000		195.0		go:S1192	Machinery---Asynchronous-task-queue-job	6min		"Define a constant instead of duplicating this literal ""x-expires"" 3 times."	2023-03-17T00:52:49+0000	CODE_SMELL	false	"design / "	Machinery---Asynchronous-task-queue-job:v1/backends/amqp.go	"{locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/amqp.go, textRange={startLine=276.0, endLine=276.0, startOffset=2.0, endOffset=13.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/amqp.go, textRange={startLine=347.0, endLine=347.0, startOffset=2.0, endOffset=13.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=195.0, endLine=195.0, startOffset=2.0, endOffset=13.0}	6min	AYbtDk_SIZYa0Rfl_hOA	a4e44390998a19935ebecc1f8b9add1c	OPEN
CRITICAL	2023-03-17T00:52:49+0000		438.0		go:S1192	Machinery---Asynchronous-task-queue-job	8min		"Define a constant instead of duplicating this literal ""Got error when unmarshal map. Error: %v"" 4 times."	2023-03-17T00:52:49+0000	CODE_SMELL	false	"design / "	Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb.go	"{locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb.go, textRange={startLine=444.0, endLine=444.0, startOffset=19.0, endOffset=60.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb.go, textRange={startLine=453.0, endLine=453.0, startOffset=19.0, endOffset=60.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb.go, textRange={startLine=459.0, endLine=459.0, startOffset=19.0, endOffset=60.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=438.0, endLine=438.0, startOffset=19.0, endOffset=60.0}	8min	AYbtDk_HIZYa0Rfl_hN_	755618f652a51b896bef4fae598d48b2	OPEN
CRITICAL	2023-03-17T00:52:49+0000		42.0		go:S1192	Machinery---Asynchronous-task-queue-job	22min		"Define a constant instead of duplicating this literal ""Results:"" 11 times."	2023-03-17T00:52:49+0000	CODE_SMELL	false	"design / "	Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb_test.go	"{locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb_test.go, textRange={startLine=56.0, endLine=56.0, startOffset=2.0, endOffset=12.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb_test.go, textRange={startLine=70.0, endLine=70.0, startOffset=2.0, endOffset=12.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb_test.go, textRange={startLine=127.0, endLine=127.0, startOffset=3.0, endOffset=13.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb_test.go, textRange={startLine=144.0, endLine=144.0, startOffset=3.0, endOffset=13.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb_test.go, textRange={startLine=272.0, endLine=272.0, startOffset=2.0, endOffset=12.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb_test.go, textRange={startLine=286.0, endLine=286.0, startOffset=2.0, endOffset=12.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb_test.go, textRange={startLine=300.0, endLine=300.0, startOffset=2.0, endOffset=12.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb_test.go, textRange={startLine=352.0, endLine=352.0, startOffset=2.0, endOffset=12.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb_test.go, textRange={startLine=366.0, endLine=366.0, startOffset=2.0, endOffset=12.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Machinery---Asynchronous-task-queue-job:v1/backends/dynamodb_test.go, textRange={startLine=380.0, endLine=380.0, startOffset=2.0, endOffset=12.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=42.0, endLine=42.0, startOffset=2.0, endOffset=12.0}	22min	AYbtDk_dIZYa0Rfl_hOD	3220b30b31b9cf854b36b52a7202983b	OPEN
