severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S4454	2D-Game-Development-with-LibGDX	3min		"""equals"" method parameters should not be marked ""@Nonnull"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=31.0}	3min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	2D-Game-Development-with-LibGDX	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MINOR	2023-03-07T02:54:15+0000		152.0		java:S1488	2D-Game-Development-with-LibGDX	2min		"Immediately return this expression instead of assigning it to the temporary variable ""result""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	clumsy / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=152.0, endLine=152.0, startOffset=24.0, endOffset=30.0}	2min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MINOR	2023-03-07T02:54:15+0000		92.0		java:S1698	2D-Game-Development-with-LibGDX	2min		"""=="" and ""!="" should not be used when ""equals"" is overridden"	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / cwe / suspicious /	2D-Game-Development-with-LibGDX:		MAIN	{startLine=131.0, endLine=111.0, startOffset=35.0, endOffset=41.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		100.0		java:S1596	2D-Game-Development-with-LibGDX	2min		"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	2D-Game-Development-with-LibGDX:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		103.0		java:S122	2D-Game-Development-with-LibGDX	1min		Statements should be on separate lines	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		65.0		java:S1820	2D-Game-Development-with-LibGDX	1h		Classes should not have too many fields	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice /	2D-Game-Development-with-LibGDX:		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=105.0}	1h	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		39.0		java:S2093	2D-Game-Development-with-LibGDX	15min		Try-with-resources should be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / java8 / pitfal	2D-Game-Development-with-LibGDX:		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=26.0}	15min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		43.0		java:S106	2D-Game-Development-with-LibGDX	10min		Replace this use of System.out or System.err by a logger.	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=43.0, endLine=43.0, startOffset=12.0, endOffset=22.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		9.0		java:S3937	2D-Game-Development-with-LibGDX	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=38.0, endLine=38.0, startOffset=22.0, endOffset=36.0}	10min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MAJOR	2023-03-07T02:54:15+0000		65.0		java:S1820	2D-Game-Development-with-LibGDX	1h		Classes should not have too many fields	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice /	2D-Game-Development-with-LibGDX:		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=105.0}	1h	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		39.0		java:S2093	2D-Game-Development-with-LibGDX	15min		Try-with-resources should be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / java8 / pitfal	2D-Game-Development-with-LibGDX:		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=26.0}	15min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		43.0		java:S106	2D-Game-Development-with-LibGDX	10min		Replace this use of System.out or System.err by a logger.	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=43.0, endLine=43.0, startOffset=12.0, endOffset=22.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		9.0		java:S3937	2D-Game-Development-with-LibGDX	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=38.0, endLine=38.0, startOffset=22.0, endOffset=36.0}	10min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MINOR	2023-03-07T02:54:15+0000		139.0		java:S3626	2D-Game-Development-with-LibGDX	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=15.0}	1min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		157.0		java:S3626	2D-Game-Development-with-LibGDX	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=157.0, endLine=157.0, startOffset=12.0, endOffset=19.0}	1min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		46.0		java:S1939	2D-Game-Development-with-LibGDX	1min		Extensions and implementations should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	2D-Game-Development-with-LibGDX:		MAIN	{startLine=16.0, endLine=16.0, startOffset=44.0, endOffset=55.0}	1min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S113	2D-Game-Development-with-LibGDX	1min		Files should contain an empty newline at the end	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	2D-Game-Development-with-LibGDX:		MAIN	{startLine=46.0, endLine=46.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
MAJOR	2023-03-07T02:54:15+0000		37.0		java:S3984	2D-Game-Development-with-LibGDX	2min		Exceptions should not be created without being thrown	2023-03-07T02:54:15+0000	BUG	true	clumsy / redundant / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
BLOCKER	2023-03-07T02:54:15+0000		38.0		java:S2689	2D-Game-Development-with-LibGDX	1h		Files opened in append mode should not be used with ObjectOutputStream	2023-03-07T02:54:15+0000	BUG	false	cert / cwe / suspicious /	2D-Game-Development-with-LibGDX:		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=27.0}	1h	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		40.0		java:S4275	2D-Game-Development-with-LibGDX	5min		Getters and setters should access the expected fields	2023-03-07T02:54:15+0000	BUG	false	obsolete / pitfall /	2D-Game-Development-with-LibGDX:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MAJOR	2023-03-07T02:54:15+0000		53.0		java:S2886	2D-Game-Development-with-LibGDX	5min		Getters and setters should be synchronized in pairs	2023-03-07T02:54:15+0000	BUG	false	cert / pitfall / serialization /	2D-Game-Development-with-LibGDX:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		8.0		java:S1217	2D-Game-Development-with-LibGDX	20min		"""Thread.run()"" should not be called directly"	2023-03-07T02:54:15+0000	BUG	true	cwe / serialization / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	20min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		266.0		java:S5856	2D-Game-Development-with-LibGDX	15min		Regular expressions should be syntactically valid	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
BLOCKER	2023-03-07T02:54:15+0000		302.0		java:S2095	2D-Game-Development-with-LibGDX	5min		Resources should be closed	2023-03-07T02:54:15+0000	BUG	false	confusing / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		61.0		java:S1444	2D-Game-Development-with-LibGDX	20min		"""public static"" fields should be constant"	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=21.0}	20min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MINOR	2023-03-07T02:54:15+0000		61.0		java:S1444	2D-Game-Development-with-LibGDX	20min		"""public static"" fields should be constant"	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=21.0}	20min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MINOR	2023-03-07T02:54:15+0000		61.0		java:S1444	2D-Game-Development-with-LibGDX	20min		"""public static"" fields should be constant"	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=21.0}	20min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MINOR	2023-03-07T02:54:15+0000		61.0		java:S1444	2D-Game-Development-with-LibGDX	20min		"""public static"" fields should be constant"	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=21.0}	20min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MINOR	2023-03-07T02:54:15+0000		61.0		java:S1444	2D-Game-Development-with-LibGDX	20min		"""public static"" fields should be constant"	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	2D-Game-Development-with-LibGDX:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=21.0}	20min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
