severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		50.0		java:S1068	Activity-and-Fragment-lifecycle-App	5min		"Unused ""private"" fields should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Activity-and-Fragment-lifecycle-App:		MAIN	{startLine=52.0, endLine=52.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Activity-and-Fragment-lifecycle-App	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Activity-and-Fragment-lifecycle-App:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MINOR	2023-03-07T02:54:15+0000		139.0		java:S3626	Activity-and-Fragment-lifecycle-App	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Activity-and-Fragment-lifecycle-App:		MAIN	{startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=15.0}	1min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		157.0		java:S3626	Activity-and-Fragment-lifecycle-App	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Activity-and-Fragment-lifecycle-App:		MAIN	{startLine=157.0, endLine=157.0, startOffset=12.0, endOffset=19.0}	1min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		46.0		java:S1939	Activity-and-Fragment-lifecycle-App	1min		Extensions and implementations should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Activity-and-Fragment-lifecycle-App:		MAIN	{startLine=16.0, endLine=16.0, startOffset=44.0, endOffset=55.0}	1min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Activity-and-Fragment-lifecycle-App	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Activity-and-Fragment-lifecycle-App:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		24.0		java:S108	Activity-and-Fragment-lifecycle-App	5min		Nested blocks of code should not be left empty	2023-03-07T02:54:15+0000	CODE_SMELL	false	suspicious /	Activity-and-Fragment-lifecycle-App:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Activity-and-Fragment-lifecycle-App	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Activity-and-Fragment-lifecycle-App:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MINOR	2023-03-07T02:54:15+0000		139.0		java:S3626	Activity-and-Fragment-lifecycle-App	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Activity-and-Fragment-lifecycle-App:		MAIN	{startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=15.0}	1min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Activity-and-Fragment-lifecycle-App	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Activity-and-Fragment-lifecycle-App:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
