severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-07T02:54:15+0000		101.0		java:S3252	Android-Architecture-Components-Toy-App	5min		"Use static access with ""javax.swing.WindowConstants"" for ""EXIT_ON_CLOSE""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	confusing / 	Android-Architecture-Components-Toy-App:		MAIN	{startLine=101.0, endLine=101.0, startOffset=46.0, endOffset=59.0}	5min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MINOR	2023-03-07T02:54:15+0000		157.0		java:S3626	Android-Architecture-Components-Toy-App	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Android-Architecture-Components-Toy-App:		MAIN	{startLine=157.0, endLine=157.0, startOffset=12.0, endOffset=19.0}	1min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		92.0		java:S1698	Android-Architecture-Components-Toy-App	2min		"""=="" and ""!="" should not be used when ""equals"" is overridden"	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / cwe / suspicious /	Android-Architecture-Components-Toy-App:		MAIN	{startLine=131.0, endLine=111.0, startOffset=35.0, endOffset=41.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		100.0		java:S1596	Android-Architecture-Components-Toy-App	2min		"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Android-Architecture-Components-Toy-App:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		107.0		java:S1161	Android-Architecture-Components-Toy-App	5min		"""@Override"" should be used on overriding and implementing methods"	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / 	Android-Architecture-Components-Toy-App:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		101.0		java:S3252	Android-Architecture-Components-Toy-App	5min		"Use static access with ""javax.swing.WindowConstants"" for ""EXIT_ON_CLOSE""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	confusing / 	Android-Architecture-Components-Toy-App:		MAIN	{startLine=101.0, endLine=101.0, startOffset=46.0, endOffset=59.0}	5min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MINOR	2023-03-07T02:54:15+0000		157.0		java:S3626	Android-Architecture-Components-Toy-App	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Android-Architecture-Components-Toy-App:		MAIN	{startLine=157.0, endLine=157.0, startOffset=12.0, endOffset=19.0}	1min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		92.0		java:S1698	Android-Architecture-Components-Toy-App	2min		"""=="" and ""!="" should not be used when ""equals"" is overridden"	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / cwe / suspicious /	Android-Architecture-Components-Toy-App:		MAIN	{startLine=131.0, endLine=111.0, startOffset=35.0, endOffset=41.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		100.0		java:S1596	Android-Architecture-Components-Toy-App	2min		"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Android-Architecture-Components-Toy-App:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		107.0		java:S1161	Android-Architecture-Components-Toy-App	5min		"""@Override"" should be used on overriding and implementing methods"	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / 	Android-Architecture-Components-Toy-App:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		100.0		java:S1596	Android-Architecture-Components-Toy-App	2min		"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Android-Architecture-Components-Toy-App:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		107.0		java:S1161	Android-Architecture-Components-Toy-App	5min		"""@Override"" should be used on overriding and implementing methods"	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / 	Android-Architecture-Components-Toy-App:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
