severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		35.0		java:S453	Android-Basics-Nanodegree-by-Google---Pets-App	10min		Standard functional interfaces should not be redefined	2023-03-07T02:54:15+0000	CODE_SMELL	true	java8 /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MAJOR	2023-03-07T02:54:15+0000		48.0		java:S6019	Android-Basics-Nanodegree-by-Google---Pets-App	10min		Reluctant quantifiers in regular expressions should be followed by an expression that can't match the empty string	2023-03-07T02:54:15+0000	CODE_SMELL	false	pitfall /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Android-Basics-Nanodegree-by-Google---Pets-App	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		27.0		java:S3457	Android-Basics-Nanodegree-by-Google---Pets-App	10min		Printf-style format strings should be used correctly	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Android-Basics-Nanodegree-by-Google---Pets-App	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		17.0		java:S3014	Android-Basics-Nanodegree-by-Google---Pets-App	45min		"""ThreadGroup"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / design / suspicious /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	45min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		25.0		java:S1948	Android-Basics-Nanodegree-by-Google---Pets-App	30min		"Make ""x"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Android-Basics-Nanodegree-by-Google---Pets-App	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		43.0		java:S106	Android-Basics-Nanodegree-by-Google---Pets-App	10min		Replace this use of System.out or System.err by a logger.	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=43.0, endLine=43.0, startOffset=12.0, endOffset=22.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Android-Basics-Nanodegree-by-Google---Pets-App	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		27.0		java:S3457	Android-Basics-Nanodegree-by-Google---Pets-App	10min		Printf-style format strings should be used correctly	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Android-Basics-Nanodegree-by-Google---Pets-App	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Android-Basics-Nanodegree-by-Google---Pets-App	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		27.0		java:S3457	Android-Basics-Nanodegree-by-Google---Pets-App	10min		Printf-style format strings should be used correctly	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Android-Basics-Nanodegree-by-Google---Pets-App	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Android-Basics-Nanodegree-by-Google---Pets-App:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
