severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		2.0		java:S3067	Android-Design-for-Developers---Code-Samples:	5min		"""getClass"" should not be used for synchronization"	2023-03-07T02:54:15+0000	BUG	false	bad-practice /	Android-Design-for-Developers---Code-Samples:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		3.0		java:S1849	Android-Design-for-Developers---Code-Samples:	20min		"""Iterator.hasNext()"" should not call ""Iterator.next()"""	2023-03-07T02:54:15+0000	BUG	true	pitfall /	Android-Design-for-Developers---Code-Samples:		MAIN	{startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=27.0}	20min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S2272	Android-Design-for-Developers---Code-Samples:	5min		"""Iterator.next()"" methods should throw ""NoSuchElementException"""	2023-03-07T02:54:15+0000	BUG	false	cert / design / suspicious /	Android-Design-for-Developers---Code-Samples:		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		6.0		java:S2789	Android-Design-for-Developers---Code-Samples:	15min		"""null"" should not be used with ""Optional"""	2023-03-07T02:54:15+0000	BUG	true	clumsy / 	Android-Design-for-Developers---Code-Samples:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S2677	Android-Design-for-Developers---Code-Samples:	5min		"""read"" and ""readLine"" return values should be used"	2023-03-07T02:54:15+0000	BUG	false	convention / 	Android-Design-for-Developers---Code-Samples:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		8.0		java:S1217	Android-Design-for-Developers---Code-Samples:	20min		"""Thread.run()"" should not be called directly"	2023-03-07T02:54:15+0000	BUG	true	cwe / serialization / 	Android-Design-for-Developers---Code-Samples:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	20min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		34.0		java:S2225	Android-Design-for-Developers---Code-Samples:	5min		"""toString()"" and ""clone()"" methods should not return null"	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Android-Design-for-Developers---Code-Samples:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		3.0		java:S3046	Android-Design-for-Developers---Code-Samples:	30min		"""wait"" should not be called when multiple locks are held"	2023-03-07T02:54:15+0000	BUG	false	confusing / 	Android-Design-for-Developers---Code-Samples:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=26.0}	30min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		18.0		java:S2134	Android-Design-for-Developers---Code-Samples:	5min		"Classes extending java.lang.Thread should override the ""run"" method"	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Android-Design-for-Developers---Code-Samples:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		19.0		java:S2583	Android-Design-for-Developers---Code-Samples:	15min		Conditionally executed code should be reachable	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Android-Design-for-Developers---Code-Samples:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		191.0		java:S3065	Android-Design-for-Developers---Code-Samples:	10min		Min and max used in combination should not always return the same value	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Android-Design-for-Developers---Code-Samples:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
