severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-07T02:54:15+0000		5.0		java:S126	Android-Development-for-Beginners-App-:-Just-Java	5min		"""if ... else if"" constructs should end with ""else"" clauses"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / pitfall / serialization /	Android-Development-for-Beginners-App-:-Just-Java:		MAIN	{startLine=34.0, endLine=34.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		9.0		java:S3937	Android-Development-for-Beginners-App-:-Just-Java	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	Android-Development-for-Beginners-App-:-Just-Java:		MAIN	{startLine=38.0, endLine=38.0, startOffset=22.0, endOffset=36.0}	10min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S113	Android-Development-for-Beginners-App-:-Just-Java	1min		Files should contain an empty newline at the end	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Android-Development-for-Beginners-App-:-Just-Java:		MAIN	{startLine=46.0, endLine=46.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
MAJOR	2023-03-07T02:54:15+0000		13.0		java:S3824	Android-Development-for-Beginners-App-:-Just-Java	10min		"""Map.get"" and value test should be replaced with single method call"	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / cwe /	Android-Development-for-Beginners-App-:-Just-Java:		MAIN	{startLine=47.0, endLine=47.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		5.0		java:S126	Android-Development-for-Beginners-App-:-Just-Java	5min		"""if ... else if"" constructs should end with ""else"" clauses"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / pitfall / serialization /	Android-Development-for-Beginners-App-:-Just-Java:		MAIN	{startLine=34.0, endLine=34.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		9.0		java:S3937	Android-Development-for-Beginners-App-:-Just-Java	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	Android-Development-for-Beginners-App-:-Just-Java:		MAIN	{startLine=38.0, endLine=38.0, startOffset=22.0, endOffset=36.0}	10min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S113	Android-Development-for-Beginners-App-:-Just-Java	1min		Files should contain an empty newline at the end	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Android-Development-for-Beginners-App-:-Just-Java:		MAIN	{startLine=46.0, endLine=46.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
MAJOR	2023-03-07T02:54:15+0000		13.0		java:S3824	Android-Development-for-Beginners-App-:-Just-Java	10min		"""Map.get"" and value test should be replaced with single method call"	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / cwe /	Android-Development-for-Beginners-App-:-Just-Java:		MAIN	{startLine=47.0, endLine=47.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		28.0		java:S1541	Android-Development-for-Beginners-App-:-Just-Java	20min		Methods should not be too complex	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / confusing / redundant /	Android-Development-for-Beginners-App-:-Just-Java:		MAIN	{startLine=11.0, endLine=11.0, startOffset=36.0, endOffset=85.0}	20min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		39.0		java:S1128	Android-Development-for-Beginners-App-:-Just-Java	2min		Unnecessary imports should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Android-Development-for-Beginners-App-:-Just-Java:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=24.0}	2min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
