severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-07T02:54:15+0000		16.0		java:S1206	Android-Nanodegree---XYZ-Reader-Starter-Code	15min		"""equals(Object obj)"" and ""hashCode()"" should be overridden in pairs"	2023-03-07T02:54:15+0000	BUG	false	bad-practice /	Android-Nanodegree---XYZ-Reader-Starter-Code:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		2.0		java:S3067	Android-Nanodegree---XYZ-Reader-Starter-Code	5min		"""getClass"" should not be used for synchronization"	2023-03-07T02:54:15+0000	BUG	false	bad-practice /	Android-Nanodegree---XYZ-Reader-Starter-Code:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		3.0		java:S1849	Android-Nanodegree---XYZ-Reader-Starter-Code	20min		"""Iterator.hasNext()"" should not call ""Iterator.next()"""	2023-03-07T02:54:15+0000	BUG	true	pitfall /	Android-Nanodegree---XYZ-Reader-Starter-Code:		MAIN	{startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=27.0}	20min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S2272	Android-Nanodegree---XYZ-Reader-Starter-Code	5min		"""Iterator.next()"" methods should throw ""NoSuchElementException"""	2023-03-07T02:54:15+0000	BUG	false	cert / design / suspicious /	Android-Nanodegree---XYZ-Reader-Starter-Code:		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		6.0		java:S2789	Android-Nanodegree---XYZ-Reader-Starter-Code	15min		"""null"" should not be used with ""Optional"""	2023-03-07T02:54:15+0000	BUG	true	clumsy / 	Android-Nanodegree---XYZ-Reader-Starter-Code:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S2677	Android-Nanodegree---XYZ-Reader-Starter-Code	5min		"""read"" and ""readLine"" return values should be used"	2023-03-07T02:54:15+0000	BUG	false	convention / 	Android-Nanodegree---XYZ-Reader-Starter-Code:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		8.0		java:S1217	Android-Nanodegree---XYZ-Reader-Starter-Code	20min		"""Thread.run()"" should not be called directly"	2023-03-07T02:54:15+0000	BUG	true	cwe / serialization / 	Android-Nanodegree---XYZ-Reader-Starter-Code:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	20min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		16.0		java:S1206	Android-Nanodegree---XYZ-Reader-Starter-Code	15min		"""equals(Object obj)"" and ""hashCode()"" should be overridden in pairs"	2023-03-07T02:54:15+0000	BUG	false	bad-practice /	Android-Nanodegree---XYZ-Reader-Starter-Code:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		2.0		java:S3067	Android-Nanodegree---XYZ-Reader-Starter-Code	5min		"""getClass"" should not be used for synchronization"	2023-03-07T02:54:15+0000	BUG	false	bad-practice /	Android-Nanodegree---XYZ-Reader-Starter-Code:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MAJOR	2023-03-07T02:54:15+0000		3.0		java:S1849	Android-Nanodegree---XYZ-Reader-Starter-Code	20min		"""Iterator.hasNext()"" should not call ""Iterator.next()"""	2023-03-07T02:54:15+0000	BUG	true	pitfall /	Android-Nanodegree---XYZ-Reader-Starter-Code:		MAIN	{startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=27.0}	20min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
