severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-07T02:54:15+0000		119.0		java:S1659	Android-Operating-System---Content-Provider	2min		"Declare ""ai_j"" on a separate line."	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / convention / 	Android-Operating-System---Content-Provider:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		122.0		java:S2140	Android-Operating-System---Content-Provider	5min		"Use ""java.util.Random.nextInt()"" instead."	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / 	Android-Operating-System---Content-Provider:		MAIN	{startLine=122.0, endLine=122.0, startOffset=30.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MINOR	2023-03-07T02:54:15+0000		123.0		java:S2140	Android-Operating-System---Content-Provider	5min		"Use ""java.util.Random.nextInt()"" instead."	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / 	Android-Operating-System---Content-Provider:		MAIN	{startLine=123.0, endLine=123.0, startOffset=30.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
MINOR	2023-03-07T02:54:15+0000		139.0		java:S3626	Android-Operating-System---Content-Provider	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Android-Operating-System---Content-Provider:		MAIN	{startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=15.0}	1min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S1659	Android-Operating-System---Content-Provider	2min		"Declare ""ai_j"" on a separate line."	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / convention / 	Android-Operating-System---Content-Provider:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		122.0		java:S2140	Android-Operating-System---Content-Provider	5min		"Use ""java.util.Random.nextInt()"" instead."	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / 	Android-Operating-System---Content-Provider:		MAIN	{startLine=122.0, endLine=122.0, startOffset=30.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MINOR	2023-03-07T02:54:15+0000		123.0		java:S2140	Android-Operating-System---Content-Provider	5min		"Use ""java.util.Random.nextInt()"" instead."	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / 	Android-Operating-System---Content-Provider:		MAIN	{startLine=123.0, endLine=123.0, startOffset=30.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
MINOR	2023-03-07T02:54:15+0000		139.0		java:S3626	Android-Operating-System---Content-Provider	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Android-Operating-System---Content-Provider:		MAIN	{startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=15.0}	1min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		152.0		java:S1488	Android-Operating-System---Content-Provider	2min		"Immediately return this expression instead of assigning it to the temporary variable ""result""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	clumsy / 	Android-Operating-System---Content-Provider:		MAIN	{startLine=152.0, endLine=152.0, startOffset=24.0, endOffset=30.0}	2min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MINOR	2023-03-07T02:54:15+0000		161.0		java:S1197	Android-Operating-System---Content-Provider	5min		Move the array designators [] to the type.	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Android-Operating-System---Content-Provider:		MAIN	{startLine=161.0, endLine=161.0, startOffset=35.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
