severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-07T02:54:15+0000		139.0		java:S3626	Building-Scalable-Apps	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Building-Scalable-Apps:		MAIN	{startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=15.0}	1min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		152.0		java:S1488	Building-Scalable-Apps	2min		"Immediately return this expression instead of assigning it to the temporary variable ""result""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	clumsy / 	Building-Scalable-Apps:		MAIN	{startLine=152.0, endLine=152.0, startOffset=24.0, endOffset=30.0}	2min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MINOR	2023-03-07T02:54:15+0000		161.0		java:S1197	Building-Scalable-Apps	5min		Move the array designators [] to the type.	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Building-Scalable-Apps:		MAIN	{startLine=161.0, endLine=161.0, startOffset=35.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	Building-Scalable-Apps	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Building-Scalable-Apps:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		24.0		java:S1948	Building-Scalable-Apps	30min		"Make ""grid"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Building-Scalable-Apps:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	30min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
MINOR	2023-03-07T02:54:15+0000		139.0		java:S3626	Building-Scalable-Apps	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Building-Scalable-Apps:		MAIN	{startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=15.0}	1min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		152.0		java:S1488	Building-Scalable-Apps	2min		"Immediately return this expression instead of assigning it to the temporary variable ""result""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	clumsy / 	Building-Scalable-Apps:		MAIN	{startLine=152.0, endLine=152.0, startOffset=24.0, endOffset=30.0}	2min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MINOR	2023-03-07T02:54:15+0000		161.0		java:S1197	Building-Scalable-Apps	5min		Move the array designators [] to the type.	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Building-Scalable-Apps:		MAIN	{startLine=161.0, endLine=161.0, startOffset=35.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	Building-Scalable-Apps	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Building-Scalable-Apps:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		24.0		java:S1948	Building-Scalable-Apps	30min		"Make ""grid"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Building-Scalable-Apps:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	30min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
MINOR	2023-03-07T02:54:15+0000		161.0		java:S1197	Building-Scalable-Apps	5min		Move the array designators [] to the type.	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Building-Scalable-Apps:		MAIN	{startLine=161.0, endLine=161.0, startOffset=35.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	Building-Scalable-Apps	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Building-Scalable-Apps:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MAJOR	2023-03-07T02:54:15+0000		65.0		java:S1820	Building-Scalable-Apps	1h		Classes should not have too many fields	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice /	Building-Scalable-Apps:		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=105.0}	1h	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		65.0		java:S1820	Building-Scalable-Apps	1h		Classes should not have too many fields	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice /	Building-Scalable-Apps:		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=105.0}	1h	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		65.0		java:S1820	Building-Scalable-Apps	1h		Classes should not have too many fields	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice /	Building-Scalable-Apps:		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=105.0}	1h	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
BLOCKER	2023-03-07T02:54:15+0000		52.0		java:S2115	Building-Scalable-Apps	45min		A secure password should be used when connecting to a database	2023-03-07T02:54:15+0000	VULNERABILITY	true	cwe / owasp-a2 / spring	Building-Scalable-Apps:		MAIN	{startLine=11.0, endLine=11.0, startOffset=36.0, endOffset=85.0}	45min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	Building-Scalable-Apps	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Building-Scalable-Apps:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		24.0		java:S1948	Building-Scalable-Apps	30min		"Make ""grid"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Building-Scalable-Apps:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	30min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
