severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-07T02:54:15+0000		119.0		java:S117	Custom-ArrayAdapter-App	2min		Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Custom-ArrayAdapter-App:		MAIN	{startLine=119.0, endLine=119.0, startOffset=16.0, endOffset=20.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		92.0		java:S1698	Custom-ArrayAdapter-App	2min		"""=="" and ""!="" should not be used when ""equals"" is overridden"	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / cwe / suspicious /	Custom-ArrayAdapter-App:		MAIN	{startLine=131.0, endLine=111.0, startOffset=35.0, endOffset=41.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		100.0		java:S1596	Custom-ArrayAdapter-App	2min		"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Custom-ArrayAdapter-App:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		46.0		java:S1939	Custom-ArrayAdapter-App	1min		Extensions and implementations should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Custom-ArrayAdapter-App:		MAIN	{startLine=16.0, endLine=16.0, startOffset=44.0, endOffset=55.0}	1min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
INFO	2023-03-07T02:54:15+0000		47.0		java:S1133	Custom-ArrayAdapter-App	2min		Deprecated code should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / serialization / 	Custom-ArrayAdapter-App:		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	2min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		11.0		java:S2111	Custom-ArrayAdapter-App	5min		"""BigDecimal(double)"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Custom-ArrayAdapter-App:		MAIN	{startLine=17.0, endLine=17.0, startOffset=61.0, endOffset=81.0}	5min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		52.0		java:S2479	Custom-ArrayAdapter-App	10min		Whitespace and control characters in literals should be explicit	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / unused /	Custom-ArrayAdapter-App:		MAIN	{startLine=9.0, endLine=9.0, startOffset=4.0, endOffset=24.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S117	Custom-ArrayAdapter-App	2min		Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Custom-ArrayAdapter-App:		MAIN	{startLine=119.0, endLine=119.0, startOffset=16.0, endOffset=20.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		92.0		java:S1698	Custom-ArrayAdapter-App	2min		"""=="" and ""!="" should not be used when ""equals"" is overridden"	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / cwe / suspicious /	Custom-ArrayAdapter-App:		MAIN	{startLine=131.0, endLine=111.0, startOffset=35.0, endOffset=41.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		100.0		java:S1596	Custom-ArrayAdapter-App	2min		"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Custom-ArrayAdapter-App:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
