severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		90.0		java:S4288	Real-Time-Analytics-with-Storm	2min		Spring components should use constructor injection	2023-03-07T02:54:15+0000	CODE_SMELL	false	design / spring /	Real-Time-Analytics-with-Storm:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		103.0		java:S122	Real-Time-Analytics-with-Storm	1min		Statements should be on separate lines	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Real-Time-Analytics-with-Storm:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		24.0		java:S108	Real-Time-Analytics-with-Storm	5min		Nested blocks of code should not be left empty	2023-03-07T02:54:15+0000	CODE_SMELL	false	suspicious /	Real-Time-Analytics-with-Storm:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		90.0		java:S4288	Real-Time-Analytics-with-Storm	2min		Spring components should use constructor injection	2023-03-07T02:54:15+0000	CODE_SMELL	false	design / spring /	Real-Time-Analytics-with-Storm:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		103.0		java:S122	Real-Time-Analytics-with-Storm	1min		Statements should be on separate lines	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Real-Time-Analytics-with-Storm:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		90.0		java:S4288	Real-Time-Analytics-with-Storm	2min		Spring components should use constructor injection	2023-03-07T02:54:15+0000	CODE_SMELL	false	design / spring /	Real-Time-Analytics-with-Storm:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		103.0		java:S122	Real-Time-Analytics-with-Storm	1min		Statements should be on separate lines	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Real-Time-Analytics-with-Storm:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S113	Real-Time-Analytics-with-Storm	1min		Files should contain an empty newline at the end	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Real-Time-Analytics-with-Storm:		MAIN	{startLine=46.0, endLine=46.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S2272	Real-Time-Analytics-with-Storm	5min		"""Iterator.next()"" methods should throw ""NoSuchElementException"""	2023-03-07T02:54:15+0000	BUG	false	cert / design / suspicious /	Real-Time-Analytics-with-Storm:		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		6.0		java:S2789	Real-Time-Analytics-with-Storm	15min		"""null"" should not be used with ""Optional"""	2023-03-07T02:54:15+0000	BUG	true	clumsy / 	Real-Time-Analytics-with-Storm:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
