severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T00:46:52+0000		11.0		python:S1172	API-Development-and-Documentation-Final-Project	5min		"Remove the unused function parameter ""test_config""."	2023-03-06T00:46:52+0000	CODE_SMELL	false	"unused / "	API-Development-and-Documentation-Final-Project:cd0037-API-Development-and-Documentation-project-main/backend/flaskr/__init__.py		MAIN	{startLine=11.0, endLine=11.0, startOffset=15.0, endOffset=31.0}	5min	AYa0Yu8T1m6JgciZ2W-s	bb6a614ed54b43ec66db9e8cca85678b	OPEN
INFO	2023-03-06T00:46:52+0000		19.0		javascript:S1135	API-Development-and-Documentation-Final-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:46:52+0000	CODE_SMELL	false	"cwe / "	API-Development-and-Documentation-Final-Project:cd0037-API-Development-and-Documentation-project-main/frontend/src/components/FormView.js		MAIN	{startLine=19.0, endLine=19.0, startOffset=28.0, endOffset=32.0}	0min	AYa0Yu8a1m6JgciZ2W_A	f0e4f37675676d62521704290ae9b9d4	OPEN
MINOR	2023-03-06T00:46:52+0000		23.0		javascript:S3626	API-Development-and-Documentation-Final-Project	1min		Remove this redundant jump.	2023-03-06T00:46:52+0000	CODE_SMELL	true	"clumsy / redundant / "	API-Development-and-Documentation-Final-Project:cd0037-API-Development-and-Documentation-project-main/frontend/src/components/FormView.js		MAIN	{startLine=23.0, endLine=23.0, startOffset=8.0, endOffset=15.0}	1min	AYa0Yu8a1m6JgciZ2W_B	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-06T00:46:52+0000		27.0		javascript:S3626	API-Development-and-Documentation-Final-Project	1min		Remove this redundant jump.	2023-03-06T00:46:52+0000	CODE_SMELL	true	"clumsy / redundant / "	API-Development-and-Documentation-Final-Project:cd0037-API-Development-and-Documentation-project-main/frontend/src/components/FormView.js		MAIN	{startLine=27.0, endLine=27.0, startOffset=8.0, endOffset=15.0}	1min	AYa0Yu8a1m6JgciZ2W_C	505b97969baa28c3f607a38ee02f4f2d	OPEN
INFO	2023-03-06T00:46:52+0000		35.0		javascript:S1135	API-Development-and-Documentation-Final-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:46:52+0000	CODE_SMELL	false	"cwe / "	API-Development-and-Documentation-Final-Project:cd0037-API-Development-and-Documentation-project-main/frontend/src/components/FormView.js		MAIN	{startLine=35.0, endLine=35.0, startOffset=27.0, endOffset=31.0}	0min	AYa0Yu8a1m6JgciZ2W_D	2fa33a69356171983640b31d0044077c	OPEN
MINOR	2023-03-06T00:46:52+0000		51.0		javascript:S3626	API-Development-and-Documentation-Final-Project	1min		Remove this redundant jump.	2023-03-06T00:46:52+0000	CODE_SMELL	true	"clumsy / redundant / "	API-Development-and-Documentation-Final-Project:cd0037-API-Development-and-Documentation-project-main/frontend/src/components/FormView.js		MAIN	{startLine=51.0, endLine=51.0, startOffset=8.0, endOffset=15.0}	1min	AYa0Yu8a1m6JgciZ2W_E	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-06T00:46:52+0000		55.0		javascript:S3626	API-Development-and-Documentation-Final-Project	1min		Remove this redundant jump.	2023-03-06T00:46:52+0000	CODE_SMELL	true	"clumsy / redundant / "	API-Development-and-Documentation-Final-Project:cd0037-API-Development-and-Documentation-project-main/frontend/src/components/FormView.js		MAIN	{startLine=55.0, endLine=55.0, startOffset=8.0, endOffset=15.0}	1min	AYa0Yu8a1m6JgciZ2W_F	505b97969baa28c3f607a38ee02f4f2d	OPEN
INFO	2023-03-06T00:46:52+0000		25.0		javascript:S1135	API-Development-and-Documentation-Final-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:46:52+0000	CODE_SMELL	false	"cwe / "	API-Development-and-Documentation-Final-Project:cd0037-API-Development-and-Documentation-project-main/frontend/src/components/QuestionView.js		MAIN	{startLine=25.0, endLine=25.0, startOffset=51.0, endOffset=55.0}	0min	AYa0Yu8W1m6JgciZ2W-u	f591ec8cabd78b52bc64ae88cd264b50	OPEN
MINOR	2023-03-06T00:46:52+0000		34.0		javascript:S3626	API-Development-and-Documentation-Final-Project	1min		Remove this redundant jump.	2023-03-06T00:46:52+0000	CODE_SMELL	true	"clumsy / redundant / "	API-Development-and-Documentation-Final-Project:cd0037-API-Development-and-Documentation-project-main/frontend/src/components/QuestionView.js		MAIN	{startLine=34.0, endLine=34.0, startOffset=8.0, endOffset=15.0}	1min	AYa0Yu8W1m6JgciZ2W-v	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-06T00:46:52+0000		38.0		javascript:S3626	API-Development-and-Documentation-Final-Project	1min		Remove this redundant jump.	2023-03-06T00:46:52+0000	CODE_SMELL	true	"clumsy / redundant / "	API-Development-and-Documentation-Final-Project:cd0037-API-Development-and-Documentation-project-main/frontend/src/components/QuestionView.js		MAIN	{startLine=38.0, endLine=38.0, startOffset=8.0, endOffset=15.0}	1min	AYa0Yu8W1m6JgciZ2W-w	505b97969baa28c3f607a38ee02f4f2d	OPEN
