severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:24:33+0000		21.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=21.0, endLine=21.0, startOffset=0.0, endOffset=20.0}	5min	AYa0hWWr1m6JgciZ29sL	74171c4071627633a8fc26d955e5186d	OPEN
CRITICAL	2023-03-06T01:24:33+0000		155.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=155.0, endLine=155.0, startOffset=6.0, endOffset=14.0}	5min	AYa0hWWr1m6JgciZ29sM	e629a2eb4e6149c6e7af8e583287f2a4	OPEN
CRITICAL	2023-03-06T01:24:33+0000		160.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=160.0, endLine=160.0, startOffset=6.0, endOffset=16.0}	5min	AYa0hWWr1m6JgciZ29sN	f766820ad45189cb116d35039a1121ba	OPEN
CRITICAL	2023-03-06T01:24:33+0000		166.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=166.0, endLine=166.0, startOffset=6.0, endOffset=16.0}	5min	AYa0hWWr1m6JgciZ29sO	a754e710a78ec24f47565f5094dc2d18	OPEN
CRITICAL	2023-03-06T01:24:33+0000		172.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=172.0, endLine=172.0, startOffset=6.0, endOffset=15.0}	5min	AYa0hWWr1m6JgciZ29sP	2db7fc06354605072de083fb40daac7b	OPEN
CRITICAL	2023-03-06T01:24:33+0000		177.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=177.0, endLine=177.0, startOffset=6.0, endOffset=15.0}	5min	AYa0hWWr1m6JgciZ29sQ	9971cc195ac937382fb9a902ef93c13f	OPEN
CRITICAL	2023-03-06T01:24:33+0000		183.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=183.0, endLine=183.0, startOffset=6.0, endOffset=21.0}	5min	AYa0hWWr1m6JgciZ29sR	365d8e338c206b559fe3aad5344efa15	OPEN
CRITICAL	2023-03-06T01:24:33+0000		188.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=188.0, endLine=188.0, startOffset=6.0, endOffset=19.0}	5min	AYa0hWWr1m6JgciZ29sS	584494e27c8db13218c5b6c8eba9d3bc	OPEN
CRITICAL	2023-03-06T01:24:33+0000		196.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=196.0, endLine=196.0, startOffset=6.0, endOffset=16.0}	5min	AYa0hWWr1m6JgciZ29sT	d271d61d9fc8a7ac1fa1104a4e6a663e	OPEN
CRITICAL	2023-03-06T01:24:33+0000		203.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=203.0, endLine=203.0, startOffset=6.0, endOffset=20.0}	5min	AYa0hWWr1m6JgciZ29sU	6c8942e9062311bfc8118ffa352c3516	OPEN
MAJOR	2023-03-06T01:24:33+0000		207.0		javascript:S1871	Browser-Rendering-Optimization	10min		This case's code block is the same as the block for the case on line 202.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"design / suspicious / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js	"{locations=[{component=Browser-Rendering-Optimization:pizza-perf-master/js/main.js, textRange={startLine=202.0, endLine=206.0, startOffset=4.0, endOffset=24.0}, msg=Original, msgFormattings=[]}]} / "	MAIN	{startLine=207.0, endLine=211.0, startOffset=4.0, endOffset=24.0}	10min	AYa0hWWr1m6JgciZ29sV	de735fadc4b1b96d6039f920cc08b891	OPEN
CRITICAL	2023-03-06T01:24:33+0000		208.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=208.0, endLine=208.0, startOffset=6.0, endOffset=20.0}	5min	AYa0hWWr1m6JgciZ29sW	6c8942e9062311bfc8118ffa352c3516	OPEN
MAJOR	2023-03-06T01:24:33+0000		208.0		javascript:S2814	Browser-Rendering-Optimization	20min		'scientific' is already defined.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"confusing / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=208.0, endLine=208.0, startOffset=10.0, endOffset=20.0}	20min	AYa0hWWr1m6JgciZ29sX	6c8942e9062311bfc8118ffa352c3516	OPEN
CRITICAL	2023-03-06T01:24:33+0000		219.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=219.0, endLine=219.0, startOffset=6.0, endOffset=17.0}	5min	AYa0hWWr1m6JgciZ29sY	5258defe545a01f934ae40066cf3f837	OPEN
CRITICAL	2023-03-06T01:24:33+0000		228.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=228.0, endLine=228.0, startOffset=6.0, endOffset=21.0}	5min	AYa0hWWr1m6JgciZ29sZ	00ade394040bde3e9188feae2738f974	OPEN
CRITICAL	2023-03-06T01:24:33+0000		234.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=234.0, endLine=234.0, startOffset=6.0, endOffset=17.0}	5min	AYa0hWWr1m6JgciZ29sa	dbf2307fe1a559a50d4e3b2bd7dd7ee7	OPEN
CRITICAL	2023-03-06T01:24:33+0000		239.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=239.0, endLine=239.0, startOffset=6.0, endOffset=15.0}	5min	AYa0hWWr1m6JgciZ29sb	55a320cfd8b01f4b8837938a94eb0abc	OPEN
CRITICAL	2023-03-06T01:24:33+0000		245.0		javascript:S3504	Browser-Rendering-Optimization	5min		Unexpected var, use let or const instead.	2023-03-06T01:24:33+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Browser-Rendering-Optimization:pizza-perf-master/js/main.js		MAIN	{startLine=245.0, endLine=245.0, startOffset=6.0, endOffset=16.0}	5min	AYa0hWWr1m6JgciZ29sc	dbfbf0dfde79e1ca8367b5e1ff1bb540	OPEN
