severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-06T00:52:18+0000		1.0		javascript:S1128	Deploy-Application-with-AWS-Lambda---Serveless-TODO	2min		Remove this unused import of 'Axios'.	2023-03-06T00:52:18+0000	CODE_SMELL	true	"es2015 / unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/auth/auth0Authorizer.mjs		MAIN	{startLine=1.0, endLine=1.0, startOffset=7.0, endOffset=12.0}	2min	AYa0Z-wm1m6JgciZ2ctK	c32cf34ecf44b9e847623de389d530b4	OPEN
MINOR	2023-03-06T00:52:18+0000		47.0		javascript:S1481	Deploy-Application-with-AWS-Lambda---Serveless-TODO	5min		Remove the declaration of the unused 'jwt' variable.	2023-03-06T00:52:18+0000	CODE_SMELL	false	"unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/auth/auth0Authorizer.mjs		MAIN	{startLine=47.0, endLine=47.0, startOffset=8.0, endOffset=11.0}	5min	AYa0Z-wm1m6JgciZ2ctL	069713aca7643c92a059572931d4e224	OPEN
MAJOR	2023-03-06T00:52:18+0000		47.0		javascript:S1854	Deploy-Application-with-AWS-Lambda---Serveless-TODO	15min		"Remove this useless assignment to variable ""jwt""."	2023-03-06T00:52:18+0000	CODE_SMELL	false	"cwe / unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/auth/auth0Authorizer.mjs		MAIN	{startLine=47.0, endLine=47.0, startOffset=8.0, endOffset=11.0}	15min	AYa0Z-wm1m6JgciZ2ctM	069713aca7643c92a059572931d4e224	OPEN
INFO	2023-03-06T00:52:18+0000		49.0		javascript:S1135	Deploy-Application-with-AWS-Lambda---Serveless-TODO	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:52:18+0000	CODE_SMELL	false	"cwe / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/auth/auth0Authorizer.mjs		MAIN	{startLine=49.0, endLine=49.0, startOffset=5.0, endOffset=9.0}	0min	AYa0Z-wm1m6JgciZ2ctN	5482e7f934c1fe4942ae027cc8b0ff42	OPEN
MINOR	2023-03-06T00:52:18+0000		3.0		javascript:S1481	Deploy-Application-with-AWS-Lambda---Serveless-TODO	5min		Remove the declaration of the unused 'newTodo' variable.	2023-03-06T00:52:18+0000	CODE_SMELL	false	"unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/createTodo.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=8.0, endOffset=15.0}	5min	AYa0Z-wg1m6JgciZ2cs8	35aed4a7e9a4c23daf05bc114c21809f	OPEN
MAJOR	2023-03-06T00:52:18+0000		3.0		javascript:S1854	Deploy-Application-with-AWS-Lambda---Serveless-TODO	15min		"Remove this useless assignment to variable ""newTodo""."	2023-03-06T00:52:18+0000	CODE_SMELL	false	"cwe / unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/createTodo.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=8.0, endOffset=15.0}	15min	AYa0Z-wg1m6JgciZ2cs9	35aed4a7e9a4c23daf05bc114c21809f	OPEN
INFO	2023-03-06T00:52:18+0000		5.0		javascript:S1135	Deploy-Application-with-AWS-Lambda---Serveless-TODO	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:52:18+0000	CODE_SMELL	false	"cwe / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/createTodo.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=5.0, endOffset=9.0}	0min	AYa0Z-wg1m6JgciZ2cs-	c34b416172d3ac7a8984cf360a5a6cc1	OPEN
MINOR	2023-03-06T00:52:18+0000		3.0		javascript:S1481	Deploy-Application-with-AWS-Lambda---Serveless-TODO	5min		Remove the declaration of the unused 'todoId' variable.	2023-03-06T00:52:18+0000	CODE_SMELL	false	"unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/deleteTodo.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=8.0, endOffset=14.0}	5min	AYa0Z-wk1m6JgciZ2ctH	09821855047e41485c8162c67dbaa4d4	OPEN
MAJOR	2023-03-06T00:52:18+0000		3.0		javascript:S1854	Deploy-Application-with-AWS-Lambda---Serveless-TODO	15min		"Remove this useless assignment to variable ""todoId""."	2023-03-06T00:52:18+0000	CODE_SMELL	false	"cwe / unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/deleteTodo.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=8.0, endOffset=14.0}	15min	AYa0Z-wk1m6JgciZ2ctI	09821855047e41485c8162c67dbaa4d4	OPEN
INFO	2023-03-06T00:52:18+0000		5.0		javascript:S1135	Deploy-Application-with-AWS-Lambda---Serveless-TODO	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:52:18+0000	CODE_SMELL	false	"cwe / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/deleteTodo.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=5.0, endOffset=9.0}	0min	AYa0Z-wk1m6JgciZ2ctJ	8451970b17d061622bda060d2ba9c3d0	OPEN
MINOR	2023-03-06T00:52:18+0000		2.0		javascript:S1481	Deploy-Application-with-AWS-Lambda---Serveless-TODO	5min		Remove the declaration of the unused 'todoId' variable.	2023-03-06T00:52:18+0000	CODE_SMELL	false	"unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/generateUploadUrl.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=8.0, endOffset=14.0}	5min	AYa0Z-wj1m6JgciZ2ctE	09821855047e41485c8162c67dbaa4d4	OPEN
MAJOR	2023-03-06T00:52:18+0000		2.0		javascript:S1854	Deploy-Application-with-AWS-Lambda---Serveless-TODO	15min		"Remove this useless assignment to variable ""todoId""."	2023-03-06T00:52:18+0000	CODE_SMELL	false	"cwe / unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/generateUploadUrl.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=8.0, endOffset=14.0}	15min	AYa0Z-wj1m6JgciZ2ctF	09821855047e41485c8162c67dbaa4d4	OPEN
INFO	2023-03-06T00:52:18+0000		4.0		javascript:S1135	Deploy-Application-with-AWS-Lambda---Serveless-TODO	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:52:18+0000	CODE_SMELL	false	"cwe / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/generateUploadUrl.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=5.0, endOffset=9.0}	0min	AYa0Z-wj1m6JgciZ2ctG	be7b057889453f2e64fced702050fb61	OPEN
INFO	2023-03-06T00:52:18+0000		2.0		javascript:S1135	Deploy-Application-with-AWS-Lambda---Serveless-TODO	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:52:18+0000	CODE_SMELL	false	"cwe / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/getTodos.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=5.0, endOffset=9.0}	0min	AYa0Z-wd1m6JgciZ2cs7	35f626cd66b1e596414e3062d8ed3533	OPEN
MINOR	2023-03-06T00:52:18+0000		2.0		javascript:S1481	Deploy-Application-with-AWS-Lambda---Serveless-TODO	5min		Remove the declaration of the unused 'todoId' variable.	2023-03-06T00:52:18+0000	CODE_SMELL	false	"unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/updateTodo.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=8.0, endOffset=14.0}	5min	AYa0Z-wh1m6JgciZ2cs_	09821855047e41485c8162c67dbaa4d4	OPEN
MAJOR	2023-03-06T00:52:18+0000		2.0		javascript:S1854	Deploy-Application-with-AWS-Lambda---Serveless-TODO	15min		"Remove this useless assignment to variable ""todoId""."	2023-03-06T00:52:18+0000	CODE_SMELL	false	"cwe / unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/updateTodo.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=8.0, endOffset=14.0}	15min	AYa0Z-wh1m6JgciZ2ctA	09821855047e41485c8162c67dbaa4d4	OPEN
MINOR	2023-03-06T00:52:18+0000		3.0		javascript:S1481	Deploy-Application-with-AWS-Lambda---Serveless-TODO	5min		Remove the declaration of the unused 'updatedTodo' variable.	2023-03-06T00:52:18+0000	CODE_SMELL	false	"unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/updateTodo.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=8.0, endOffset=19.0}	5min	AYa0Z-wh1m6JgciZ2ctB	76713e9f274aefb2716127d761efdead	OPEN
MAJOR	2023-03-06T00:52:18+0000		3.0		javascript:S1854	Deploy-Application-with-AWS-Lambda---Serveless-TODO	15min		"Remove this useless assignment to variable ""updatedTodo""."	2023-03-06T00:52:18+0000	CODE_SMELL	false	"cwe / unused / "	Deploy-Application-with-AWS-Lambda---Serveless-TODO:cd12101-Deploy-Application-with-AWS-Lambda-main/starter/backend/src/lambda/http/updateTodo.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=8.0, endOffset=19.0}	15min	AYa0Z-wh1m6JgciZ2ctC	76713e9f274aefb2716127d761efdead	OPEN
