severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-06T00:38:05+0000		2.0		javascript:S1128	Exercises-for-React-Native-Course	2min		Remove this unused import of 'FirstScreen'.	2023-03-06T00:38:05+0000	CODE_SMELL	true	"es2015 / unused / "	Exercises-for-React-Native-Course:cd0444-react-native-exercises-main/lesson-2-styling/exercises/solution/exercise-1-solution/App.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=7.0, endOffset=18.0}	2min	AYa0WxI-1m6JgciZ2Hv6	14f3b4d97f2c9f1c1271b869355f8859	OPEN
MINOR	2023-03-06T00:38:05+0000		1.0		javascript:S1128	Exercises-for-React-Native-Course	2min		Remove this unused import of 'View'.	2023-03-06T00:38:05+0000	CODE_SMELL	true	"es2015 / unused / "	Exercises-for-React-Native-Course:cd0444-react-native-exercises-main/lesson-2-styling/exercises/solution/exercise-1-solution/src/screens/WithExtraChallenge.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=29.0, endOffset=33.0}	2min	AYa0WxI_1m6JgciZ2Hv7	12ba9fa15dea68f32593330ec97650a7	OPEN
MINOR	2023-03-06T00:38:05+0000		3.0		javascript:S1128	Exercises-for-React-Native-Course	2min		Remove this unused import of 'WithExtraChallenge'.	2023-03-06T00:38:05+0000	CODE_SMELL	true	"es2015 / unused / "	Exercises-for-React-Native-Course:cd0444-react-native-exercises-main/lesson-2-styling/exercises/solution/exercise-2-solution/App.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=7.0, endOffset=25.0}	2min	AYa0WxJL1m6JgciZ2Hv-	bea02c20e49a10bae0245ef369e6f0c6	OPEN
MINOR	2023-03-06T00:38:05+0000		1.0		javascript:S1128	Exercises-for-React-Native-Course	2min		Remove this unused import of 'ScrollView'.	2023-03-06T00:38:05+0000	CODE_SMELL	true	"es2015 / unused / "	Exercises-for-React-Native-Course:cd0444-react-native-exercises-main/lesson-2-styling/exercises/solution/exercise-2-solution/src/screens/WithExtraChallenge.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=9.0, endOffset=19.0}	2min	AYa0WxJN1m6JgciZ2Hv_	12ba9fa15dea68f32593330ec97650a7	OPEN
MINOR	2023-03-06T00:38:05+0000		3.0		javascript:S1128	Exercises-for-React-Native-Course	2min		Remove this unused import of 'WithExtraChallenge'.	2023-03-06T00:38:05+0000	CODE_SMELL	true	"es2015 / unused / "	Exercises-for-React-Native-Course:cd0444-react-native-exercises-main/lesson-2-styling/exercises/solution/exercise-3-solution/App.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=7.0, endOffset=25.0}	2min	AYa0WxJK1m6JgciZ2Hv9	bdfc9185b58128585ea768366edb4898	OPEN
MAJOR	2023-03-06T00:38:05+0000		5.0		javascript:S125	Exercises-for-React-Native-Course	5min		Remove this commented out code.	2023-03-06T00:38:05+0000	CODE_SMELL	true	"unused / "	Exercises-for-React-Native-Course:cd0444-react-native-exercises-main/lesson-2-styling/exercises/solution/exercise-3-solution/src/screens/FontSizeSelect/styles.js		MAIN	{startLine=5.0, endLine=13.0, startOffset=0.0, endOffset=4.0}	5min	AYa0WxJH1m6JgciZ2Hv8	21d2e6028c53544677723ada6327b713	OPEN
MINOR	2023-03-06T00:38:05+0000		12.0		javascript:S1481	Exercises-for-React-Native-Course	5min		Remove the declaration of the unused 'whiteText' variable.	2023-03-06T00:38:05+0000	CODE_SMELL	false	"unused / "	Exercises-for-React-Native-Course:cd0444-react-native-exercises-main/lesson-2-styling/exercises/solution/exercise-4-solution/src/screens/Solution/styles.js		MAIN	{startLine=12.0, endLine=12.0, startOffset=9.0, endOffset=18.0}	5min	AYa0WxI81m6JgciZ2Hv4	e0a0340228a4287d89b9ffcffde91519	OPEN
MAJOR	2023-03-06T00:38:05+0000		12.0		javascript:S1854	Exercises-for-React-Native-Course	15min		"Remove this useless assignment to variable ""whiteText""."	2023-03-06T00:38:05+0000	CODE_SMELL	false	"cwe / unused / "	Exercises-for-React-Native-Course:cd0444-react-native-exercises-main/lesson-2-styling/exercises/solution/exercise-4-solution/src/screens/Solution/styles.js		MAIN	{startLine=12.0, endLine=12.0, startOffset=9.0, endOffset=18.0}	15min	AYa0WxI81m6JgciZ2Hv5	e0a0340228a4287d89b9ffcffde91519	OPEN
MINOR	2023-03-06T00:38:05+0000		2.0		javascript:S1128	Exercises-for-React-Native-Course	2min		Remove this unused import of 'Views'.	2023-03-06T00:38:05+0000	CODE_SMELL	true	"es2015 / unused / "	Exercises-for-React-Native-Course:cd0444-react-native-exercises-main/lesson-2-styling/video-examples/1-core-components/App.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=7.0, endOffset=12.0}	2min	AYa0WxJT1m6JgciZ2HwG	46ffa07867b73b072d2bf1f5618cb592	OPEN
MINOR	2023-03-06T00:38:05+0000		3.0		javascript:S1128	Exercises-for-React-Native-Course	2min		Remove this unused import of 'Buttons'.	2023-03-06T00:38:05+0000	CODE_SMELL	true	"es2015 / unused / "	Exercises-for-React-Native-Course:cd0444-react-native-exercises-main/lesson-2-styling/video-examples/1-core-components/App.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=7.0, endOffset=14.0}	2min	AYa0WxJU1m6JgciZ2HwH	76f352fecc20692deb578172ef5a4c35	OPEN
