severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:21:48+0000		9.0		javascript:S3504	Front-End-Frameworks	5min		Unexpected var, use let or const instead.	2023-03-06T01:21:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Frameworks:course-front-end-frameworks-master/lesson2/quizAddingEvents/start/app.js		MAIN	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=8.0}	5min	AYa0gvAf1m6JgciZ27hB	96d7c94dd9a8b06e96163003e0db1e4a	OPEN
CRITICAL	2023-03-06T01:21:48+0000		24.0		javascript:S3504	Front-End-Frameworks	5min		Unexpected var, use let or const instead.	2023-03-06T01:21:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Frameworks:course-front-end-frameworks-master/lesson2/quizBuildAnEventSystem/start/app.js		MAIN	{startLine=24.0, endLine=24.0, startOffset=0.0, endOffset=16.0}	5min	AYa0gvAn1m6JgciZ27hT	d686d5d2f5d50eb0253df74c67ee2bd8	OPEN
CRITICAL	2023-03-06T01:21:48+0000		38.0		javascript:S3504	Front-End-Frameworks	5min		Unexpected var, use let or const instead.	2023-03-06T01:21:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Frameworks:course-front-end-frameworks-master/lesson2/quizBuildAnEventSystem/start/app.js		MAIN	{startLine=38.0, endLine=38.0, startOffset=4.0, endOffset=23.0}	5min	AYa0gvAn1m6JgciZ27hU	c3ed24d7eca7b944fc16b46397df6b66	OPEN
CRITICAL	2023-03-06T01:21:48+0000		39.0		javascript:S3504	Front-End-Frameworks	5min		Unexpected var, use let or const instead.	2023-03-06T01:21:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Frameworks:course-front-end-frameworks-master/lesson2/quizBuildAnEventSystem/start/app.js		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=23.0}	5min	AYa0gvAn1m6JgciZ27hV	f601dc700d381ebb9e07b643c2064db6	OPEN
CRITICAL	2023-03-06T01:21:48+0000		40.0		javascript:S3504	Front-End-Frameworks	5min		Unexpected var, use let or const instead.	2023-03-06T01:21:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Frameworks:course-front-end-frameworks-master/lesson2/quizBuildAnEventSystem/start/app.js		MAIN	{startLine=40.0, endLine=40.0, startOffset=4.0, endOffset=9.0}	5min	AYa0gvAn1m6JgciZ27hW	54fad9dc842c69a944805224917152c1	OPEN
CRITICAL	2023-03-06T01:21:48+0000		71.0		javascript:S3504	Front-End-Frameworks	5min		Unexpected var, use let or const instead.	2023-03-06T01:21:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Frameworks:course-front-end-frameworks-master/lesson2/quizBuildAnEventSystem/start/app.js		MAIN	{startLine=71.0, endLine=71.0, startOffset=0.0, endOffset=17.0}	5min	AYa0gvAn1m6JgciZ27hX	bec11f77a8b42d8f91239243ec9f1407	OPEN
CRITICAL	2023-03-06T01:21:48+0000		72.0		javascript:S3504	Front-End-Frameworks	5min		Unexpected var, use let or const instead.	2023-03-06T01:21:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Frameworks:course-front-end-frameworks-master/lesson2/quizBuildAnEventSystem/start/app.js		MAIN	{startLine=72.0, endLine=72.0, startOffset=0.0, endOffset=11.0}	5min	AYa0gvAn1m6JgciZ27hY	8f80df7526237b4c2ce01e98b1aab5e5	OPEN
CRITICAL	2023-03-06T01:21:48+0000		2.0		javascript:S3504	Front-End-Frameworks	5min		Unexpected var, use let or const instead.	2023-03-06T01:21:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Frameworks:course-front-end-frameworks-master/lesson2/quizBuildAnEventSystem/start/unit_tests.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=4.0, endOffset=14.0}	5min	AYa0gvAl1m6JgciZ27hE	bfeb9186d63a7db4a8cb2cbd1ce69413	OPEN
CRITICAL	2023-03-06T01:21:48+0000		14.0		javascript:S3504	Front-End-Frameworks	5min		Unexpected var, use let or const instead.	2023-03-06T01:21:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Frameworks:course-front-end-frameworks-master/lesson2/quizBuildAnEventSystem/start/unit_tests.js		MAIN	{startLine=14.0, endLine=14.0, startOffset=12.0, endOffset=23.0}	5min	AYa0gvAl1m6JgciZ27hF	5206cd358475150a16ffb2717d8c5125	OPEN
CRITICAL	2023-03-06T01:21:48+0000		23.0		javascript:S3504	Front-End-Frameworks	5min		Unexpected var, use let or const instead.	2023-03-06T01:21:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Frameworks:course-front-end-frameworks-master/lesson2/quizBuildAnEventSystem/start/unit_tests.js		MAIN	{startLine=23.0, endLine=23.0, startOffset=12.0, endOffset=23.0}	5min	AYa0gvAl1m6JgciZ27hG	5206cd358475150a16ffb2717d8c5125	OPEN
