severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T00:43:33+0000		15.0		javascript:S3504	Front-End-Web-Developer-Nanodegree	5min		Unexpected var, use let or const instead.	2023-03-06T00:43:33+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Web-Developer-Nanodegree:frontend-nanodegree-resume-master/js/helper.js		MAIN	{startLine=15.0, endLine=15.0, startOffset=0.0, endOffset=18.0}	5min	AYa0X9pP1m6JgciZ2T5H	e16831bf32570329c6b7641c9fb2538b	OPEN
CRITICAL	2023-03-06T00:43:33+0000		16.0		javascript:S3504	Front-End-Web-Developer-Nanodegree	5min		Unexpected var, use let or const instead.	2023-03-06T00:43:33+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Web-Developer-Nanodegree:frontend-nanodegree-resume-master/js/helper.js		MAIN	{startLine=16.0, endLine=16.0, startOffset=0.0, endOffset=18.0}	5min	AYa0X9pP1m6JgciZ2T5I	02063780982038a7835c2deb303f32d9	OPEN
CRITICAL	2023-03-06T00:43:33+0000		18.0		javascript:S3504	Front-End-Web-Developer-Nanodegree	5min		Unexpected var, use let or const instead.	2023-03-06T00:43:33+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Web-Developer-Nanodegree:frontend-nanodegree-resume-master/js/helper.js		MAIN	{startLine=18.0, endLine=18.0, startOffset=0.0, endOffset=22.0}	5min	AYa0X9pP1m6JgciZ2T5J	de5eb0dfc1dbf657bb4572a31720905e	OPEN
CRITICAL	2023-03-06T00:43:33+0000		19.0		javascript:S3504	Front-End-Web-Developer-Nanodegree	5min		Unexpected var, use let or const instead.	2023-03-06T00:43:33+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Web-Developer-Nanodegree:frontend-nanodegree-resume-master/js/helper.js		MAIN	{startLine=19.0, endLine=19.0, startOffset=0.0, endOffset=14.0}	5min	AYa0X9pP1m6JgciZ2T5K	fd77b3f63c6a638e7667bc1db0bfea7b	OPEN
CRITICAL	2023-03-06T00:43:33+0000		20.0		javascript:S3504	Front-End-Web-Developer-Nanodegree	5min		Unexpected var, use let or const instead.	2023-03-06T00:43:33+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Web-Developer-Nanodegree:frontend-nanodegree-resume-master/js/helper.js		MAIN	{startLine=20.0, endLine=20.0, startOffset=0.0, endOffset=13.0}	5min	AYa0X9pP1m6JgciZ2T5L	7c6add5ad0e9bc21e4df1e23800c92a5	OPEN
CRITICAL	2023-03-06T00:43:33+0000		21.0		javascript:S3504	Front-End-Web-Developer-Nanodegree	5min		Unexpected var, use let or const instead.	2023-03-06T00:43:33+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Web-Developer-Nanodegree:frontend-nanodegree-resume-master/js/helper.js		MAIN	{startLine=21.0, endLine=21.0, startOffset=0.0, endOffset=15.0}	5min	AYa0X9pP1m6JgciZ2T5M	68f2d28cba10727b4fdc65a8fe89df77	OPEN
CRITICAL	2023-03-06T00:43:33+0000		22.0		javascript:S3504	Front-End-Web-Developer-Nanodegree	5min		Unexpected var, use let or const instead.	2023-03-06T00:43:33+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Web-Developer-Nanodegree:frontend-nanodegree-resume-master/js/helper.js		MAIN	{startLine=22.0, endLine=22.0, startOffset=0.0, endOffset=14.0}	5min	AYa0X9pP1m6JgciZ2T5N	6698620b73977ad3bd84542e873b968e	OPEN
CRITICAL	2023-03-06T00:43:33+0000		23.0		javascript:S3504	Front-End-Web-Developer-Nanodegree	5min		Unexpected var, use let or const instead.	2023-03-06T00:43:33+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Web-Developer-Nanodegree:frontend-nanodegree-resume-master/js/helper.js		MAIN	{startLine=23.0, endLine=23.0, startOffset=0.0, endOffset=12.0}	5min	AYa0X9pP1m6JgciZ2T5O	f21af93286693c769d9388230f0acf75	OPEN
CRITICAL	2023-03-06T00:43:33+0000		24.0		javascript:S3504	Front-End-Web-Developer-Nanodegree	5min		Unexpected var, use let or const instead.	2023-03-06T00:43:33+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Web-Developer-Nanodegree:frontend-nanodegree-resume-master/js/helper.js		MAIN	{startLine=24.0, endLine=24.0, startOffset=0.0, endOffset=16.0}	5min	AYa0X9pP1m6JgciZ2T5P	bfcd7b00ad7a3b65cc8116ede8a81b55	OPEN
CRITICAL	2023-03-06T00:43:33+0000		26.0		javascript:S3504	Front-End-Web-Developer-Nanodegree	5min		Unexpected var, use let or const instead.	2023-03-06T00:43:33+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Front-End-Web-Developer-Nanodegree:frontend-nanodegree-resume-master/js/helper.js		MAIN	{startLine=26.0, endLine=26.0, startOffset=0.0, endOffset=14.0}	5min	AYa0X9pP1m6JgciZ2T5Q	dc8aa48130ba297d302cbdbd3fefb316	OPEN
