severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T00:45:27+0000		1.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/server/node-server/mqtt.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=10.0}	5min	AYa0YaNo1m6JgciZ2WKW	12a709b3211bdbc7c529b30c1d340a76	OPEN
CRITICAL	2023-03-06T00:45:27+0000		2.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/server/node-server/mqtt.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=10.0}	5min	AYa0YaNo1m6JgciZ2WKX	64c3ea81b4acf37ac5683afe2ae51d9a	OPEN
CRITICAL	2023-03-06T00:45:27+0000		25.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/server/node-server/mqtt.js		MAIN	{startLine=25.0, endLine=25.0, startOffset=8.0, endOffset=19.0}	5min	AYa0YaNo1m6JgciZ2WKY	a89b1fa989203f80983de5c2c2a858a2	OPEN
BLOCKER	2023-03-06T00:45:27+0000		4.0		javascript:S2703	Full-Stack-JavaScript-Developer---Contact-App-Backend	2min		"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""mqtt"" to make it explicit."	2023-03-06T00:45:27+0000	CODE_SMELL	false	"pitfall / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/server/node-server/server.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=4.0}	2min	AYa0YaNn1m6JgciZ2WKV	c21c747ed0990c847249db20cba1ed9c	OPEN
MAJOR	2023-03-06T00:45:27+0000		25.0		javascript:S125	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Remove this commented out code.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"unused / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/src/MqttClient.js		MAIN	{startLine=25.0, endLine=25.0, startOffset=6.0, endOffset=40.0}	5min	AYa0YaNg1m6JgciZ2WJ-	545bfb065a8c6261e9b16c73d8f90271	OPEN
MAJOR	2023-03-06T00:45:27+0000		6.0		javascript:S125	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Remove this commented out code.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"unused / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/src/components/navigation/Navigation.jsx		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=68.0}	5min	AYa0YaNY1m6JgciZ2WJ8	a55c9950d3ddc73ae377800ba14a5bda	OPEN
MINOR	2023-03-06T00:45:27+0000		10.0		javascript:S1128	Full-Stack-JavaScript-Developer---Contact-App-Backend	2min		Remove this unused import of 'Switch'.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"es2015 / unused / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/src/index.jsx		MAIN	{startLine=10.0, endLine=10.0, startOffset=16.0, endOffset=22.0}	2min	AYa0YaNf1m6JgciZ2WJ9	61d8406945d16b998f58610852ebc17e	OPEN
CRITICAL	2023-03-06T00:45:27+0000		1.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=11.0}	5min	AYa0YaNk1m6JgciZ2WJ_	e664117dee46d77367e5f1b98bd54f90	OPEN
CRITICAL	2023-03-06T00:45:27+0000		2.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=8.0}	5min	AYa0YaNk1m6JgciZ2WKA	76a10966e3a5549f9827fd9259c27456	OPEN
CRITICAL	2023-03-06T00:45:27+0000		3.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=9.0}	5min	AYa0YaNk1m6JgciZ2WKB	5b14f12b4c858a81137703677128e73e	OPEN
CRITICAL	2023-03-06T00:45:27+0000		4.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=8.0}	5min	AYa0YaNk1m6JgciZ2WKC	75d1919cf06df6c330497835b2eefcfa	OPEN
CRITICAL	2023-03-06T00:45:27+0000		5.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=13.0}	5min	AYa0YaNk1m6JgciZ2WKD	033ba684ce030df73a7ca370a2234c35	OPEN
CRITICAL	2023-03-06T00:45:27+0000		6.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=11.0}	5min	AYa0YaNk1m6JgciZ2WKE	eb220053660fea92c25ee0915f3e76b6	OPEN
CRITICAL	2023-03-06T00:45:27+0000		7.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=13.0}	5min	AYa0YaNk1m6JgciZ2WKF	e47bad81c071b8fb10ca0df1f9e5ce63	OPEN
CRITICAL	2023-03-06T00:45:27+0000		8.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=8.0, endLine=8.0, startOffset=0.0, endOffset=13.0}	5min	AYa0YaNk1m6JgciZ2WKG	27f1519af6e0c8cc9064eed2681061aa	OPEN
CRITICAL	2023-03-06T00:45:27+0000		9.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=13.0}	5min	AYa0YaNk1m6JgciZ2WKH	cef3a1f2f559fda78eb98dd67adfb480	OPEN
CRITICAL	2023-03-06T00:45:27+0000		10.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=14.0}	5min	AYa0YaNk1m6JgciZ2WKI	dab81c171697159a8c6ab273a7a0dc8c	OPEN
CRITICAL	2023-03-06T00:45:27+0000		11.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=11.0, endLine=11.0, startOffset=0.0, endOffset=21.0}	5min	AYa0YaNk1m6JgciZ2WKJ	dd7e009b36491368783fa80a2e945d2e	OPEN
CRITICAL	2023-03-06T00:45:27+0000		13.0		javascript:S3504	Full-Stack-JavaScript-Developer---Contact-App-Backend	5min		Unexpected var, use let or const instead.	2023-03-06T00:45:27+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Full-Stack-JavaScript-Developer---Contact-App-Backend:nd131-openvino-fundamentals-project-starter-master/webservice/ui/webpack.config.js		MAIN	{startLine=13.0, endLine=13.0, startOffset=0.0, endOffset=11.0}	5min	AYa0YaNk1m6JgciZ2WKK	834a849a4a040fbb5c400801b1fe9e1c	OPEN
