severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:18:48+0000		9.0		javascript:S3504	Interactive-3D-Graphics	5min		Unexpected var, use let or const instead.	2023-03-06T01:18:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Interactive-3D-Graphics:cs291-master/demo/unit1-fps.js		MAIN	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=13.0}	5min	AYa0gJMQ1m6JgciZ24ce	f0b6fca7dd8500d9a49e50bece2acedf	OPEN
CRITICAL	2023-03-06T01:18:48+0000		10.0		javascript:S3504	Interactive-3D-Graphics	5min		Unexpected var, use let or const instead.	2023-03-06T01:18:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Interactive-3D-Graphics:cs291-master/demo/unit1-fps.js		MAIN	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=18.0}	5min	AYa0gJMQ1m6JgciZ24cf	87d754f0ba46b2b36645db783421843e	OPEN
CRITICAL	2023-03-06T01:18:48+0000		11.0		javascript:S3504	Interactive-3D-Graphics	5min		Unexpected var, use let or const instead.	2023-03-06T01:18:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Interactive-3D-Graphics:cs291-master/demo/unit1-fps.js		MAIN	{startLine=11.0, endLine=11.0, startOffset=0.0, endOffset=20.0}	5min	AYa0gJMQ1m6JgciZ24cg	cd0b6f1495038882e8182d3456c1bc47	OPEN
CRITICAL	2023-03-06T01:18:48+0000		12.0		javascript:S3504	Interactive-3D-Graphics	5min		Unexpected var, use let or const instead.	2023-03-06T01:18:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Interactive-3D-Graphics:cs291-master/demo/unit1-fps.js		MAIN	{startLine=12.0, endLine=12.0, startOffset=0.0, endOffset=9.0}	5min	AYa0gJMQ1m6JgciZ24ch	1eb7d4a6815745b3ecc7dba719092751	OPEN
CRITICAL	2023-03-06T01:18:48+0000		13.0		javascript:S3504	Interactive-3D-Graphics	5min		Unexpected var, use let or const instead.	2023-03-06T01:18:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Interactive-3D-Graphics:cs291-master/demo/unit1-fps.js		MAIN	{startLine=13.0, endLine=13.0, startOffset=0.0, endOffset=14.0}	5min	AYa0gJMQ1m6JgciZ24ci	68a112933e5113f88570878f0d66311a	OPEN
CRITICAL	2023-03-06T01:18:48+0000		14.0		javascript:S3504	Interactive-3D-Graphics	5min		Unexpected var, use let or const instead.	2023-03-06T01:18:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Interactive-3D-Graphics:cs291-master/demo/unit1-fps.js		MAIN	{startLine=14.0, endLine=14.0, startOffset=0.0, endOffset=16.0}	5min	AYa0gJMQ1m6JgciZ24cj	9598687db5de1ec01eb796807b178a80	OPEN
CRITICAL	2023-03-06T01:18:48+0000		15.0		javascript:S3504	Interactive-3D-Graphics	5min		Unexpected var, use let or const instead.	2023-03-06T01:18:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Interactive-3D-Graphics:cs291-master/demo/unit1-fps.js		MAIN	{startLine=15.0, endLine=15.0, startOffset=0.0, endOffset=10.0}	5min	AYa0gJMQ1m6JgciZ24ck	b55375cfbec5659bad95db623256f2ff	OPEN
CRITICAL	2023-03-06T01:18:48+0000		16.0		javascript:S3504	Interactive-3D-Graphics	5min		Unexpected var, use let or const instead.	2023-03-06T01:18:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Interactive-3D-Graphics:cs291-master/demo/unit1-fps.js		MAIN	{startLine=16.0, endLine=16.0, startOffset=0.0, endOffset=11.0}	5min	AYa0gJMQ1m6JgciZ24cl	272851e0d45f872f695b926a67cdc506	OPEN
CRITICAL	2023-03-06T01:18:48+0000		24.0		javascript:S3504	Interactive-3D-Graphics	5min		Unexpected var, use let or const instead.	2023-03-06T01:18:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Interactive-3D-Graphics:cs291-master/demo/unit1-fps.js		MAIN	{startLine=24.0, endLine=24.0, startOffset=1.0, endOffset=8.0}	5min	AYa0gJMQ1m6JgciZ24cm	cf846eb65a3f576dc703ad0ef336dc2a	OPEN
CRITICAL	2023-03-06T01:18:48+0000		26.0		javascript:S3504	Interactive-3D-Graphics	5min		Unexpected var, use let or const instead.	2023-03-06T01:18:48+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Interactive-3D-Graphics:cs291-master/demo/unit1-fps.js		MAIN	{startLine=26.0, endLine=26.0, startOffset=1.0, endOffset=12.0}	5min	AYa0gJMQ1m6JgciZ24cn	f247bd2a77f5f8ae692aaa0a042783d4	OPEN
