severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T00:48:13+0000		4.0		javascript:S1135	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:48:13+0000	CODE_SMELL	false	"cwe / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/models/Restaurants.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=19.0, endOffset=23.0}	0min	AYa0ZDB31m6JgciZ2XTo	6ebe807263022d488bf8e721165751d1	OPEN
CRITICAL	2023-03-06T00:48:13+0000		21.0		javascript:S3504	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II	5min		Unexpected var, use let or const instead.	2023-03-06T00:48:13+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/badRequest.js		MAIN	{startLine=21.0, endLine=21.0, startOffset=2.0, endOffset=9.0}	5min	AYa0ZDBz1m6JgciZ2XTg	43bcf658def986dd8efa8685494de20b	OPEN
CRITICAL	2023-03-06T00:48:13+0000		22.0		javascript:S3504	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II	5min		Unexpected var, use let or const instead.	2023-03-06T00:48:13+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/badRequest.js		MAIN	{startLine=22.0, endLine=22.0, startOffset=2.0, endOffset=9.0}	5min	AYa0ZDBz1m6JgciZ2XTh	95f77102b093ecc34466282c24eddc29	OPEN
CRITICAL	2023-03-06T00:48:13+0000		23.0		javascript:S3504	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II	5min		Unexpected var, use let or const instead.	2023-03-06T00:48:13+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/badRequest.js		MAIN	{startLine=23.0, endLine=23.0, startOffset=2.0, endOffset=11.0}	5min	AYa0ZDBz1m6JgciZ2XTi	b4cc53e4795041b9c34650a2cb63129c	OPEN
CRITICAL	2023-03-06T00:48:13+0000		52.0		javascript:S3504	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II	5min		Unexpected var, use let or const instead.	2023-03-06T00:48:13+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/badRequest.js		MAIN	{startLine=52.0, endLine=52.0, startOffset=2.0, endOffset=14.0}	5min	AYa0ZDBz1m6JgciZ2XTj	5b312969360aeab9f42e8e8ce26b013d	OPEN
CRITICAL	2023-03-06T00:48:13+0000		17.0		javascript:S3504	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II	5min		Unexpected var, use let or const instead.	2023-03-06T00:48:13+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/created.js		MAIN	{startLine=17.0, endLine=17.0, startOffset=2.0, endOffset=9.0}	5min	AYa0ZDB11m6JgciZ2XTk	43bcf658def986dd8efa8685494de20b	OPEN
CRITICAL	2023-03-06T00:48:13+0000		18.0		javascript:S3504	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II	5min		Unexpected var, use let or const instead.	2023-03-06T00:48:13+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/created.js		MAIN	{startLine=18.0, endLine=18.0, startOffset=2.0, endOffset=9.0}	5min	AYa0ZDB11m6JgciZ2XTl	95f77102b093ecc34466282c24eddc29	OPEN
CRITICAL	2023-03-06T00:48:13+0000		19.0		javascript:S3504	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II	5min		Unexpected var, use let or const instead.	2023-03-06T00:48:13+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/created.js		MAIN	{startLine=19.0, endLine=19.0, startOffset=2.0, endOffset=11.0}	5min	AYa0ZDB11m6JgciZ2XTm	b4cc53e4795041b9c34650a2cb63129c	OPEN
CRITICAL	2023-03-06T00:48:13+0000		37.0		javascript:S3504	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II	5min		Unexpected var, use let or const instead.	2023-03-06T00:48:13+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/created.js		MAIN	{startLine=37.0, endLine=37.0, startOffset=2.0, endOffset=14.0}	5min	AYa0ZDB11m6JgciZ2XTn	5b312969360aeab9f42e8e8ce26b013d	OPEN
CRITICAL	2023-03-06T00:48:13+0000		15.0		javascript:S3776	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II	12min		Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.	2023-03-06T00:48:13+0000	CODE_SMELL	false	"brain-overload / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js	"{locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=26.0, endLine=26.0, startOffset=2.0, endOffset=4.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=29.0, endLine=29.0, startOffset=2.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=34.0, endLine=34.0, startOffset=2.0, endOffset=4.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=34.0, endLine=34.0, startOffset=48.0, endOffset=50.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=40.0, endLine=40.0, startOffset=2.0, endOffset=4.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=40.0, endLine=40.0, startOffset=20.0, endOffset=22.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=46.0, endLine=46.0, startOffset=40.0, endOffset=41.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=46.0, endLine=46.0, startOffset=72.0, endOffset=74.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=50.0, endLine=50.0, startOffset=2.0, endOffset=4.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=50.0, endLine=50.0, startOffset=35.0, endOffset=37.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=54.0, endLine=54.0, startOffset=4.0, endOffset=9.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=62.0, endLine=62.0, startOffset=2.0, endOffset=4.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=68.0, endLine=68.0, startOffset=2.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=71.0, endLine=71.0, startOffset=4.0, endOffset=6.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=75.0, endLine=75.0, startOffset=6.0, endOffset=8.0}, msg=+4 (incl. 3 for nesting), msgFormattings=[]}]} / {locations=[{component=Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-II:mws-restaurant-stage-2-master/api/responses/forbidden.js, textRange={startLine=79.0, endLine=79.0, startOffset=6.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=15.0, endLine=15.0, startOffset=17.0, endOffset=25.0}	12min	AYa0ZDBr1m6JgciZ2XTN	f11334c505f3aa33cd0f5fd2d1f5e774	OPEN
