severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:20:41+0000		5.0		javascript:S3504	Intro-to-Progressive-Web-Apps---Material	5min		Unexpected var, use let or const instead.	2023-03-06T01:20:41+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Intro-to-Progressive-Web-Apps---Material:ud811-master/1-12-skeleton/scripts/app.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=2.0, endOffset=23.0}	5min	AYa0gem71m6JgciZ26Uk	4a99db161a2e2f19cf0499a3a73a95b4	OPEN
CRITICAL	2023-03-06T01:20:41+0000		7.0		javascript:S3504	Intro-to-Progressive-Web-Apps---Material	5min		Unexpected var, use let or const instead.	2023-03-06T01:20:41+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Intro-to-Progressive-Web-Apps---Material:ud811-master/1-12-skeleton/scripts/app.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=2.0, endOffset=9.0}	5min	AYa0gem71m6JgciZ26Ul	b6ccec17616bd6f2542a9b9e684aab05	OPEN
CRITICAL	2023-03-06T01:20:41+0000		38.0		javascript:S3504	Intro-to-Progressive-Web-Apps---Material	5min		Unexpected var, use let or const instead.	2023-03-06T01:20:41+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Intro-to-Progressive-Web-Apps---Material:ud811-master/1-12-skeleton/scripts/app.js		MAIN	{startLine=38.0, endLine=38.0, startOffset=4.0, endOffset=14.0}	5min	AYa0gem71m6JgciZ26Um	dd9b2af446bddbea1aaf66f41e843423	OPEN
CRITICAL	2023-03-06T01:20:41+0000		39.0		javascript:S3504	Intro-to-Progressive-Web-Apps---Material	5min		Unexpected var, use let or const instead.	2023-03-06T01:20:41+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Intro-to-Progressive-Web-Apps---Material:ud811-master/1-12-skeleton/scripts/app.js		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=16.0}	5min	AYa0gem71m6JgciZ26Un	da981cf0fcc0538f42f94ed290cf407b	OPEN
CRITICAL	2023-03-06T01:20:41+0000		40.0		javascript:S3504	Intro-to-Progressive-Web-Apps---Material	5min		Unexpected var, use let or const instead.	2023-03-06T01:20:41+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Intro-to-Progressive-Web-Apps---Material:ud811-master/1-12-skeleton/scripts/app.js		MAIN	{startLine=40.0, endLine=40.0, startOffset=4.0, endOffset=11.0}	5min	AYa0gem71m6JgciZ26Uo	3005554493d1207794780ba0759026a8	OPEN
CRITICAL	2023-03-06T01:20:41+0000		41.0		javascript:S3504	Intro-to-Progressive-Web-Apps---Material	5min		Unexpected var, use let or const instead.	2023-03-06T01:20:41+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Intro-to-Progressive-Web-Apps---Material:ud811-master/1-12-skeleton/scripts/app.js		MAIN	{startLine=41.0, endLine=41.0, startOffset=4.0, endOffset=13.0}	5min	AYa0gem71m6JgciZ26Up	c7af6b7711ca4c2abce6f41a305ca331	OPEN
CRITICAL	2023-03-06T01:20:41+0000		71.0		javascript:S3504	Intro-to-Progressive-Web-Apps---Material	5min		Unexpected var, use let or const instead.	2023-03-06T01:20:41+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Intro-to-Progressive-Web-Apps---Material:ud811-master/1-12-skeleton/scripts/app.js		MAIN	{startLine=71.0, endLine=71.0, startOffset=4.0, endOffset=12.0}	5min	AYa0gem71m6JgciZ26Uq	209d43677b317946bcb0d61838703610	OPEN
CRITICAL	2023-03-06T01:20:41+0000		96.0		javascript:S3504	Intro-to-Progressive-Web-Apps---Material	5min		Unexpected var, use let or const instead.	2023-03-06T01:20:41+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Intro-to-Progressive-Web-Apps---Material:ud811-master/1-12-skeleton/scripts/app.js		MAIN	{startLine=96.0, endLine=96.0, startOffset=4.0, endOffset=16.0}	5min	AYa0gem71m6JgciZ26Ur	83141bfe6b460a9cf192330953638263	OPEN
CRITICAL	2023-03-06T01:20:41+0000		97.0		javascript:S3504	Intro-to-Progressive-Web-Apps---Material	5min		Unexpected var, use let or const instead.	2023-03-06T01:20:41+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Intro-to-Progressive-Web-Apps---Material:ud811-master/1-12-skeleton/scripts/app.js		MAIN	{startLine=97.0, endLine=97.0, startOffset=4.0, endOffset=13.0}	5min	AYa0gem71m6JgciZ26Us	853a0fee501cf731d506cb8c782fab26	OPEN
CRITICAL	2023-03-06T01:20:41+0000		99.0		javascript:S3504	Intro-to-Progressive-Web-Apps---Material	5min		Unexpected var, use let or const instead.	2023-03-06T01:20:41+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Intro-to-Progressive-Web-Apps---Material:ud811-master/1-12-skeleton/scripts/app.js		MAIN	{startLine=99.0, endLine=99.0, startOffset=9.0, endOffset=14.0}	5min	AYa0gem71m6JgciZ26Ut	a9beb9dfa5a62f214360c729832f276d	OPEN
