severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:28:17+0000		3.0		javascript:S3504	Javascript-Design-Patterns---Udacity-Pizza-App	5min		Unexpected var, use let or const instead.	2023-03-06T01:28:17+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns---Udacity-Pizza-App:ud989-pizzamvo-master/js/app.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=4.0, endOffset=12.0}	5min	AYa0iNDC1m6JgciZ2_Y1	ab99e66e146327b09d05e813d4ff25fb	OPEN
CRITICAL	2023-03-06T01:28:17+0000		9.0		javascript:S3504	Javascript-Design-Patterns---Udacity-Pizza-App	5min		Unexpected var, use let or const instead.	2023-03-06T01:28:17+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns---Udacity-Pizza-App:ud989-pizzamvo-master/js/app.js		MAIN	{startLine=9.0, endLine=9.0, startOffset=4.0, endOffset=15.0}	5min	AYa0iNDC1m6JgciZ2_Y2	186571f0254c5c33bfc9104853ecc070	OPEN
CRITICAL	2023-03-06T01:28:17+0000		11.0		javascript:S3504	Javascript-Design-Patterns---Udacity-Pizza-App	5min		Unexpected var, use let or const instead.	2023-03-06T01:28:17+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns---Udacity-Pizza-App:ud989-pizzamvo-master/js/app.js		MAIN	{startLine=11.0, endLine=11.0, startOffset=12.0, endOffset=22.0}	5min	AYa0iNDC1m6JgciZ2_Y3	a9dce31bfc85c345317dc927fd671df2	OPEN
CRITICAL	2023-03-06T01:28:17+0000		21.0		javascript:S3504	Javascript-Design-Patterns---Udacity-Pizza-App	5min		Unexpected var, use let or const instead.	2023-03-06T01:28:17+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns---Udacity-Pizza-App:ud989-pizzamvo-master/js/app.js		MAIN	{startLine=21.0, endLine=21.0, startOffset=12.0, endOffset=28.0}	5min	AYa0iNDC1m6JgciZ2_Y4	71e97488d8b30665fca7a039516211c1	OPEN
CRITICAL	2023-03-06T01:28:17+0000		27.0		javascript:S3504	Javascript-Design-Patterns---Udacity-Pizza-App	5min		Unexpected var, use let or const instead.	2023-03-06T01:28:17+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns---Udacity-Pizza-App:ud989-pizzamvo-master/js/app.js		MAIN	{startLine=27.0, endLine=27.0, startOffset=12.0, endOffset=29.0}	5min	AYa0iNDC1m6JgciZ2_Y5	63d10d5d2d8a6426ef81f83f1499095f	OPEN
CRITICAL	2023-03-06T01:28:17+0000		39.0		javascript:S3504	Javascript-Design-Patterns---Udacity-Pizza-App	5min		Unexpected var, use let or const instead.	2023-03-06T01:28:17+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Javascript-Design-Patterns---Udacity-Pizza-App:ud989-pizzamvo-master/js/app.js		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=12.0}	5min	AYa0iNDC1m6JgciZ2_Y6	d7aa7cf0895d3c45b945790308260892	OPEN
CRITICAL	2023-03-06T01:28:17+0000		41.0		javascript:S3504	Javascript-Design-Patterns---Udacity-Pizza-App	5min		Unexpected var, use let or const instead.	2023-03-06T01:28:17+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns---Udacity-Pizza-App:ud989-pizzamvo-master/js/app.js		MAIN	{startLine=41.0, endLine=41.0, startOffset=12.0, endOffset=27.0}	5min	AYa0iNDC1m6JgciZ2_Y7	a0b328e2e3c0ceebe5ac899572ca7926	OPEN
CRITICAL	2023-03-06T01:28:17+0000		52.0		javascript:S3504	Javascript-Design-Patterns---Udacity-Pizza-App	5min		Unexpected var, use let or const instead.	2023-03-06T01:28:17+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns---Udacity-Pizza-App:ud989-pizzamvo-master/js/app.js		MAIN	{startLine=52.0, endLine=52.0, startOffset=16.0, endOffset=25.0}	5min	AYa0iNDC1m6JgciZ2_Y8	96316ae2f7df77740e40b0799d181f5c	OPEN
CRITICAL	2023-03-06T01:28:17+0000		62.0		javascript:S3504	Javascript-Design-Patterns---Udacity-Pizza-App	5min		Unexpected var, use let or const instead.	2023-03-06T01:28:17+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns---Udacity-Pizza-App:ud989-pizzamvo-master/js/app.js		MAIN	{startLine=62.0, endLine=62.0, startOffset=12.0, endOffset=26.0}	5min	AYa0iNDC1m6JgciZ2_Y9	0a68ebf39b1fa1843ec950d78d1647e1	OPEN
CRITICAL	2023-03-06T01:28:17+0000		69.0		javascript:S3504	Javascript-Design-Patterns---Udacity-Pizza-App	5min		Unexpected var, use let or const instead.	2023-03-06T01:28:17+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns---Udacity-Pizza-App:ud989-pizzamvo-master/js/app.js		MAIN	{startLine=69.0, endLine=69.0, startOffset=16.0, endOffset=32.0}	5min	AYa0iNDC1m6JgciZ2_Y-	90ac007ba24ef512b3cab9ef20743fc7	OPEN
