severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:17:43+0000		3.0		javascript:S3504	Javascript-ES6	5min		Unexpected var, use let or const instead.	2023-03-06T01:17:43+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Javascript-ES6:course-es6-master/lesson-1/let-and-const/code-es5.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=8.0, endOffset=20.0}	5min	AYa0fyT11m6JgciZ22RM	c6db7a531b994ceea93347fb2d095ab7	OPEN
MAJOR	2023-03-06T01:17:43+0000		3.0		javascript:S2392	Javascript-ES6	2min		Consider moving declaration of 'freezing' as it is referenced outside current binding context.	2023-03-06T01:17:43+0000	CODE_SMELL	false	"pitfall / "	Javascript-ES6:course-es6-master/lesson-1/let-and-const/code-es5.js	"{locations=[{component=Javascript-ES6:course-es6-master/lesson-1/let-and-const/code-es5.js, textRange={startLine=6.0, endLine=6.0, startOffset=20.0, endOffset=28.0}, msg=Outside reference., msgFormattings=[]}]} / "	MAIN	{startLine=3.0, endLine=3.0, startOffset=12.0, endOffset=20.0}	2min	AYa0fyT11m6JgciZ22RN	c6db7a531b994ceea93347fb2d095ab7	OPEN
MAJOR	2023-03-06T01:17:43+0000		3.0		javascript:S1854	Javascript-ES6	15min		"Remove this useless assignment to variable ""freezing""."	2023-03-06T01:17:43+0000	CODE_SMELL	false	"cwe / unused / "	Javascript-ES6:course-es6-master/lesson-1/let-and-const/code-es5.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=12.0, endOffset=20.0}	15min	AYa0fyT11m6JgciZ22RO	c6db7a531b994ceea93347fb2d095ab7	OPEN
CRITICAL	2023-03-06T01:17:43+0000		5.0		javascript:S3504	Javascript-ES6	5min		Unexpected var, use let or const instead.	2023-03-06T01:17:43+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-ES6:course-es6-master/lesson-1/let-and-const/code-es5.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=8.0, endOffset=15.0}	5min	AYa0fyT11m6JgciZ22RP	4c603652974e6815b1ef9d4b5f6a7724	OPEN
MINOR	2023-03-06T01:17:43+0000		5.0		javascript:S1481	Javascript-ES6	5min		Remove the declaration of the unused 'hot' variable.	2023-03-06T01:17:43+0000	CODE_SMELL	false	"unused / "	Javascript-ES6:course-es6-master/lesson-1/let-and-const/code-es5.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=12.0, endOffset=15.0}	5min	AYa0fyT11m6JgciZ22RQ	4c603652974e6815b1ef9d4b5f6a7724	OPEN
MAJOR	2023-03-06T01:17:43+0000		5.0		javascript:S1854	Javascript-ES6	15min		"Remove this useless assignment to variable ""hot""."	2023-03-06T01:17:43+0000	CODE_SMELL	false	"cwe / unused / "	Javascript-ES6:course-es6-master/lesson-1/let-and-const/code-es5.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=12.0, endOffset=15.0}	15min	AYa0fyT11m6JgciZ22RR	4c603652974e6815b1ef9d4b5f6a7724	OPEN
MINOR	2023-03-06T01:17:43+0000		3.0		javascript:S1481	Javascript-ES6	5min		Remove the declaration of the unused 'freezing' variable.	2023-03-06T01:17:43+0000	CODE_SMELL	false	"unused / "	Javascript-ES6:course-es6-master/lesson-1/let-and-const/code-es6.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=12.0, endOffset=20.0}	5min	AYa0fyT31m6JgciZ22RS	25f9c645c75713c61be640a59d00f392	OPEN
MAJOR	2023-03-06T01:17:43+0000		3.0		javascript:S1854	Javascript-ES6	15min		"Remove this useless assignment to variable ""freezing""."	2023-03-06T01:17:43+0000	CODE_SMELL	false	"cwe / unused / "	Javascript-ES6:course-es6-master/lesson-1/let-and-const/code-es6.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=12.0, endOffset=20.0}	15min	AYa0fyT31m6JgciZ22RT	25f9c645c75713c61be640a59d00f392	OPEN
MINOR	2023-03-06T01:17:43+0000		5.0		javascript:S1481	Javascript-ES6	5min		Remove the declaration of the unused 'hot' variable.	2023-03-06T01:17:43+0000	CODE_SMELL	false	"unused / "	Javascript-ES6:course-es6-master/lesson-1/let-and-const/code-es6.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=12.0, endOffset=15.0}	5min	AYa0fyT31m6JgciZ22RU	8659d6876645920e75dd93742d27d9eb	OPEN
MAJOR	2023-03-06T01:17:43+0000		5.0		javascript:S1854	Javascript-ES6	15min		"Remove this useless assignment to variable ""hot""."	2023-03-06T01:17:43+0000	CODE_SMELL	false	"cwe / unused / "	Javascript-ES6:course-es6-master/lesson-1/let-and-const/code-es6.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=12.0, endOffset=15.0}	15min	AYa0fyT31m6JgciZ22RV	8659d6876645920e75dd93742d27d9eb	OPEN
