severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T00:42:37+0000		1.0		javascript:S1135	Lesson-Demos-and-Exercises-Starter-and-Solution-code	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:42:37+0000	CODE_SMELL	false	"cwe / "	Lesson-Demos-and-Exercises-Starter-and-Solution-code:cd12101-lesson-demos-and-exercise-starters-solutions-main/lesson-1-introduction-to-serverless/exercises/03-serverless-hw-starter/lambda.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=3.0, endOffset=7.0}	0min	AYa0X27f1m6JgciZ2OEe	a76642a2f3239590b37e172b37823b71	OPEN
MINOR	2023-03-06T00:42:37+0000		3.0		javascript:S1128	Lesson-Demos-and-Exercises-Starter-and-Solution-code	2min		Remove this unused import of 'PutMetricDataCommand'.	2023-03-06T00:42:37+0000	CODE_SMELL	true	"es2015 / unused / "	Lesson-Demos-and-Exercises-Starter-and-Solution-code:cd12101-lesson-demos-and-exercise-starters-solutions-main/lesson-1-introduction-to-serverless/exercises/05-http-metrics-starter/lambda.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=2.0, endOffset=22.0}	2min	AYa0X27e1m6JgciZ2OEV	cd7106042d31188b6881b51ee7b945ad	OPEN
INFO	2023-03-06T00:42:37+0000		16.0		javascript:S1135	Lesson-Demos-and-Exercises-Starter-and-Solution-code	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:42:37+0000	CODE_SMELL	false	"cwe / "	Lesson-Demos-and-Exercises-Starter-and-Solution-code:cd12101-lesson-demos-and-exercise-starters-solutions-main/lesson-1-introduction-to-serverless/exercises/05-http-metrics-starter/lambda.js		MAIN	{startLine=16.0, endLine=16.0, startOffset=5.0, endOffset=9.0}	0min	AYa0X27e1m6JgciZ2OEW	c73d41b49e227b31a5e13c831189774f	OPEN
MINOR	2023-03-06T00:42:37+0000		17.0		javascript:S1481	Lesson-Demos-and-Exercises-Starter-and-Solution-code	5min		Remove the declaration of the unused 'endTime' variable.	2023-03-06T00:42:37+0000	CODE_SMELL	false	"unused / "	Lesson-Demos-and-Exercises-Starter-and-Solution-code:cd12101-lesson-demos-and-exercise-starters-solutions-main/lesson-1-introduction-to-serverless/exercises/05-http-metrics-starter/lambda.js		MAIN	{startLine=17.0, endLine=17.0, startOffset=6.0, endOffset=13.0}	5min	AYa0X27e1m6JgciZ2OEX	d6be8f9fb51048da9f4e3784d41e3ef5	OPEN
MINOR	2023-03-06T00:42:37+0000		18.0		javascript:S1481	Lesson-Demos-and-Exercises-Starter-and-Solution-code	5min		Remove the declaration of the unused 'requestWasSuccessful' variable.	2023-03-06T00:42:37+0000	CODE_SMELL	false	"unused / "	Lesson-Demos-and-Exercises-Starter-and-Solution-code:cd12101-lesson-demos-and-exercise-starters-solutions-main/lesson-1-introduction-to-serverless/exercises/05-http-metrics-starter/lambda.js		MAIN	{startLine=18.0, endLine=18.0, startOffset=6.0, endOffset=26.0}	5min	AYa0X27e1m6JgciZ2OEY	66def29b51b9ce13ea89e903f49188e6	OPEN
MINOR	2023-03-06T00:42:37+0000		20.0		javascript:S1481	Lesson-Demos-and-Exercises-Starter-and-Solution-code	5min		Remove the declaration of the unused 'startTime' variable.	2023-03-06T00:42:37+0000	CODE_SMELL	false	"unused / "	Lesson-Demos-and-Exercises-Starter-and-Solution-code:cd12101-lesson-demos-and-exercise-starters-solutions-main/lesson-1-introduction-to-serverless/exercises/05-http-metrics-starter/lambda.js		MAIN	{startLine=20.0, endLine=20.0, startOffset=8.0, endOffset=17.0}	5min	AYa0X27e1m6JgciZ2OEZ	7c8115a590f6f3fcc6bc17eb49f3bece	OPEN
MAJOR	2023-03-06T00:42:37+0000		20.0		javascript:S1854	Lesson-Demos-and-Exercises-Starter-and-Solution-code	15min		"Remove this useless assignment to variable ""startTime""."	2023-03-06T00:42:37+0000	CODE_SMELL	false	"cwe / unused / "	Lesson-Demos-and-Exercises-Starter-and-Solution-code:cd12101-lesson-demos-and-exercise-starters-solutions-main/lesson-1-introduction-to-serverless/exercises/05-http-metrics-starter/lambda.js		MAIN	{startLine=20.0, endLine=20.0, startOffset=8.0, endOffset=17.0}	15min	AYa0X27e1m6JgciZ2OEa	7c8115a590f6f3fcc6bc17eb49f3bece	OPEN
MAJOR	2023-03-06T00:42:37+0000		23.0		javascript:S125	Lesson-Demos-and-Exercises-Starter-and-Solution-code	5min		Remove this commented out code.	2023-03-06T00:42:37+0000	CODE_SMELL	true	"unused / "	Lesson-Demos-and-Exercises-Starter-and-Solution-code:cd12101-lesson-demos-and-exercise-starters-solutions-main/lesson-1-introduction-to-serverless/exercises/05-http-metrics-starter/lambda.js		MAIN	{startLine=23.0, endLine=39.0, startOffset=2.0, endOffset=38.0}	5min	AYa0X27e1m6JgciZ2OEb	6a92eaaf97c38ef23217a33831014216	OPEN
INFO	2023-03-06T00:42:37+0000		41.0		javascript:S1135	Lesson-Demos-and-Exercises-Starter-and-Solution-code	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:42:37+0000	CODE_SMELL	false	"cwe / "	Lesson-Demos-and-Exercises-Starter-and-Solution-code:cd12101-lesson-demos-and-exercise-starters-solutions-main/lesson-1-introduction-to-serverless/exercises/05-http-metrics-starter/lambda.js		MAIN	{startLine=41.0, endLine=41.0, startOffset=5.0, endOffset=9.0}	0min	AYa0X27e1m6JgciZ2OEc	1b286eb41cb19b387aa17ebf16871b48	OPEN
INFO	2023-03-06T00:42:37+0000		42.0		javascript:S1135	Lesson-Demos-and-Exercises-Starter-and-Solution-code	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:42:37+0000	CODE_SMELL	false	"cwe / "	Lesson-Demos-and-Exercises-Starter-and-Solution-code:cd12101-lesson-demos-and-exercise-starters-solutions-main/lesson-1-introduction-to-serverless/exercises/05-http-metrics-starter/lambda.js		MAIN	{startLine=42.0, endLine=42.0, startOffset=5.0, endOffset=9.0}	0min	AYa0X27e1m6JgciZ2OEd	027d8276178874c4c3d76cfdd03214f8	OPEN
