severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:15:00+0000		4.0		javascript:S3504	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I	5min		Unexpected var, use let or const instead.	2023-03-06T01:15:00+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I:mws-restaurant-stage-1-master/js/main.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=10.0}	5min	AYa0fLIj1m6JgciZ21uI	abbe03887b83ba5f254f4b812c28b08b	OPEN
CRITICAL	2023-03-06T01:15:00+0000		5.0		javascript:S3504	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I	5min		Unexpected var, use let or const instead.	2023-03-06T01:15:00+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I:mws-restaurant-stage-1-master/js/main.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=11.0}	5min	AYa0fLIj1m6JgciZ21uJ	087b40b14ee7bd7f905254a7b9dbfefa	OPEN
BLOCKER	2023-03-06T01:15:00+0000		19.0		javascript:S2703	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I	2min		"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""fetchNeighborhoods"" to make it explicit."	2023-03-06T01:15:00+0000	CODE_SMELL	false	"pitfall / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I:mws-restaurant-stage-1-master/js/main.js		MAIN	{startLine=19.0, endLine=19.0, startOffset=0.0, endOffset=18.0}	2min	AYa0fLIj1m6JgciZ21uK	47af19540baefbd283b4b11d6348e661	OPEN
BLOCKER	2023-03-06T01:15:00+0000		33.0		javascript:S2703	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I	2min		"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""fillNeighborhoodsHTML"" to make it explicit."	2023-03-06T01:15:00+0000	CODE_SMELL	false	"pitfall / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I:mws-restaurant-stage-1-master/js/main.js		MAIN	{startLine=33.0, endLine=33.0, startOffset=0.0, endOffset=21.0}	2min	AYa0fLIj1m6JgciZ21uL	842bfc772105bbe96bbbe17240e85efc	OPEN
BLOCKER	2023-03-06T01:15:00+0000		46.0		javascript:S2703	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I	2min		"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""fetchCuisines"" to make it explicit."	2023-03-06T01:15:00+0000	CODE_SMELL	false	"pitfall / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I:mws-restaurant-stage-1-master/js/main.js		MAIN	{startLine=46.0, endLine=46.0, startOffset=0.0, endOffset=13.0}	2min	AYa0fLIj1m6JgciZ21uM	326ec48402c25683d121ddc482ef45c0	OPEN
BLOCKER	2023-03-06T01:15:00+0000		60.0		javascript:S2703	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I	2min		"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""fillCuisinesHTML"" to make it explicit."	2023-03-06T01:15:00+0000	CODE_SMELL	false	"pitfall / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I:mws-restaurant-stage-1-master/js/main.js		MAIN	{startLine=60.0, endLine=60.0, startOffset=0.0, endOffset=16.0}	2min	AYa0fLIj1m6JgciZ21uN	b572e559af9cf6512809ea48336ae370	OPEN
BLOCKER	2023-03-06T01:15:00+0000		74.0		javascript:S2703	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I	2min		"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""initMap"" to make it explicit."	2023-03-06T01:15:00+0000	CODE_SMELL	false	"pitfall / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I:mws-restaurant-stage-1-master/js/main.js		MAIN	{startLine=74.0, endLine=74.0, startOffset=0.0, endOffset=7.0}	2min	AYa0fLIj1m6JgciZ21uO	807c54c3f9bfcd28c38fa24c78dee207	OPEN
MAJOR	2023-03-06T01:15:00+0000		91.0		javascript:S125	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I	5min		Remove this commented out code.	2023-03-06T01:15:00+0000	CODE_SMELL	true	"unused / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I:mws-restaurant-stage-1-master/js/main.js		MAIN	{startLine=91.0, endLine=102.0, startOffset=0.0, endOffset=4.0}	5min	AYa0fLIj1m6JgciZ21uP	8b44d7bca679426a5d7334c0172eee96	OPEN
BLOCKER	2023-03-06T01:15:00+0000		107.0		javascript:S2703	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I	2min		"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""updateRestaurants"" to make it explicit."	2023-03-06T01:15:00+0000	CODE_SMELL	false	"pitfall / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I:mws-restaurant-stage-1-master/js/main.js		MAIN	{startLine=107.0, endLine=107.0, startOffset=0.0, endOffset=17.0}	2min	AYa0fLIj1m6JgciZ21uQ	92af6503b7f85451332c56e2a250ea7a	OPEN
BLOCKER	2023-03-06T01:15:00+0000		130.0		javascript:S2703	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I	2min		"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""resetRestaurants"" to make it explicit."	2023-03-06T01:15:00+0000	CODE_SMELL	false	"pitfall / "	Mobile-Web-Specialist-Nanodegree---Local-Development-API-Server-Stage-I:mws-restaurant-stage-1-master/js/main.js		MAIN	{startLine=130.0, endLine=130.0, startOffset=0.0, endOffset=16.0}	2min	AYa0fLIj1m6JgciZ21uR	80c36fc157f6619a4d57069f9d76dfd6	OPEN
