severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T01:23:44+0000		25.0		javascript:S905	Object-Oriented-JavaScript	10min		Expected an assignment or function call and instead saw an expression.	2023-03-06T01:23:44+0000	BUG	false	"cwe / unused / "	Object-Oriented-JavaScript:OOJS-screencasts-master/L1-objects-in-depth/25-adding-and-removing-properties.js		MAIN	{startLine=25.0, endLine=25.0, startOffset=0.0, endOffset=10.0}	10min	AYa0hKzu1m6JgciZ288I	9cfee9be1c00ede03791febf7fc368c8	OPEN
MAJOR	2023-03-06T01:23:44+0000		12.0		javascript:S905	Object-Oriented-JavaScript	10min		Expected an assignment or function call and instead saw an expression.	2023-03-06T01:23:44+0000	BUG	false	"cwe / unused / "	Object-Oriented-JavaScript:OOJS-screencasts-master/L1-objects-in-depth/39-calling-methods-demo.js		MAIN	{startLine=12.0, endLine=12.0, startOffset=0.0, endOffset=8.0}	10min	AYa0hKzw1m6JgciZ288J	7dab7c3ea91a34cc5caf8e9693782606	OPEN
MAJOR	2023-03-06T01:23:44+0000		14.0		javascript:S905	Object-Oriented-JavaScript	10min		Expected an assignment or function call and instead saw an expression.	2023-03-06T01:23:44+0000	BUG	false	"cwe / unused / "	Object-Oriented-JavaScript:OOJS-screencasts-master/L1-objects-in-depth/39-calling-methods-demo.js		MAIN	{startLine=14.0, endLine=14.0, startOffset=0.0, endOffset=9.0}	10min	AYa0hKzw1m6JgciZ288K	9a77aa4ca18a899dd5576754ce0661dd	OPEN
MAJOR	2023-03-06T01:23:44+0000		22.0		javascript:S905	Object-Oriented-JavaScript	10min		Expected an assignment or function call and instead saw an expression.	2023-03-06T01:23:44+0000	BUG	false	"cwe / unused / "	Object-Oriented-JavaScript:OOJS-screencasts-master/L1-objects-in-depth/46-this-demo.js		MAIN	{startLine=22.0, endLine=22.0, startOffset=0.0, endOffset=8.0}	10min	AYa0hKzr1m6JgciZ288H	e4135c4618fd2d99bcf0f40c3d0cc96d	OPEN
MAJOR	2023-03-06T01:23:44+0000		4.0		javascript:S125	Object-Oriented-JavaScript	5min		Remove this commented out code.	2023-03-06T01:23:44+0000	CODE_SMELL	true	"unused / "	Object-Oriented-JavaScript:OOJS-screencasts-master/L2-functions-at-runtime/22-forEach-demo.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=2.0, endOffset=14.0}	5min	AYa0hKz31m6JgciZ288P	85386d6e622809f6c06af0e853edd924	OPEN
MAJOR	2023-03-06T01:23:44+0000		5.0		javascript:S125	Object-Oriented-JavaScript	5min		Remove this commented out code.	2023-03-06T01:23:44+0000	CODE_SMELL	true	"unused / "	Object-Oriented-JavaScript:OOJS-screencasts-master/L2-functions-at-runtime/4-functions-are-first-class-functions-demo.js		MAIN	{startLine=5.0, endLine=7.0, startOffset=0.0, endOffset=5.0}	5min	AYa0hKz61m6JgciZ288S	7734ae3f0b357681c8f6b1440bf8a3e3	OPEN
MAJOR	2023-03-06T01:23:44+0000		16.0		javascript:S905	Object-Oriented-JavaScript	10min		Expected an assignment or function call and instead saw an expression.	2023-03-06T01:23:44+0000	BUG	false	"cwe / unused / "	Object-Oriented-JavaScript:OOJS-screencasts-master/L2-functions-at-runtime/4-functions-are-first-class-functions-demo.js		MAIN	{startLine=16.0, endLine=16.0, startOffset=0.0, endOffset=15.0}	10min	AYa0hKz61m6JgciZ288T	4ae4573f1679db5140110846bfed384c	OPEN
MAJOR	2023-03-06T01:23:44+0000		19.0		javascript:S905	Object-Oriented-JavaScript	10min		Expected an assignment or function call and instead saw an expression.	2023-03-06T01:23:44+0000	BUG	false	"cwe / unused / "	Object-Oriented-JavaScript:OOJS-screencasts-master/L2-functions-at-runtime/4-functions-are-first-class-functions-demo.js		MAIN	{startLine=19.0, endLine=19.0, startOffset=0.0, endOffset=13.0}	10min	AYa0hKz61m6JgciZ288U	8ead9699a19dbfd53fee911ea1c7aab7	OPEN
MAJOR	2023-03-06T01:23:44+0000		18.0		javascript:S905	Object-Oriented-JavaScript	10min		Expected an assignment or function call and instead saw an expression.	2023-03-06T01:23:44+0000	BUG	false	"cwe / unused / "	Object-Oriented-JavaScript:OOJS-screencasts-master/L2-functions-at-runtime/57-closure-demo-2.js		MAIN	{startLine=18.0, endLine=18.0, startOffset=0.0, endOffset=14.0}	10min	AYa0hKz51m6JgciZ288Q	43f311c5368f13429284ee519bb7f19e	OPEN
MAJOR	2023-03-06T01:23:44+0000		21.0		javascript:S905	Object-Oriented-JavaScript	10min		Expected an assignment or function call and instead saw an expression.	2023-03-06T01:23:44+0000	BUG	false	"cwe / unused / "	Object-Oriented-JavaScript:OOJS-screencasts-master/L2-functions-at-runtime/57-closure-demo-2.js		MAIN	{startLine=21.0, endLine=21.0, startOffset=0.0, endOffset=6.0}	10min	AYa0hKz51m6JgciZ288R	7363240180c785dfee2480396dcb65aa	OPEN
