severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-06T01:21:12+0000		1.0		javascript:S1128	React-Fundamentals-Cours---Exercises	2min		Remove this unused import of 'logo'.	2023-03-06T01:21:12+0000	CODE_SMELL	true	"es2015 / unused / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L2. Rendering UI with React/1. JavaScript Expressions with JSX/Starter/src/App.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=7.0, endOffset=11.0}	2min	AYa0gnxZ1m6JgciZ26rb	75f0b1be140ac22233dc4ae8696d48f7	OPEN
MINOR	2023-03-06T01:21:12+0000		5.0		javascript:S1481	React-Fundamentals-Cours---Exercises	5min		Remove the declaration of the unused 'name' variable.	2023-03-06T01:21:12+0000	CODE_SMELL	false	"unused / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L2. Rendering UI with React/1. JavaScript Expressions with JSX/Starter/src/App.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=8.0, endOffset=12.0}	5min	AYa0gnxZ1m6JgciZ26rc	38d68904f7ba296ff724111159c15e19	OPEN
MAJOR	2023-03-06T01:21:12+0000		5.0		javascript:S1854	React-Fundamentals-Cours---Exercises	15min		"Remove this useless assignment to variable ""name""."	2023-03-06T01:21:12+0000	CODE_SMELL	false	"cwe / unused / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L2. Rendering UI with React/1. JavaScript Expressions with JSX/Starter/src/App.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=8.0, endOffset=12.0}	15min	AYa0gnxZ1m6JgciZ26rd	38d68904f7ba296ff724111159c15e19	OPEN
MINOR	2023-03-06T01:21:12+0000		7.0		javascript:S1481	React-Fundamentals-Cours---Exercises	5min		Remove the declaration of the unused 'facts' variable.	2023-03-06T01:21:12+0000	CODE_SMELL	false	"unused / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L2. Rendering UI with React/1. JavaScript Expressions with JSX/Starter/src/App.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=8.0, endOffset=13.0}	5min	AYa0gnxZ1m6JgciZ26re	f46decd1e5bfaa259f62f1d4579ecd6d	OPEN
MAJOR	2023-03-06T01:21:12+0000		7.0		javascript:S1854	React-Fundamentals-Cours---Exercises	15min		"Remove this useless assignment to variable ""facts""."	2023-03-06T01:21:12+0000	CODE_SMELL	false	"cwe / unused / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L2. Rendering UI with React/1. JavaScript Expressions with JSX/Starter/src/App.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=8.0, endOffset=13.0}	15min	AYa0gnxZ1m6JgciZ26rf	f46decd1e5bfaa259f62f1d4579ecd6d	OPEN
MINOR	2023-03-06T01:21:12+0000		13.0		javascript:S1481	React-Fundamentals-Cours---Exercises	5min		Remove the declaration of the unused 'aboutReact' variable.	2023-03-06T01:21:12+0000	CODE_SMELL	false	"unused / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L2. Rendering UI with React/1. JavaScript Expressions with JSX/Starter/src/App.js		MAIN	{startLine=13.0, endLine=13.0, startOffset=8.0, endOffset=18.0}	5min	AYa0gnxZ1m6JgciZ26rg	b7c4f01b90b72d491e0226dc6dd5248e	OPEN
MAJOR	2023-03-06T01:21:12+0000		13.0		javascript:S1854	React-Fundamentals-Cours---Exercises	15min		"Remove this useless assignment to variable ""aboutReact""."	2023-03-06T01:21:12+0000	CODE_SMELL	false	"cwe / unused / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L2. Rendering UI with React/1. JavaScript Expressions with JSX/Starter/src/App.js		MAIN	{startLine=13.0, endLine=13.0, startOffset=8.0, endOffset=18.0}	15min	AYa0gnxZ1m6JgciZ26rh	b7c4f01b90b72d491e0226dc6dd5248e	OPEN
MAJOR	2023-03-06T01:21:12+0000		10.0		javascript:S6479	React-Fundamentals-Cours---Exercises	5min		Do not use Array index in keys	2023-03-06T01:21:12+0000	CODE_SMELL	false	"jsx / performance / react / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L3. State Management/5. Controlled Components II/Solution/src/ItemList.js		MAIN	{startLine=10.0, endLine=10.0, startOffset=21.0, endOffset=26.0}	5min	AYa0gnxO1m6JgciZ26rZ	df393c8fe3764556f965066e1dbace06	OPEN
MAJOR	2023-03-06T01:21:12+0000		51.0		javascript:S6479	React-Fundamentals-Cours---Exercises	5min		Do not use Array index in keys	2023-03-06T01:21:12+0000	CODE_SMELL	false	"jsx / performance / react / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L3. State Management/5. Controlled Components II/Starter/src/App.js		MAIN	{startLine=51.0, endLine=51.0, startOffset=19.0, endOffset=24.0}	5min	AYa0gnxT1m6JgciZ26ra	783fed8494a041638ed115b7f05abb13	OPEN
MAJOR	2023-03-06T01:21:12+0000		8.0		javascript:S6479	React-Fundamentals-Cours---Exercises	5min		Do not use Array index in keys	2023-03-06T01:21:12+0000	CODE_SMELL	false	"jsx / performance / react / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L4. Hooks/1. State Management Recap/Solution/src/MessageHistory.js		MAIN	{startLine=8.0, endLine=8.0, startOffset=15.0, endOffset=20.0}	5min	AYa0gnw91m6JgciZ26rY	0dfd4962214954d675377d11fe111fba	OPEN
MAJOR	2023-03-06T01:21:12+0000		32.0		javascript:S6479	React-Fundamentals-Cours---Exercises	5min		Do not use Array index in keys	2023-03-06T01:21:12+0000	CODE_SMELL	false	"jsx / performance / react / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L4. Hooks/1. State Management Recap/Starter/src/App.js		MAIN	{startLine=32.0, endLine=32.0, startOffset=21.0, endOffset=26.0}	5min	AYa0gnw51m6JgciZ26rW	0dfd4962214954d675377d11fe111fba	OPEN
MAJOR	2023-03-06T01:21:12+0000		66.0		javascript:S6479	React-Fundamentals-Cours---Exercises	5min		Do not use Array index in keys	2023-03-06T01:21:12+0000	CODE_SMELL	false	"jsx / performance / react / "	React-Fundamentals-Cours---Exercises:React-Fundamentals-Exercises-master/L4. Hooks/1. State Management Recap/Starter/src/App.js		MAIN	{startLine=66.0, endLine=66.0, startOffset=21.0, endOffset=26.0}	5min	AYa0gnw51m6JgciZ26rX	0dfd4962214954d675377d11fe111fba	OPEN
